2,Porsche 963 GTP,baseline
Steering Wheel Angle,Yaw Rate
243.436951,1.667745
242.438156,1.667804
241.439392,1.673039
240.407318,1.665626
239.408585,1.658055
238.409760,1.648209
237.377716,1.641100
236.378922,1.634249
235.380157,1.630533
234.348114,1.622928
233.349335,1.616174
232.350586,1.609401
231.318527,1.599393
230.319733,1.591944
229.320969,1.584854
228.288895,1.577887
227.290115,1.571083
226.291382,1.564305
225.259277,1.557390
224.260529,1.551119
223.261749,1.544218
222.229706,1.536937
221.230927,1.529941
220.232147,1.522563
219.200073,1.514823
218.201324,1.507593
217.202515,1.500522
216.170486,1.493306
215.171677,1.486443
214.172928,1.479443
213.140839,1.472113
212.142090,1.464996
211.143280,1.457884
210.111252,1.450815
209.112442,1.443657
208.113693,1.436593
207.081604,1.429371
206.082840,1.422297
205.050766,1.415010
204.052017,1.408011
203.053238,1.401100
202.021164,1.393750
201.022385,1.386781
200.023605,1.379756
198.991516,1.372482
197.992783,1.365454
196.994003,1.358471
195.961929,1.351200
194.963150,1.344223
193.964371,1.337263
192.932281,1.329923
191.933533,1.322953
190.934753,1.315972
189.902695,1.308763
188.903946,1.301755
187.905136,1.294786
186.873108,1.287502
185.874298,1.280481
184.875549,1.273577
183.843445,1.266374
182.844696,1.259349
181.845901,1.252217
180.813843,1.245060
179.815063,1.238113
178.816269,1.231125
177.784180,1.223932
176.785431,1.216932
175.786636,1.210038
174.754608,1.202754
173.755783,1.195876
172.757034,1.188828
171.724945,1.181620
170.726196,1.174760
169.727371,1.167649
168.695328,1.160513
167.696548,1.153556
166.697769,1.146634
165.665665,1.139380
164.666916,1.132393
163.668106,1.125500
162.636078,1.118293
161.637283,1.111331
160.638535,1.104310
159.606430,1.097100
158.607651,1.090234
157.608841,1.083269
156.576813,1.076061
155.578003,1.069165
154.545944,1.061897
153.547165,1.055004
152.548386,1.048048
151.516296,1.040850
150.517532,1.034030
149.518738,1.026958
148.486664,1.019916
147.487885,1.012974
146.489105,1.005988
145.457016,0.998783
144.458267,0.991866
143.459503,0.984973
142.427399,0.977744
141.428650,0.970927
140.429840,0.963951
139.397781,0.956652
138.399002,0.949887
137.400223,0.942775
136.368118,0.935783
135.369385,0.928924
134.370560,0.922174
133.338501,0.914633
132.339691,0.907943
131.340958,0.900958
130.308853,0.893881
129.310074,0.886745
128.311264,0.879888
127.279228,0.872764
126.280426,0.865982
125.281647,0.858865
124.249550,0.851794
123.250801,0.845007
122.251991,0.837966
121.219940,0.830856
120.221115,0.823893
119.222366,0.817031
118.190239,0.809799
117.191505,0.802957
116.192688,0.796074
115.160629,0.788926
114.161819,0.782009
113.163063,0.775199
112.130974,0.768003
111.132202,0.761070
110.133385,0.754301
109.101326,0.747031
108.102509,0.740223
107.103767,0.733355
106.071671,0.726166
105.072891,0.719288
104.074081,0.712403
103.042015,0.705275
102.043213,0.698389
101.011185,0.691354
100.012398,0.684407
99.013596,0.677495
97.981529,0.670336
96.982719,0.663501
95.983971,0.656650
94.951881,0.649480
93.953102,0.642506
92.954285,0.635728
91.922226,0.628622
90.923409,0.621665
89.924667,0.614778
88.892548,0.607752
87.893791,0.600867
86.894981,0.593963
85.862923,0.586787
84.864113,0.579962
83.865334,0.573150
82.833237,0.565965
81.834457,0.559128
80.835648,0.552207
79.803581,0.544987
78.804771,0.538257
77.806030,0.531362
76.773903,0.524265
75.775154,0.517483
74.776337,0.510521
73.744286,0.503405
72.745476,0.496544
71.746696,0.489715
70.714600,0.482588
69.715820,0.475644
68.717003,0.468875
67.684944,0.461733
66.686142,0.454876
65.687355,0.448075
64.655266,0.440946
63.656487,0.433953
62.657673,0.427163
61.625610,0.420175
60.626797,0.413073
59.628021,0.406291
58.595932,0.399186
57.597145,0.392469
56.598400,0.385486
55.566277,0.378449
54.567528,0.371479
53.568687,0.364749
52.536625,0.357646
51.537811,0.350677
50.505753,0.343600
49.506939,0.336822
48.508160,0.330012
47.476070,0.322689
46.477287,0.315872
45.478477,0.309087
44.446415,0.301947
43.447601,0.295151
42.448826,0.288242
41.416702,0.281206
40.417953,0.274273
39.419140,0.267504
38.387077,0.260485
37.388233,0.253464
36.389488,0.246689
35.357365,0.239512
34.358585,0.232806
33.359772,0.225913
32.327709,0.218922
31.328901,0.211853
30.330120,0.205088
29.297997,0.197954
28.299248,0.191145
27.300406,0.184232
26.268345,0.177233
25.269531,0.170322
24.270754,0.163478
23.238661,0.156356
22.239880,0.149518
21.241070,0.142705
20.209009,0.135472
19.210163,0.128708
18.211416,0.121851
17.179293,0.114664
16.180511,0.108036
15.181702,0.101026
14.149640,0.094007
13.150796,0.087136
12.152049,0.080336
11.119988,0.073148
10.121144,0.066378
9.122396,0.059623
8.090272,0.052378
7.091493,0.045609
6.092681,0.038702
5.060620,0.031608
4.061809,0.024779
3.062997,0.018546
2.030904,0.012104
1.032093,0.005908
0.000000,0.001426
-0.998747,0.006754
-1.997624,0.012975
-3.029652,0.019451
-4.028464,0.025614
-5.027276,0.032081
-6.059368,0.039153
-7.058115,0.046112
-8.056992,0.052947
-9.089020,0.060001
-10.087896,0.066785
-11.086643,0.073765
-12.118735,0.080736
-13.117547,0.087702
-14.116360,0.094470
-15.148452,0.101567
-16.147263,0.108495
-17.146011,0.115223
-18.178169,0.122343
-19.176916,0.129266
-20.175728,0.136015
-21.207819,0.143169
-22.206633,0.150035
-23.205444,0.156903
-24.237535,0.163863
-25.236284,0.170784
-26.235159,0.177778
-27.267187,0.184794
-28.266064,0.191582
-29.264811,0.198452
-30.296968,0.205645
-31.295717,0.212326
-32.294464,0.219201
-33.326618,0.226358
-34.325367,0.233244
-35.324245,0.240105
-36.356274,0.247188
-37.355083,0.253992
-38.353897,0.260870
-39.385986,0.267962
-40.384800,0.274867
-41.383614,0.281772
-42.415703,0.288875
-43.414516,0.295690
-44.413265,0.302593
-45.445419,0.309606
-46.444168,0.316456
-47.443043,0.323230
-48.475071,0.330469
-49.473949,0.337278
-50.472694,0.344189
-51.504852,0.351189
-52.503601,0.358149
-53.535759,0.365246
-54.534504,0.372049
-55.533318,0.379004
-56.565411,0.386095
-57.564224,0.392966
-58.563034,0.399755
-59.595127,0.406985
-60.593937,0.413703
-61.592751,0.420698
-62.624840,0.427722
-63.623653,0.434537
-64.622467,0.441493
-65.654556,0.448682
-66.653366,0.455468
-67.652184,0.462228
-68.684273,0.469393
-69.683090,0.476339
-70.681831,0.483124
-71.713989,0.490289
-72.712738,0.497084
-73.711617,0.503902
-74.743645,0.511090
-75.742516,0.518064
-76.741264,0.524838
-77.773361,0.531931
-78.772171,0.538926
-79.770981,0.545565
-80.803070,0.552869
-81.801888,0.559621
-82.800697,0.566708
-83.832787,0.573711
-84.831604,0.580465
-85.830414,0.587462
-86.862572,0.594386
-87.861313,0.601383
-88.860130,0.608334
-89.892227,0.615402
-90.891098,0.622193
