2,Porsche Mission R,baseline
Steering Wheel Angle,Yaw Rate
294.973328,1.675551
293.941254,1.675897
292.942474,1.677268
291.943726,1.673811
290.911652,1.669465
289.912903,1.664808
288.914154,1.658973
287.882080,1.652883
286.883301,1.646999
285.884552,1.639954
284.852478,1.633458
283.853729,1.627742
282.854980,1.621993
281.822876,1.616513
280.824127,1.610508
279.825317,1.604508
278.793304,1.598640
277.794556,1.592964
276.795776,1.587127
275.763702,1.580972
274.764984,1.575137
273.766174,1.569468
272.734131,1.563561
271.735382,1.557683
270.736603,1.552201
269.704529,1.546044
268.705780,1.540359
267.707001,1.534533
266.674927,1.528531
265.676178,1.522825
264.677399,1.517055
263.645355,1.510965
262.646576,1.505187
261.647827,1.499561
260.615753,1.493484
259.617004,1.487931
258.584900,1.481680
257.586182,1.476001
256.587372,1.470252
255.555344,1.464274
254.556549,1.458365
253.557785,1.452686
252.525742,1.446747
251.526947,1.440918
250.528183,1.435120
249.496140,1.429110
248.497330,1.423376
247.498581,1.417638
246.466522,1.411713
245.467773,1.406150
244.468964,1.400260
243.436951,1.394111
242.438156,1.388598
241.439392,1.382795
240.407318,1.376777
239.408585,1.371066
238.409760,1.365433
237.377716,1.359279
236.378922,1.353421
235.380157,1.347799
234.348114,1.342003
233.349335,1.336214
232.350586,1.330366
231.318527,1.324375
230.319733,1.318671
229.320969,1.313055
228.288895,1.306857
227.290115,1.301123
226.291382,1.295477
225.259277,1.289382
224.260529,1.283690
223.261749,1.277786
222.229706,1.271885
221.230927,1.266021
220.232147,1.260501
219.200073,1.254607
218.201324,1.248603
217.202515,1.242926
216.170486,1.237075
215.171677,1.231500
214.172928,1.225351
213.140839,1.219704
212.142090,1.213826
211.143280,1.208164
210.111252,1.202004
209.112442,1.196415
208.113693,1.190518
207.081604,1.184547
206.082840,1.179095
205.050766,1.173075
204.052017,1.167334
203.053238,1.161565
202.021164,1.155487
201.022385,1.149712
200.023605,1.144210
198.991516,1.137912
197.992783,1.132203
196.994003,1.126616
195.961929,1.120508
194.963150,1.114833
193.964371,1.109142
192.932281,1.103339
191.933533,1.097379
190.934753,1.091590
189.902695,1.085772
188.903946,1.080197
187.905136,1.074272
186.873108,1.068185
185.874298,1.062588
184.875549,1.056760
183.843445,1.050880
182.844696,1.045056
181.845901,1.039359
180.813843,1.033579
179.815063,1.027842
178.816269,1.021998
177.784180,1.016017
176.785431,1.010242
175.786636,1.004559
174.754608,0.998664
173.755783,0.992875
172.757034,0.987073
171.724945,0.981119
170.726196,0.975390
169.727371,0.969767
168.695328,0.963796
167.696548,0.957964
166.697769,0.952269
165.665665,0.946615
164.666916,0.940693
163.668106,0.934866
162.636078,0.929107
161.637283,0.923303
160.638535,0.917464
159.606430,0.911583
158.607651,0.905795
157.608841,0.900049
156.576813,0.894025
155.578003,0.888361
154.545944,0.882461
153.547165,0.876768
152.548386,0.870931
151.516296,0.864995
150.517532,0.859365
149.518738,0.853526
148.486664,0.847548
147.487885,0.842015
146.489105,0.836192
145.457016,0.830059
144.458267,0.824503
