2,Pro Mazda,baseline
Steering Wheel Angle,Yaw Rate
228.288895,2.283833
227.290115,2.284642
226.291382,2.285869
225.259277,2.278715
224.260529,2.268717
223.261749,2.258194
222.229706,2.247258
221.230927,2.236080
220.232147,2.225255
219.200073,2.214354
218.201324,2.204323
217.202515,2.193406
216.170486,2.182712
215.171677,2.172316
214.172928,2.161813
213.140839,2.151060
212.142090,2.140824
211.143280,2.130271
210.111252,2.119597
209.112442,2.109133
208.113693,2.098774
207.081604,2.087940
206.082840,2.077617
205.050766,2.067026
204.052017,2.056709
203.053238,2.046250
202.021164,2.035463
201.022385,2.025198
200.023605,2.014884
198.991516,2.004133
197.992783,1.993748
196.994003,1.983458
195.961929,1.972705
194.963150,1.962497
193.964371,1.952044
192.932281,1.941463
191.933533,1.931173
190.934753,1.920767
189.902695,1.910257
188.903946,1.899832
187.905136,1.889450
186.873108,1.878923
185.874298,1.868568
184.875549,1.858257
183.843445,1.847845
182.844696,1.837446
181.845901,1.827063
180.813843,1.816771
179.815063,1.806267
178.816269,1.796070
177.784180,1.785481
176.785431,1.775065
175.786636,1.764835
174.754608,1.754245
173.755783,1.744098
172.757034,1.733798
171.724945,1.723300
170.726196,1.712982
169.727371,1.702775
168.695328,1.692147
167.696548,1.682019
166.697769,1.671895
165.665665,1.661222
164.666916,1.651150
163.668106,1.640769
162.636078,1.630338
161.637283,1.620172
160.638535,1.609837
159.606430,1.599420
158.607651,1.589141
157.608841,1.579024
156.576813,1.568427
155.578003,1.558376
154.545944,1.547768
153.547165,1.537563
152.548386,1.527395
151.516296,1.516927
150.517532,1.506788
149.518738,1.496548
148.486664,1.486132
147.487885,1.475938
146.489105,1.465818
145.457016,1.455355
144.458267,1.445170
143.459503,1.435003
142.427399,1.424680
141.428650,1.414410
140.429840,1.404336
139.397781,1.393901
138.399002,1.383757
137.400223,1.373732
136.368118,1.363272
135.369385,1.353083
134.370560,1.343057
133.338501,1.332501
132.339691,1.322390
131.340958,1.312418
130.308853,1.301953
129.310074,1.291790
128.311264,1.281811
127.279228,1.271342
126.280426,1.261194
125.281647,1.251031
124.249550,1.240697
123.250801,1.230603
122.251991,1.220403
121.219940,1.210150
120.221115,1.200061
119.222366,1.190081
118.190239,1.179647
117.191505,1.169631
116.192688,1.159656
115.160629,1.149110
114.161819,1.138954
113.163063,1.129034
112.130974,1.118626
111.132202,1.108498
110.133385,1.098566
109.101326,1.088191
108.102509,1.078094
107.103767,1.068099
106.071671,1.057913
105.072891,1.047563
104.074081,1.037683
103.042015,1.027421
102.043213,1.017165
101.011185,1.006818
100.012398,0.996803
99.013596,0.986874
97.981529,0.976487
96.982719,0.966368
95.983971,0.956336
94.951881,0.946055
93.953102,0.936044
92.954285,0.926045
91.922226,0.915653
90.923409,0.905773
89.924667,0.895698
88.892548,0.885368
87.893791,0.875349
86.894981,0.865367
