2,RAM,watkinsglen
Steering Wheel Angle,Yaw Rate
366.684296,2.828185
365.685516,2.840316
364.653442,2.891486
363.654724,2.892759
362.622681,2.879299
361.623901,2.846837
360.625153,2.833388
359.593109,2.824228
358.594330,2.823069
357.595612,2.822009
356.563568,2.815565
355.564758,2.808786
354.566010,2.799776
353.533997,2.785106
352.535248,2.779173
351.536469,2.771860
350.504425,2.764039
349.505646,2.755715
348.506927,2.748256
347.474854,2.738437
346.476105,2.731564
345.477325,2.722753
344.445282,2.714164
343.446533,2.706360
342.447784,2.698881
341.415710,2.689858
340.416962,2.681431
339.418213,2.673382
338.386139,2.664645
337.387360,2.656244
336.388641,2.648576
335.356598,2.639723
334.357849,2.632066
333.359039,2.624481
332.326996,2.615077
331.328247,2.607261
330.329498,2.599700
329.297424,2.590625
328.298645,2.582716
327.299927,2.574252
326.267853,2.565991
325.269073,2.557962
324.270355,2.547923
323.238281,2.542340
322.239502,2.533666
321.240784,2.525249
320.208710,2.517201
319.209961,2.508278
318.211212,2.501350
317.179138,2.492182
316.180359,2.484866
315.181641,2.475942
314.149536,2.467509
313.150787,2.458930
312.152069,2.452216
311.119995,2.442013
310.121185,2.435127
309.089172,2.426849
308.090393,2.418401
307.091644,2.410675
306.059570,2.401612
305.060852,2.394529
304.062042,2.385978
303.029999,2.377970
302.031219,2.369922
301.032471,2.360892
300.000427,2.353823
299.001678,2.345402
298.002899,2.335213
296.970825,2.330012
295.972076,2.321240
294.973328,2.313043
293.941254,2.304588
292.942474,2.296599
291.943726,2.287985
290.911652,2.280056
289.912903,2.271862
288.914154,2.263760
287.882080,2.254380
286.883301,2.247810
285.884552,2.240035
284.852478,2.231793
283.853729,2.222446
282.854980,2.215319
281.822876,2.207438
280.824127,2.199739
279.825317,2.191380
278.793304,2.182495
277.794556,2.174814
276.795776,2.166574
275.763702,2.158590
274.764984,2.150576
273.766174,2.142336
272.734131,2.133671
271.735382,2.125626
270.736603,2.117814
269.704529,2.109917
268.705780,2.101621
267.707001,2.094441
266.674927,2.085263
265.676178,2.077655
264.677399,2.069501
263.645355,2.061466
262.646576,2.051765
261.647827,2.046021
260.615753,2.037775
259.617004,2.028995
258.584900,2.021599
257.586182,2.013268
256.587372,2.005139
255.555344,1.996351
254.556549,1.988660
253.557785,1.981074
252.525742,1.972217
251.526947,1.965087
250.528183,1.956445
249.496140,1.948628
248.497330,1.941115
247.498581,1.932514
246.466522,1.924499
245.467773,1.914472
244.468964,1.908876
243.436951,1.900135
242.438156,1.892745
241.439392,1.884624
240.407318,1.876801
239.408585,1.868769
238.409760,1.860441
237.377716,1.852328
236.378922,1.843931
235.380157,1.836498
234.348114,1.827857
233.349335,1.820453
232.350586,1.811801
231.318527,1.804463
230.319733,1.796683
229.320969,1.788503
228.288895,1.780449
227.290115,1.771633
226.291382,1.764925
225.259277,1.756202
224.260529,1.748454
223.261749,1.740755
222.229706,1.732180
221.230927,1.724197
220.232147,1.716253
219.200073,1.708196
218.201324,1.700372
217.202515,1.692188
216.170486,1.684383
215.171677,1.676724
214.172928,1.666672
213.140839,1.660648
212.142090,1.653309
211.143280,1.644952
210.111252,1.636431
209.112442,1.628233
208.113693,1.620456
207.081604,1.613084
206.082840,1.605080
205.050766,1.596671
204.052017,1.587327
203.053238,1.581469
202.021164,1.573049
201.022385,1.565362
200.023605,1.557014
198.991516,1.548203
197.992783,1.541438
196.994003,1.532907
195.961929,1.525369
194.963150,1.515199
193.964371,1.510225
192.932281,1.501542
191.933533,1.493401
190.934753,1.484324
189.902695,1.478434
188.903946,1.469440
187.905136,1.461987
186.873108,1.453459
185.874298,1.445860
184.875549,1.437963
183.843445,1.429374
182.844696,1.422267
181.845901,1.413917
180.813843,1.405533
179.815063,1.397196
178.816269,1.390702
177.784180,1.381733
176.785431,1.374681
175.786636,1.366463
174.754608,1.358470
173.755783,1.350385
172.757034,1.342173
171.724945,1.334830
170.726196,1.326741
169.727371,1.318829
168.695328,1.309461
167.696548,1.303868
166.697769,1.295407
165.665665,1.286524
164.666916,1.278953
163.668106,1.271943
162.636078,1.262844
161.637283,1.255388
160.638535,1.247659
159.606430,1.238873
158.607651,1.231194
157.608841,1.222637
156.576813,1.215918
155.578003,1.208216
154.545944,1.199766
153.547165,1.191833
152.548386,1.183976
151.516296,1.176501
150.517532,1.168725
149.518738,1.159701
148.486664,1.152285
147.487885,1.143393
146.489105,1.136262
145.457016,1.129422
144.458267,1.121375
143.459503,1.112706
142.427399,1.104130
141.428650,1.097913
140.429840,1.089307
139.397781,1.081590
138.399002,1.073749
137.400223,1.065731
136.368118,1.057554
135.369385,1.049845
134.370560,1.040323
133.338501,1.034376
132.339691,1.026935
131.340958,1.017284
130.308853,1.011127
129.310074,1.002847
128.311264,0.994839
127.279228,0.986717
126.280426,0.977874
125.281647,0.971966
124.249550,0.962853
123.250801,0.954303
122.251991,0.947720
121.219940,0.939192
120.221115,0.930828
119.222366,0.924557
118.190239,0.916180
117.191505,0.906981
116.192688,0.901239
115.160629,0.891555
114.161819,0.883842
113.163063,0.877500
112.130974,0.868122
111.132202,0.860387
110.133385,0.851799
109.101326,0.845608
108.102509,0.837666
107.103767,0.829042
106.071671,0.821786
105.072891,0.812926
104.074081,0.806863
103.042015,0.796857
102.043213,0.790192
101.011185,0.782124
100.012398,0.774034
99.013596,0.765736
97.981529,0.759090
96.982719,0.749993
95.983971,0.743775
94.951881,0.733972
93.953102,0.727938
92.954285,0.718784
91.922226,0.711629
90.923409,0.703922
89.924667,0.696143
88.892548,0.687418
87.893791,0.680587
86.894981,0.672131
85.862923,0.664634
84.864113,0.655244
83.865334,0.649520
82.833237,0.640985
81.834457,0.631914
80.835648,0.625976
79.803581,0.617474
78.804771,0.608940
77.806030,0.601428
76.773903,0.594043
75.775154,0.585105
74.776337,0.577413
73.744286,0.570910
72.745476,0.561620
71.746696,0.553713
70.714600,0.546932
69.715820,0.539529
68.717003,0.530172
67.684944,0.522647
66.686142,0.515948
65.687355,0.506810
64.655266,0.499407
63.656487,0.492611
62.657673,0.483654
61.625610,0.474645
60.626797,0.467853
59.628021,0.461139
58.595932,0.451896
57.597145,0.445200
56.598400,0.436723
55.566277,0.429397
54.567528,0.420241
53.568687,0.414159
52.536625,0.404559
51.537811,0.397239
50.505753,0.390110
49.506939,0.381779
48.508160,0.375016
47.476070,0.365705
46.477287,0.358804
45.478477,0.351027
44.446415,0.342196
43.447601,0.334689
42.448826,0.327547
41.416702,0.318916
40.417953,0.311715
39.419140,0.302710
38.387077,0.295945
37.388233,0.287413
36.389488,0.280440
35.357365,0.271264
34.358585,0.264791
33.359772,0.255896
32.327709,0.249156
31.328901,0.240196
30.330120,0.231892
29.297997,0.230872
28.299248,0.225460
27.300406,0.226851
26.268345,0.230228
25.269531,0.217060
24.270754,0.208418
23.238661,0.201586
22.239880,0.193584
21.241070,0.184798
20.209009,0.177732
19.210163,0.170302
18.211416,0.161658
17.179293,0.154121
16.180511,0.145783
15.181702,0.139324
14.149640,0.129975
13.150796,0.122275
12.152049,0.115407
11.119988,0.106027
10.121144,0.099408
9.122396,0.091428
8.090272,0.083476
7.091493,0.075874
6.092681,0.067580
5.060620,0.060134
4.061809,0.051460
3.062997,0.045120
2.030904,0.035865
1.032093,0.027818
0.000000,0.020969
-0.998747,0.011994
-1.997624,0.004677
-3.029652,0.002644
-4.028464,0.011544
-5.027276,0.018026
-6.059368,0.026490
-7.058115,0.034497
-8.056992,0.042440
-9.089020,0.049930
-10.087896,0.058618
-11.086643,0.065116
-12.118735,0.074484
-13.117547,0.082139
-14.116360,0.088907
-15.148452,0.097862
-16.147263,0.104475
-17.146011,0.113726
-18.178169,0.121390
-19.176916,0.128794
-20.175728,0.136256
-21.207819,0.144346
-22.206633,0.153014
-23.205444,0.159676
-24.237535,0.168810
-25.236284,0.176797
-26.235159,0.183496
-27.267187,0.192309
-28.266064,0.199320
-29.264811,0.207918
-30.296968,0.215728
-31.295717,0.223956
-32.294464,0.230473
-33.326618,0.239382
-34.325367,0.246965
-35.324245,0.254692
-36.356274,0.262787
-37.355083,0.270818
-38.353897,0.278065
-39.385986,0.287569
-40.384800,0.293894
-41.383614,0.302626
-42.415703,0.309454
-43.414516,0.319064
-44.413265,0.325198
-45.445419,0.333385
-46.444168,0.342631
-47.443043,0.348972
-48.475071,0.358325
-49.473949,0.366064
-50.472694,0.372425
-51.504852,0.381028
-52.503601,0.389509
-53.535759,0.398042
-54.534504,0.406096
-55.533318,0.413379
-56.565411,0.420640
-57.564224,0.428142
-58.563034,0.436481
-59.595127,0.444320
-60.593937,0.453153
-61.592751,0.461336
-62.624840,0.469275
-63.623653,0.476197
-64.622467,0.483495
-65.654556,0.492754
-66.653366,0.501178
-67.652184,0.508008
-68.684273,0.515318
-69.683090,0.523357
-70.681831,0.531913
-71.713989,0.540801
-72.712738,0.548044
-73.711617,0.555156
-74.743645,0.562865
-75.742516,0.572256
-76.741264,0.578809
-77.773361,0.587162
-78.772171,0.596249
-79.770981,0.603140
-80.803070,0.611005
-81.801888,0.619369
-82.800697,0.626578
-83.832787,0.636058
-84.831604,0.643842
-85.830414,0.650379
-86.862572,0.659962
-87.861313,0.667009
-88.860130,0.673835
-89.892227,0.682617
-90.891098,0.691256
-91.889847,0.698913
-92.921997,0.706991
-93.920753,0.715685
-94.919624,0.723582
-95.951653,0.731470
-96.950531,0.737915
-97.949280,0.746412
-98.981438,0.755492
-99.980179,0.762379
-100.979065,0.770850
-102.011093,0.778655
-103.009964,0.787392
-104.008705,0.793852
-105.040863,0.803923
-106.039619,0.809715
-107.071777,0.819521
-108.070587,0.826826
-109.069389,0.834582
-110.101486,0.843273
-111.100304,0.850333
-112.099113,0.859578
-113.131271,0.866595
-114.130020,0.875748
-115.128899,0.882016
-116.160927,0.890713
-117.159798,0.899659
-118.158554,0.906572
-119.190704,0.915371
-120.189453,0.923854
-121.188255,0.930595
-122.220421,0.939219
-123.219162,0.946455
-124.218033,0.955930
-125.250061,0.964021
-126.248947,0.970972
-127.247688,0.978307
-128.279846,0.987124
-129.278656,0.994932
-130.277481,1.003648
-131.309555,1.012537
-132.308380,1.020232
-133.307190,1.026736
-134.339355,1.036589
-135.338089,1.043009
-136.336975,1.052573
-137.369003,1.060369
-138.367874,1.067131
-139.366684,1.075945
-140.398773,1.083731
-141.397583,1.093258
-142.396408,1.100462
-143.428497,1.107654
-144.427368,1.116232
-145.426117,1.124278
-146.458282,1.133673
-147.457077,1.140679
-148.455902,1.147726
-149.487991,1.156976
-150.486877,1.165089
-151.485611,1.172332
-152.517776,1.181404
-153.516525,1.189512
-154.515396,1.197335
-155.547485,1.205441
-156.546295,1.214932
-157.578400,1.222170
-158.577271,1.229215
-159.576004,1.237885
-160.608170,1.245882
-161.606918,1.254491
-162.605804,1.262118
-163.637894,1.271596
-164.636765,1.277748
-165.635513,1.287778
-166.667603,1.295589
-167.666428,1.302661
-168.665222,1.310439
-169.697372,1.320635
-170.696136,1.327636
-171.695007,1.334948
-172.727097,1.343232
-173.725922,1.352533
-174.724731,1.359335
-175.756882,1.367597
-176.755630,1.376086
-177.754501,1.384680
-178.786606,1.392748
-179.785477,1.401755
-180.784225,1.408060
-181.816376,1.416922
-182.815125,1.425164
-183.813995,1.433708
-184.846100,1.441693
-185.844971,1.449719
-186.843719,1.457734
-187.875870,1.467600
-188.874695,1.473466
-189.873505,1.483389
-190.905594,1.490372
-191.904465,1.500221
-192.903214,1.507425
-193.935364,1.514232
-194.934189,1.523309
-195.933060,1.531882
-196.965088,1.540120
-197.963959,1.549805
-198.962769,1.555370
-199.994934,1.564525
-200.993683,1.573968
-201.992554,1.579870
-203.024643,1.589242
-204.023468,1.597015
-205.022263,1.605563
-206.054428,1.614052
-207.053177,1.623006
-208.085403,1.629930
-209.084137,1.640180
-210.082886,1.646012
-211.115112,1.654407
-212.113861,1.663254
-213.112732,1.671450
-214.144836,1.680700
-215.143646,1.687507
-216.142456,1.696641
-217.174606,1.704138
-218.173355,1.712873
-219.172241,1.720569
-220.204330,1.729576
-221.203201,1.737071
-222.201950,1.745721
-223.234177,1.754124
-224.232925,1.762404
-225.231796,1.770670
-226.263885,1.779406
-227.262772,1.787247
-228.261505,1.795961
-229.293671,1.803853
-230.292496,1.812925
-231.291367,1.819715
-232.323380,1.828506
-233.322250,1.837172
-234.321075,1.846511
-235.353226,1.853066
-236.351990,1.862091
-237.350861,1.871217
-238.382965,1.877874
-239.381836,1.887136
-240.380569,1.895081
-241.412811,1.903936
-242.411545,1.911569
-243.410416,1.920351
-244.442505,1.928782
-245.441391,1.937588
-246.440125,1.947157
-247.472305,1.953246
-248.471100,1.963625
-249.469971,1.969386
-250.502060,1.978627
-251.500946,1.986554
-252.499710,1.995518
-253.531860,2.004114
-254.530670,2.012675
-255.529404,2.020836
-256.561554,2.030566
-257.560394,2.036555
-258.559265,2.045851
-259.591339,2.054779
-260.590240,2.063974
-261.622253,2.070542
-262.621124,2.079613
-263.619934,2.089990
-264.652100,2.095908
-265.650909,2.105044
-266.649780,2.112993
-267.681824,2.122711
-268.680695,2.129712
-269.679504,2.139347
-270.711670,2.146923
-271.710449,2.156247
-272.709351,2.163613
-273.741425,2.172188
-274.740295,2.180940
-275.739075,2.190824
-276.771210,2.196900
-277.770050,2.206324
-278.768921,2.214910
-279.800995,2.223987
-280.799866,2.232575
-281.798615,2.239900
-282.830841,2.249182
-283.829590,2.256672
-284.828461,2.266792
-285.860565,2.273172
-286.859436,2.283074
-287.858246,2.290571
-288.890411,2.300107
-289.889130,2.306836
-290.888000,2.316335
-291.920105,2.324603
-292.918976,2.333799
-293.917816,2.342335
-294.949951,2.351152
-295.948761,2.359731
-296.947662,2.366879
-297.979736,2.376774
-298.978485,2.384124
-299.977356,2.392934
-301.009460,2.401188
-302.008331,2.410184
-303.007141,2.418998
-304.039307,2.428388
-305.038116,2.434945
-306.036987,2.444929
-307.069031,2.452937
-308.067963,2.461751
-309.066711,2.469356
-310.098877,2.479564
-311.097656,2.488308
-312.129852,2.496162
-313.128632,2.505093
-314.127502,2.513760
-315.159607,2.521896
-316.158478,2.531266
-317.157318,2.538877
-318.189453,2.549556
-319.188263,2.555266
-320.187134,2.565072
-321.219177,2.573581
-322.218109,2.582243
-323.216858,2.590958
-324.249084,2.600287
-325.247833,2.607001
-326.246704,2.616722
-327.278809,2.625130
-328.277679,2.633269
-329.276489,2.642273
-330.308655,2.650926
-331.307465,2.659804
-332.306335,2.668198
-333.338440,2.676226
-334.337311,2.685428
-335.336121,2.694174
-336.368286,2.703511
-337.367096,2.711429
-338.365967,2.719483
-339.398071,2.728897
-340.396942,2.737779
-341.395691,2.746579
-342.427917,2.754315
-343.426697,2.764310
-344.425476,2.772394
-345.457672,2.781137
-346.456451,2.788678
-347.455322,2.798108
-348.487396,2.807501
-349.486267,2.815634
-350.485077,2.824935
-351.517242,2.833257
-352.516052,2.843007
-353.514923,2.851331
-354.547028,2.859506
-355.545898,2.867935
-356.544708,2.876820
-357.576843,2.886234
-358.575684,2.894999
-359.574554,2.903005
-360.606659,2.912126
-361.605530,2.920613
-362.604340,2.929367
-363.636536,2.937694
-364.635315,2.937333
-365.667511,2.937081
-366.666290,2.937566
