2,RUF RT 12R AWD,baseline
Steering Wheel Angle,Yaw Rate
472.751526,2.951707
471.719452,2.966241
470.720764,2.976810
469.721985,2.975278
468.689972,2.970809
467.691223,2.963502
466.659149,2.956356
465.660400,2.949854
464.661682,2.943047
463.629669,2.940355
462.630920,2.933363
461.632141,2.922904
460.600128,2.915860
459.601379,2.909506
458.602631,2.903651
457.570587,2.897782
456.571869,2.891357
455.573090,2.884642
454.541046,2.878800
453.542328,2.871707
452.543579,2.864463
451.511505,2.857790
450.512787,2.851728
449.514038,2.844744
448.481995,2.837920
447.483276,2.831598
446.484497,2.825406
445.452484,2.817945
444.453705,2.811166
443.454987,2.804493
442.422974,2.798836
441.424194,2.792638
440.425476,2.785618
439.393402,2.778483
438.394653,2.772653
437.395905,2.766924
436.363892,2.761001
435.365143,2.754382
434.366364,2.747388
433.334320,2.741329
432.335571,2.735269
431.336823,2.729500
430.304779,2.722841
429.306061,2.716439
428.307312,2.710661
427.275269,2.704884
426.276489,2.698731
425.277771,2.691593
424.245728,2.684704
423.246979,2.678627
422.248230,2.672707
421.216156,2.666511
420.217407,2.659856
419.218658,2.653315
418.186646,2.646785
417.187897,2.640895
416.189148,2.635021
415.157104,2.628822
414.158325,2.622334
413.126312,2.615695
412.127533,2.609748
411.128784,2.604257
410.096741,2.597801
409.098022,2.590535
408.099243,2.584315
407.067230,2.578680
406.068481,2.572363
405.069702,2.565406
404.037689,2.558315
403.038910,2.552031
402.040161,2.546717
401.008118,2.540130
400.009369,2.533391
399.010620,2.526901
397.978607,2.521213
396.979797,2.515980
395.981079,2.508962
394.949005,2.501056
393.950256,2.495326
392.951538,2.489397
391.919495,2.482361
390.920715,2.475062
389.921997,2.468957
388.889893,2.463544
387.891144,2.456616
386.892426,2.449916
385.860382,2.443584
384.861633,2.438880
383.862885,2.432206
382.830811,2.425215
381.832031,2.418876
380.833282,2.413479
379.801239,2.407637
378.802521,2.401395
377.803772,2.394627
376.771698,2.388692
375.772919,2.384178
374.774170,2.450232
373.742157,2.382888
372.743378,2.433827
371.744659,2.388338
370.712555,2.411083
369.713837,2.420613
368.715057,2.402901
367.683044,2.332191
366.684296,2.384339
365.685516,2.371707
364.653442,2.364568
363.654724,2.358366
362.622681,2.351957
361.623901,2.348920
360.625153,2.348269
359.593109,2.340729
358.594330,2.331828
357.595612,2.320974
356.563568,2.309397
355.564758,2.301423
354.566010,2.292066
353.533997,2.282853
352.535248,2.280416
351.536469,2.277614
350.504425,2.270624
349.505646,2.265977
348.506927,2.262355
347.474854,2.251871
346.476105,2.251998
345.477325,2.248506
344.445282,2.237550
343.446533,2.225102
342.447784,2.213828
341.415710,2.212311
340.416962,2.214351
339.418213,2.209455
338.386139,2.203093
337.387360,2.193698
336.388641,2.183463
335.356598,2.182070
334.357849,2.178014
333.359039,2.167200
332.326996,2.157011
331.328247,2.150828
330.329498,2.151899
329.297424,2.151520
328.298645,2.145948
327.299927,2.127512
326.267853,2.151736
325.269073,2.135270
324.270355,2.121557
323.238281,2.091735
322.239502,2.114213
321.240784,2.129551
320.208710,2.096448
319.209961,2.057638
318.211212,2.095350
317.179138,2.078409
316.180359,2.066054
315.181641,2.044436
314.149536,2.051487
313.150787,2.040136
312.152069,2.062879
311.119995,2.044788
310.121185,2.054191
309.089172,2.044408
308.090393,2.029606
307.091644,2.033463
306.059570,2.034670
305.060852,2.029830
304.062042,2.012599
303.029999,1.989588
302.031219,2.014389
301.032471,2.013535
300.000427,2.008303
299.001678,1.981253
298.002899,1.982450
296.970825,1.972106
295.972076,1.974244
294.973328,1.958742
293.941254,1.972137
292.942474,1.956219
291.943726,1.941191
290.911652,1.951106
289.912903,1.923636
288.914154,1.919919
287.882080,1.926417
286.883301,1.928206
285.884552,1.919895
284.852478,1.916922
283.853729,1.907549
282.854980,1.862547
281.822876,1.884755
280.824127,1.888443
279.825317,1.885017
278.793304,1.870990
277.794556,1.871846
276.795776,1.862109
275.763702,1.853737
274.764984,1.849110
273.766174,1.840491
272.734131,1.832971
271.735382,1.827196
270.736603,1.820635
269.704529,1.813990
268.705780,1.806994
267.707001,1.800361
266.674927,1.793328
265.676178,1.786628
264.677399,1.779363
263.645355,1.772449
262.646576,1.765532
261.647827,1.758439
260.615753,1.751043
259.617004,1.744304
258.584900,1.737353
257.586182,1.730725
256.587372,1.723657
255.555344,1.716206
254.556549,1.709170
253.557785,1.702489
252.525742,1.695561
251.526947,1.688890
250.528183,1.681371
249.496140,1.674209
248.497330,1.667970
247.498581,1.661220
246.466522,1.653639
245.467773,1.645648
244.468964,1.639195
243.436951,1.632102
242.438156,1.625048
241.439392,1.618148
240.407318,1.610942
239.408585,1.604186
238.409760,1.596720
237.377716,1.589221
236.378922,1.582352
235.380157,1.576005
234.348114,1.568581
233.349335,1.561059
232.350586,1.553791
231.318527,1.547161
230.319733,1.540297
229.320969,1.532978
228.288895,1.525792
227.290115,1.518822
226.291382,1.511715
225.259277,1.504589
224.260529,1.497506
223.261749,1.490447
222.229706,1.483662
221.230927,1.476786
220.232147,1.470240
219.200073,1.462940
218.201324,1.455713
217.202515,1.449488
216.170486,1.442423
215.171677,1.435219
214.172928,1.428136
213.140839,1.421172
212.142090,1.414689
211.143280,1.407669
210.111252,1.400930
209.112442,1.394276
208.113693,1.387660
207.081604,1.380522
206.082840,1.373564
205.050766,1.366739
204.052017,1.359757
203.053238,1.353048
202.021164,1.346000
201.022385,1.339317
200.023605,1.332495
198.991516,1.325328
197.992783,1.318827
196.994003,1.312077
195.961929,1.304880
194.963150,1.298277
193.964371,1.291648
192.932281,1.284164
191.933533,1.277230
190.934753,1.270935
189.902695,1.263528
188.903946,1.256648
187.905136,1.249937
186.873108,1.241814
185.874298,1.235153
184.875549,1.228323
183.843445,1.221256
182.844696,1.214392
