2,RUF RT 12R C-Spec,baseline
Steering Wheel Angle,Yaw Rate
362.622681,2.692727
361.623901,2.694104
360.625153,2.700698
359.593109,2.718183
358.594330,2.714411
357.595612,2.705865
356.563568,2.697804
355.564758,2.683546
354.566010,2.671228
353.533997,2.663817
352.535248,2.655025
351.536469,2.649351
350.504425,2.645827
349.505646,2.635986
348.506927,2.626761
347.474854,2.616697
346.476105,2.612147
345.477325,2.606550
344.445282,2.595145
343.446533,2.585485
342.447784,2.582681
341.415710,2.575282
340.416962,2.563784
339.418213,2.554403
338.386139,2.551004
337.387360,2.544883
336.388641,2.532833
335.356598,2.523090
334.357849,2.520048
333.359039,2.513817
332.326996,2.501168
331.328247,2.492282
330.329498,2.489399
329.297424,2.482692
328.298645,2.470435
327.299927,2.461442
326.267853,2.458093
325.269073,2.452156
324.270355,2.439558
323.238281,2.429978
322.239502,2.427977
321.240784,2.421467
320.208710,2.408474
319.209961,2.398781
318.211212,2.397784
317.179138,2.390107
316.180359,2.376735
315.181641,2.369420
314.149536,2.366568
313.150787,2.359252
312.152069,2.345678
311.119995,2.338301
310.121185,2.336251
309.089172,2.327488
308.090393,2.314425
307.091644,2.307968
306.059570,2.304681
305.060852,2.296304
304.062042,2.283927
303.029999,2.276165
302.031219,2.274247
301.032471,2.265488
300.000427,2.252210
299.001678,2.246870
298.002899,2.243192
296.970825,2.234211
295.972076,2.221861
294.973328,2.215565
293.941254,2.213033
292.942474,2.203238
291.943726,2.190908
290.911652,2.185140
289.912903,2.181715
288.914154,2.172353
287.882080,2.159719
286.883301,2.154920
285.884552,2.151246
284.852478,2.140106
283.853729,2.129774
282.854980,2.124861
281.822876,2.119037
280.824127,2.110189
279.825317,2.099420
278.793304,2.092778
277.794556,2.088369
276.795776,2.079817
275.763702,2.068262
274.764984,2.061324
273.766174,2.058388
272.734131,2.048986
271.735382,2.037062
270.736603,2.030625
269.704529,2.027483
268.705780,2.018367
267.707001,2.006302
266.674927,1.999949
265.676178,1.996724
264.677399,1.987893
263.645355,1.975381
262.646576,1.969219
261.647827,1.966195
260.615753,1.957018
259.617004,1.944794
258.584900,1.937933
257.586182,1.934941
256.587372,1.926822
255.555344,1.914304
254.556549,1.908088
253.557785,1.904882
252.525742,1.894448
251.526947,1.883036
250.528183,1.878412
249.496140,1.873805
248.497330,1.863762
247.498581,1.852058
246.466522,1.847492
245.467773,1.843156
244.468964,1.833174
243.436951,1.821545
242.438156,1.816866
241.439392,1.813058
240.407318,1.801223
239.408585,1.790955
238.409760,1.787763
237.377716,1.782137
236.378922,1.769917
235.380157,1.760726
234.348114,1.759821
233.349335,1.748952
232.350586,1.737147
231.318527,1.733512
230.319733,1.728406
229.320969,1.716944
