2,RUF RT 12R RWD,baseline
Steering Wheel Angle,Yaw Rate
472.751526,2.954199
471.719452,2.958647
470.720764,2.977844
469.721985,2.976858
468.689972,2.970906
467.691223,2.963849
466.659149,2.954168
465.660400,2.948052
464.661682,2.942212
463.629669,2.936187
462.630920,2.932844
461.632141,2.926465
460.600128,2.918107
459.601379,2.913740
458.602631,2.907556
457.570587,2.899916
456.571869,2.894613
455.573090,2.889554
454.541046,2.882920
453.542328,2.875226
452.543579,2.869430
451.511505,2.863983
450.512787,2.857076
449.514038,2.850197
448.481995,2.844698
447.483276,2.838204
446.484497,2.831462
445.452484,2.825121
444.453705,2.818772
443.454987,2.812519
442.422974,2.805702
441.424194,2.799662
440.425476,2.793313
439.393402,2.786746
438.394653,2.780301
437.395905,2.773610
436.363892,2.766985
435.365143,2.760586
434.366364,2.753832
433.334320,2.746825
432.335571,2.740804
431.336823,2.735229
430.304779,2.728175
429.306061,2.720547
428.307312,2.714513
427.275269,2.707813
426.276489,2.701209
425.277771,2.694826
424.245728,2.689088
423.246979,2.682915
422.248230,2.675632
421.216156,2.668831
420.217407,2.662751
419.218658,2.656858
418.186646,2.649854
417.187897,2.642368
416.189148,2.636557
415.157104,2.629934
414.158325,2.623946
413.126312,2.617244
412.127533,2.610825
411.128784,2.605361
410.096741,2.598361
409.098022,2.592166
408.099243,2.585853
407.067230,2.579627
406.068481,2.573607
405.069702,2.567023
404.037689,2.560618
403.038910,2.554337
402.040161,2.569949
401.008118,2.563204
400.009369,2.593172
399.010620,2.531766
397.978607,2.586581
396.979797,2.533846
395.981079,2.588192
394.949005,2.568904
393.950256,2.593375
392.951538,2.535679
391.919495,2.455330
390.920715,2.515650
389.921997,2.468566
388.889893,2.549455
387.891144,2.570764
386.892426,2.502255
385.860382,2.435041
384.861633,2.455855
383.862885,2.541862
382.830811,2.437788
381.832031,2.462600
380.833282,2.509710
379.801239,2.445347
378.802521,2.404841
377.803772,2.471578
376.771698,2.466151
375.772919,2.421653
374.774170,2.461037
373.742157,2.441130
372.743378,2.452878
371.744659,2.436336
370.712555,2.362205
369.713837,2.434714
368.715057,2.384057
367.683044,2.400345
366.684296,2.363359
365.685516,2.375468
364.653442,2.402211
363.654724,2.390765
362.622681,2.358570
361.623901,2.349403
360.625153,2.340177
359.593109,2.335567
358.594330,2.327012
357.595612,2.317990
356.563568,2.313496
355.564758,2.309356
354.566010,2.304549
353.533997,2.301152
352.535248,2.296628
351.536469,2.288582
350.504425,2.290044
349.505646,2.268396
348.506927,2.262256
347.474854,2.261034
346.476105,2.275249
345.477325,2.261534
344.445282,2.239377
343.446533,2.234741
342.447784,2.233085
341.415710,2.223746
340.416962,2.216733
339.418213,2.256913
338.386139,2.246397
337.387360,2.193502
336.388641,2.188173
335.356598,2.176432
334.357849,2.187350
333.359039,2.227641
332.326996,2.191908
331.328247,2.140294
330.329498,2.149314
329.297424,2.135633
328.298645,2.146838
327.299927,2.183113
326.267853,2.177706
325.269073,2.158105
324.270355,2.135191
323.238281,2.126052
322.239502,2.144237
321.240784,2.092378
320.208710,2.074430
319.209961,2.093582
318.211212,2.098795
317.179138,2.059845
316.180359,2.094374
315.181641,2.096408
314.149536,2.081713
313.150787,2.087988
312.152069,2.070002
311.119995,2.059621
310.121185,2.056943
309.089172,2.055103
308.090393,2.045970
307.091644,2.028063
306.059570,2.053560
305.060852,2.030679
304.062042,2.022535
303.029999,2.020655
302.031219,2.015310
301.032471,2.006594
300.000427,2.008957
299.001678,1.996510
298.002899,1.991242
296.970825,1.982496
295.972076,1.961745
294.973328,2.001572
293.941254,1.971777
292.942474,1.969887
291.943726,1.958349
290.911652,1.968071
289.912903,1.950372
288.914154,1.943543
287.882080,1.939434
286.883301,1.932194
285.884552,1.926908
284.852478,1.921934
283.853729,1.913497
282.854980,1.905827
281.822876,1.898834
280.824127,1.891029
279.825317,1.883180
278.793304,1.875694
277.794556,1.868959
276.795776,1.861959
275.763702,1.854709
274.764984,1.847492
273.766174,1.840366
272.734131,1.833508
271.735382,1.827433
270.736603,1.820631
269.704529,1.813522
268.705780,1.806252
267.707001,1.799249
266.674927,1.792403
265.676178,1.785235
264.677399,1.778033
263.645355,1.770895
262.646576,1.764021
261.647827,1.758038
260.615753,1.750429
259.617004,1.743763
258.584900,1.736872
257.586182,1.730428
256.587372,1.722847
255.555344,1.715589
254.556549,1.708836
253.557785,1.702376
252.525742,1.694779
251.526947,1.687946
250.528183,1.680958
249.496140,1.674267
248.497330,1.667644
247.498581,1.660804
246.466522,1.653668
245.467773,1.646927
244.468964,1.640364
243.436951,1.634010
242.438156,1.627202
241.439392,1.620199
240.407318,1.613499
239.408585,1.607357
238.409760,1.600442
237.377716,1.593152
236.378922,1.586079
235.380157,1.579840
234.348114,1.572571
233.349335,1.565518
232.350586,1.558624
231.318527,1.552328
230.319733,1.545519
229.320969,1.538326
228.288895,1.531784
227.290115,1.525659
226.291382,1.518952
225.259277,1.511466
224.260529,1.504800
223.261749,1.498416
222.229706,1.491752
221.230927,1.485074
220.232147,1.478673
219.200073,1.471758
218.201324,1.464966
217.202515,1.457950
216.170486,1.450728
215.171677,1.444041
214.172928,1.437472
213.140839,1.430549
212.142090,1.423651
211.143280,1.416786
210.111252,1.409853
209.112442,1.406805
208.113693,1.399940
207.081604,1.393126
206.082840,1.386313
205.050766,1.379263
204.052017,1.373065
203.053238,1.366117
202.021164,1.358804
201.022385,1.352618
200.023605,1.345980
198.991516,1.339124
197.992783,1.332873
196.994003,1.326248
195.961929,1.318875
194.963150,1.312514
193.964371,1.306256
192.932281,1.299537
191.933533,1.292458
190.934753,1.285503
189.902695,1.279086
188.903946,1.272349
187.905136,1.265319
186.873108,1.258348
185.874298,1.251801
184.875549,1.244775
183.843445,1.238082
182.844696,1.230907
181.845901,1.224541
180.813843,1.217674
179.815063,1.210891
178.816269,1.203685
177.784180,1.196870
176.785431,1.190731
175.786636,1.183761
174.754608,1.176248
173.755783,1.169459
172.757034,1.162714
171.724945,1.155846
170.726196,1.149082
169.727371,1.142197
168.695328,1.135254
167.696548,1.128694
166.697769,1.122055
165.665665,1.114694
164.666916,1.107687
163.668106,1.100815
162.636078,1.093482
161.637283,1.086831
160.638535,1.079777
159.606430,1.072737
158.607651,1.065822
157.608841,1.059324
156.576813,1.052054
155.578003,1.045183
154.545944,1.038280
153.547165,1.031399
152.548386,1.024497
151.516296,1.017096
150.517532,1.010111
149.518738,1.003174
148.486664,0.995964
147.487885,0.988640
146.489105,0.981607
145.457016,0.974284
144.458267,0.967250
143.459503,0.959739
142.427399,0.952902
141.428650,0.945432
140.429840,0.938348
139.397781,0.931155
138.399002,0.924139
137.400223,0.917323
136.368118,0.910413
135.369385,0.903703
134.370560,0.896803
133.338501,0.889724
132.339691,0.882696
131.340958,0.875816
130.308853,0.868289
129.310074,0.861419
128.311264,0.854574
127.279228,0.847450
126.280426,0.840071
125.281647,0.833068
124.249550,0.825662
123.250801,0.818729
122.251991,0.810672
121.219940,0.804006
120.221115,0.797130
