2,RUF RT 12R Track,baseline
Steering Wheel Angle,Yaw Rate
362.622681,2.667900
361.623901,2.676723
360.625153,2.687921
359.593109,2.697852
358.594330,2.688398
357.595612,2.689864
356.563568,2.682335
355.564758,2.661863
354.566010,2.654804
353.533997,2.643371
352.535248,2.640132
351.536469,2.631675
350.504425,2.629395
349.505646,2.626050
348.506927,2.622158
347.474854,2.619523
346.476105,2.605734
345.477325,2.599195
344.445282,2.589277
343.446533,2.588063
342.447784,2.583656
341.415710,2.573688
340.416962,2.565964
339.418213,2.564253
338.386139,2.555196
337.387360,2.549195
336.388641,2.540570
335.356598,2.531985
334.357849,2.525279
333.359039,2.517450
332.326996,2.509722
331.328247,2.501614
330.329498,2.494342
329.297424,2.486277
328.298645,2.478591
327.299927,2.470680
326.267853,2.462504
325.269073,2.455322
324.270355,2.447193
323.238281,2.439435
322.239502,2.431812
321.240784,2.423212
320.208710,2.416323
319.209961,2.408474
318.211212,2.401175
317.179138,2.392834
316.180359,2.385042
315.181641,2.377487
314.149536,2.369274
313.150787,2.361602
312.152069,2.353998
311.119995,2.346145
310.121185,2.338738
309.089172,2.330196
308.090393,2.322559
307.091644,2.314709
306.059570,2.307196
305.060852,2.299613
304.062042,2.291923
303.029999,2.283668
302.031219,2.276122
301.032471,2.268738
300.000427,2.260483
299.001678,2.252659
298.002899,2.245417
296.970825,2.236889
295.972076,2.228725
294.973328,2.221619
293.941254,2.213958
292.942474,2.206360
291.943726,2.199120
290.911652,2.190873
289.912903,2.182855
288.914154,2.174852
287.882080,2.167079
286.883301,2.159479
285.884552,2.151761
284.852478,2.144012
283.853729,2.136558
282.854980,2.128331
281.822876,2.121368
280.824127,2.113405
279.825317,2.105595
278.793304,2.097962
277.794556,2.090299
276.795776,2.082467
275.763702,2.074975
274.764984,2.066732
273.766174,2.058972
272.734131,2.051826
271.735382,2.043500
270.736603,2.035736
269.704529,2.028126
268.705780,2.020900
267.707001,2.013172
266.674927,2.005359
265.676178,1.997379
264.677399,1.989260
263.645355,1.980812
262.646576,1.973940
261.647827,1.966680
260.615753,1.958668
259.617004,1.950901
258.584900,1.943656
257.586182,1.935933
256.587372,1.928062
255.555344,1.919920
254.556549,1.912455
253.557785,1.905252
252.525742,1.897007
251.526947,1.888665
250.528183,1.881513
249.496140,1.873984
248.497330,1.866547
247.498581,1.858779
246.466522,1.850878
245.467773,1.843454
244.468964,1.835490
243.436951,1.827603
242.438156,1.820001
241.439392,1.812549
240.407318,1.804654
239.408585,1.797118
238.409760,1.789402
237.377716,1.781595
236.378922,1.774059
235.380157,1.766251
234.348114,1.758547
233.349335,1.750972
232.350586,1.743365
231.318527,1.735319
230.319733,1.727764
229.320969,1.720225
228.288895,1.712527
227.290115,1.704727
226.291382,1.697266
225.259277,1.689347
224.260529,1.681872
223.261749,1.674443
222.229706,1.666401
221.230927,1.658600
220.232147,1.651173
219.200073,1.643332
218.201324,1.635986
217.202515,1.628287
216.170486,1.620325
215.171677,1.612679
214.172928,1.605081
213.140839,1.597339
212.142090,1.589860
211.143280,1.582149
210.111252,1.574116
209.112442,1.566824
208.113693,1.559562
207.081604,1.551635
206.082840,1.543518
205.050766,1.535886
204.052017,1.528881
203.053238,1.520978
202.021164,1.512949
201.022385,1.505510
200.023605,1.497833
198.991516,1.489978
197.992783,1.482316
196.994003,1.474696
195.961929,1.467263
194.963150,1.459542
193.964371,1.451829
192.932281,1.444216
191.933533,1.436793
190.934753,1.429105
189.902695,1.421132
188.903946,1.413564
187.905136,1.405952
186.873108,1.398155
185.874298,1.390580
184.875549,1.383040
183.843445,1.375458
182.844696,1.367719
181.845901,1.360139
180.813843,1.352341
179.815063,1.344977
178.816269,1.337438
177.784180,1.329490
176.785431,1.321960
175.786636,1.314431
174.754608,1.306567
173.755783,1.299068
172.757034,1.291397
171.724945,1.283342
170.726196,1.275588
169.727371,1.268391
168.695328,1.260858
167.696548,1.253397
166.697769,1.245778
165.665665,1.238039
164.666916,1.230380
163.668106,1.222905
162.636078,1.215018
161.637283,1.207423
160.638535,1.199959
159.606430,1.192632
158.607651,1.184883
157.608841,1.177089
156.576813,1.169412
155.578003,1.161835
154.545944,1.154030
153.547165,1.146508
152.548386,1.139002
151.516296,1.131151
150.517532,1.123790
149.518738,1.116542
148.486664,1.108247
147.487885,1.100888
146.489105,1.093493
145.457016,1.085576
144.458267,1.077977
143.459503,1.070520
142.427399,1.062577
141.428650,1.055120
140.429840,1.047607
139.397781,1.039924
138.399002,1.032377
137.400223,1.024938
136.368118,1.017263
135.369385,1.009678
134.370560,1.002141
