2,Radical SR8,baseline
Steering Wheel Angle,Yaw Rate
237.377716,2.521824
236.378922,2.522810
235.380157,2.526639
234.348114,2.518292
233.349335,2.507304
232.350586,2.495916
231.318527,2.484219
230.319733,2.472973
229.320969,2.460075
228.288895,2.449096
227.290115,2.437549
226.291382,2.426859
225.259277,2.414935
224.260529,2.404977
223.261749,2.394298
222.229706,2.382230
221.230927,2.371316
220.232147,2.359818
219.200073,2.349150
218.201324,2.336879
217.202515,2.325458
216.170486,2.314039
215.171677,2.304201
214.172928,2.292367
213.140839,2.280874
212.142090,2.269555
211.143280,2.258750
210.111252,2.247208
209.112442,2.236485
208.113693,2.226165
207.081604,2.213794
206.082840,2.203072
205.050766,2.191408
204.052017,2.181004
203.053238,2.171258
202.021164,2.159274
201.022385,2.147456
200.023605,2.137197
198.991516,2.125142
197.992783,2.114282
196.994003,2.103808
195.961929,2.092476
194.963150,2.081882
193.964371,2.069690
192.932281,2.059112
191.933533,2.048213
190.934753,2.037588
189.902695,2.026023
188.903946,2.015553
187.905136,2.004965
186.873108,1.992522
185.874298,1.982445
184.875549,1.971502
183.843445,1.959854
182.844696,1.948322
181.845901,1.937116
180.813843,1.927227
179.815063,1.915333
178.816269,1.903773
177.784180,1.892576
176.785431,1.882495
175.786636,1.870654
174.754608,1.860232
173.755783,1.849364
172.757034,1.838234
171.724945,1.826608
170.726196,1.816521
169.727371,1.805881
168.695328,1.793656
167.696548,1.784007
166.697769,1.773021
165.665665,1.760748
164.666916,1.749577
163.668106,1.739651
162.636078,1.727553
161.637283,1.717099
160.638535,1.706684
159.606430,1.696000
158.607651,1.683986
157.608841,1.673971
156.576813,1.663264
155.578003,1.651917
154.545944,1.640852
153.547165,1.629998
152.548386,1.618443
151.516296,1.608277
150.517532,1.596023
149.518738,1.585878
148.486664,1.574533
147.487885,1.564116
146.489105,1.553857
145.457016,1.541642
144.458267,1.530541
143.459503,1.520670
142.427399,1.508475
141.428650,1.498270
140.429840,1.487849
139.397781,1.475762
138.399002,1.466448
137.400223,1.455052
136.368118,1.443083
135.369385,1.432583
134.370560,1.422174
133.338501,1.411435
132.339691,1.400590
131.340958,1.389188
130.308853,1.378328
129.310074,1.367084
128.311264,1.356896
127.279228,1.346002
126.280426,1.335282
125.281647,1.323718
124.249550,1.312597
123.250801,1.302787
122.251991,1.292145
121.219940,1.280172
120.221115,1.270074
119.222366,1.258336
118.190239,1.247054
117.191505,1.237017
116.192688,1.225709
115.160629,1.214489
114.161819,1.204313
113.163063,1.192957
112.130974,1.182496
111.132202,1.171175
110.133385,1.161340
109.101326,1.150086
108.102509,1.138429
107.103767,1.128343
106.071671,1.117397
105.072891,1.106154
104.074081,1.095888
103.042015,1.084563
102.043213,1.074217
101.011185,1.062335
100.012398,1.051233
99.013596,1.041201
97.981529,1.029588
96.982719,1.019060
95.983971,1.008330
94.951881,0.997900
93.953102,0.986708
92.954285,0.976572
91.922226,0.965555
90.923409,0.954059
89.924667,0.943439
88.892548,0.932633
87.893791,0.922025
86.894981,0.910911
85.862923,0.899495
84.864113,0.889430
83.865334,0.878246
82.833237,0.866807
81.834457,0.856253
80.835648,0.845456
79.803581,0.834933
78.804771,0.824040
77.806030,0.813189
76.773903,0.802523
75.775154,0.791993
74.776337,0.781189
73.744286,0.770107
72.745476,0.758735
71.746696,0.747842
70.714600,0.737177
69.715820,0.727251
68.717003,0.715916
67.684944,0.704568
66.686142,0.693955
65.687355,0.683913
64.655266,0.672131
63.656487,0.661637
62.657673,0.651547
61.625610,0.640615
60.626797,0.629127
59.628021,0.618092
58.595932,0.607698
57.597145,0.597389
56.598400,0.586149
55.566277,0.574843
54.567528,0.564324
53.568687,0.554429
52.536625,0.542548
51.537811,0.532428
50.505753,0.520952
49.506939,0.510183
48.508160,0.499546
47.476070,0.488918
46.477287,0.477667
45.478477,0.467361
44.446415,0.456222
43.447601,0.445728
42.448826,0.434948
41.416702,0.424429
40.417953,0.413244
39.419140,0.402146
38.387077,0.391555
37.388233,0.381610
36.389488,0.370731
35.357365,0.359292
34.358585,0.349250
33.359772,0.338559
32.327709,0.326934
31.328901,0.316679
30.330120,0.305466
29.297997,0.294492
28.299248,0.284259
27.300406,0.273159
26.268345,0.262381
25.269531,0.251831
24.270754,0.241425
23.238661,0.230648
22.239880,0.219939
21.241070,0.208762
20.209009,0.198439
