2,Ram,watkinsglen
Steering Wheel Angle,Yaw Rate
366.684296,2.827708
365.685516,2.839072
364.653442,2.892115
363.654724,2.893272
362.622681,2.880173
361.623901,2.849368
360.625153,2.832680
359.593109,2.823435
358.594330,2.823945
357.595612,2.822597
356.563568,2.815640
355.564758,2.808782
354.566010,2.799840
353.533997,2.784309
352.535248,2.779635
351.536469,2.771547
350.504425,2.764587
349.505646,2.755514
348.506927,2.747944
347.474854,2.739315
346.476105,2.730936
345.477325,2.723398
344.445282,2.713619
343.446533,2.706753
342.447784,2.698567
341.415710,2.689234
340.416962,2.682451
339.418213,2.672208
338.386139,2.665558
337.387360,2.657054
336.388641,2.649282
335.356598,2.639930
334.357849,2.632503
333.359039,2.623780
332.326996,2.615292
331.328247,2.608175
330.329498,2.599109
329.297424,2.591490
328.298645,2.582201
327.299927,2.574836
326.267853,2.566182
325.269073,2.558198
324.270355,2.549009
323.238281,2.541497
322.239502,2.533842
321.240784,2.524324
320.208710,2.517266
319.209961,2.507382
318.211212,2.501236
317.179138,2.492579
316.180359,2.484275
315.181641,2.476418
314.149536,2.468227
313.150787,2.459678
312.152069,2.452830
311.119995,2.443200
310.121185,2.435707
309.089172,2.425347
308.090393,2.419296
307.091644,2.409468
306.059570,2.402899
305.060852,2.394422
304.062042,2.386241
303.029999,2.377806
302.031219,2.370560
301.032471,2.361457
300.000427,2.353388
299.001678,2.345128
298.002899,2.336971
296.970825,2.328692
295.972076,2.320695
294.973328,2.312928
293.941254,2.305033
292.942474,2.295958
291.943726,2.288144
290.911652,2.280442
289.912903,2.272280
288.914154,2.264000
287.882080,2.255144
286.883301,2.247968
285.884552,2.239841
284.852478,2.231040
283.853729,2.222947
282.854980,2.215351
281.822876,2.206293
280.824127,2.198793
279.825317,2.191124
278.793304,2.182363
277.794556,2.173937
276.795776,2.166867
275.763702,2.157939
274.764984,2.150000
273.766174,2.142676
272.734131,2.134183
271.735382,2.125000
270.736603,2.119209
269.704529,2.109906
268.705780,2.102356
267.707001,2.093720
266.674927,2.085102
265.676178,2.078136
264.677399,2.068977
263.645355,2.061563
262.646576,2.053546
261.647827,2.045282
260.615753,2.037549
259.617004,2.029356
258.584900,2.021138
257.586182,2.012696
256.587372,2.005111
255.555344,1.995527
254.556549,1.989832
253.557785,1.980574
252.525742,1.973364
251.526947,1.965109
250.528183,1.957033
249.496140,1.947846
248.497330,1.940665
247.498581,1.931941
246.466522,1.925128
245.467773,1.916448
244.468964,1.909047
243.436951,1.898600
242.438156,1.893247
241.439392,1.884956
240.407318,1.876200
239.408585,1.868167
238.409760,1.860628
237.377716,1.851538
236.378922,1.844442
235.380157,1.835901
234.348114,1.828263
233.349335,1.819690
232.350586,1.813510
231.318527,1.804655
230.319733,1.796677
229.320969,1.788688
228.288895,1.779810
227.290115,1.772446
226.291382,1.763763
225.259277,1.756413
224.260529,1.748725
223.261749,1.740869
222.229706,1.732312
221.230927,1.724229
220.232147,1.716240
219.200073,1.707852
218.201324,1.699677
217.202515,1.693443
216.170486,1.683884
215.171677,1.676802
214.172928,1.668626
213.140839,1.660704
212.142090,1.650959
211.143280,1.644274
210.111252,1.637446
209.112442,1.627595
208.113693,1.621043
207.081604,1.612818
206.082840,1.603619
205.050766,1.597337
204.052017,1.588870
203.053238,1.580770
202.021164,1.571109
201.022385,1.564986
200.023605,1.557776
198.991516,1.548954
197.992783,1.540915
196.994003,1.532633
195.961929,1.524829
194.963150,1.517246
193.964371,1.509693
192.932281,1.500744
191.933533,1.493370
190.934753,1.484989
189.902695,1.478312
188.903946,1.469467
187.905136,1.461820
186.873108,1.452889
185.874298,1.446238
184.875549,1.437092
183.843445,1.430357
182.844696,1.421999
181.845901,1.412643
180.813843,1.404935
179.815063,1.398469
178.816269,1.391031
177.784180,1.380867
176.785431,1.374848
175.786636,1.367079
174.754608,1.358265
173.755783,1.350000
172.757034,1.342809
171.724945,1.334490
170.726196,1.326153
169.727371,1.319109
168.695328,1.308824
167.696548,1.302936
166.697769,1.295496
165.665665,1.287109
164.666916,1.279049
163.668106,1.271748
162.636078,1.263090
161.637283,1.255752
160.638535,1.247462
159.606430,1.239854
158.607651,1.231864
157.608841,1.223756
156.576813,1.215958
155.578003,1.207728
154.545944,1.199587
153.547165,1.192614
152.548386,1.184332
151.516296,1.176192
150.517532,1.168726
149.518738,1.160742
148.486664,1.152106
147.487885,1.145033
146.489105,1.136607
145.457016,1.127344
144.458267,1.121565
143.459503,1.112270
142.427399,1.106053
141.428650,1.096215
140.429840,1.090623
139.397781,1.081433
138.399002,1.072609
137.400223,1.066688
136.368118,1.056772
135.369385,1.050769
134.370560,1.042298
133.338501,1.033675
132.339691,1.024959
131.340958,1.018505
130.308853,1.010145
129.310074,1.002645
128.311264,0.994705
127.279228,0.985535
126.280426,0.978604
125.281647,0.971870
124.249550,0.962701
123.250801,0.956375
122.251991,0.947234
121.219940,0.939587
120.221115,0.930490
119.222366,0.924891
118.190239,0.915769
117.191505,0.907082
116.192688,0.899818
115.160629,0.891603
114.161819,0.884648
113.163063,0.875249
112.130974,0.868536
111.132202,0.861146
110.133385,0.852213
109.101326,0.845910
108.102509,0.837372
107.103767,0.827963
106.071671,0.822396
105.072891,0.813122
104.074081,0.804828
103.042015,0.797294
102.043213,0.790289
101.011185,0.782906
100.012398,0.774788
99.013596,0.765980
97.981529,0.757568
96.982719,0.750760
95.983971,0.743203
94.951881,0.734002
93.953102,0.727362
92.954285,0.719200
91.922226,0.712246
90.923409,0.703767
89.924667,0.695672
88.892548,0.687519
87.893791,0.680863
86.894981,0.671900
