2,Ray Formula 1600,baseline
Steering Wheel Angle,Yaw Rate
193.964371,2.420491
192.932281,2.405100
191.933533,2.391357
190.934753,2.377966
189.902695,2.363834
188.903946,2.350494
187.905136,2.337089
186.873108,2.322903
185.874298,2.309218
184.875549,2.295408
183.843445,2.281474
182.844696,2.268117
181.845901,2.254553
180.813843,2.240680
179.815063,2.226914
178.816269,2.213380
177.784180,2.199665
176.785431,2.186466
175.786636,2.173050
174.754608,2.159404
173.755783,2.145900
172.757034,2.132310
171.724945,2.118671
170.726196,2.105520
169.727371,2.092311
168.695328,2.078563
167.696548,2.065334
166.697769,2.052248
165.665665,2.038465
164.666916,2.025309
163.668106,2.012104
162.636078,1.998737
161.637283,1.985654
160.638535,1.972667
159.606430,1.959198
158.607651,1.946114
157.608841,1.932930
156.576813,1.919368
155.578003,1.906501
154.545944,1.892962
153.547165,1.879968
152.548386,1.867174
151.516296,1.853845
150.517532,1.840912
149.518738,1.827986
148.486664,1.814376
147.487885,1.801532
146.489105,1.788895
145.457016,1.775612
144.458267,1.762719
143.459503,1.750156
142.427399,1.736850
141.428650,1.724267
140.429840,1.711519
139.397781,1.698312
138.399002,1.685754
137.400223,1.672769
136.368118,1.659598
135.369385,1.646781
134.370560,1.634037
133.338501,1.620979
132.339691,1.608252
131.340958,1.595481
130.308853,1.582409
129.310074,1.569876
128.311264,1.557407
127.279228,1.544204
126.280426,1.531639
125.281647,1.519282
124.249550,1.506488
123.250801,1.493706
122.251991,1.481067
121.219940,1.468067
120.221115,1.455443
119.222366,1.442917
118.190239,1.430210
117.191505,1.418031
116.192688,1.405267
115.160629,1.392309
114.161819,1.379973
113.163063,1.367385
112.130974,1.354581
111.132202,1.342113
110.133385,1.329553
109.101326,1.316825
108.102509,1.304528
107.103767,1.292129
106.071671,1.279116
105.072891,1.266998
104.074081,1.254566
103.042015,1.241737
102.043213,1.229529
101.011185,1.216617
100.012398,1.204419
99.013596,1.192173
97.981529,1.179556
96.982719,1.167071
95.983971,1.154800
94.951881,1.142374
93.953102,1.129837
92.954285,1.117511
91.922226,1.105086
90.923409,1.092630
89.924667,1.080139
88.892548,1.067610
87.893791,1.055579
86.894981,1.043315
85.862923,1.030542
84.864113,1.018545
83.865334,1.006575
82.833237,0.993936
81.834457,0.981626
80.835648,0.969507
79.803581,0.956946
78.804771,0.944676
77.806030,0.932377
76.773903,0.919926
75.775154,0.907802
74.776337,0.895751
73.744286,0.883183
72.745476,0.870986
71.746696,0.858890
70.714600,0.846247
69.715820,0.834285
68.717003,0.822339
67.684944,0.809892
66.686142,0.797696
65.687355,0.785542
64.655266,0.773190
63.656487,0.761096
62.657673,0.749025
61.625610,0.736429
60.626797,0.724376
59.628021,0.712446
58.595932,0.700031
57.597145,0.688017
56.598400,0.675762
55.566277,0.663218
54.567528,0.651270
53.568687,0.639372
52.536625,0.627082
51.537811,0.614958
50.505753,0.602641
49.506939,0.590723
48.508160,0.578530
47.476070,0.566034
46.477287,0.554185
45.478477,0.542166
44.446415,0.529832
43.447601,0.517847
