2,Renault Clio R.S. V,baseline
Steering Wheel Angle,Yaw Rate
333.359039,2.417680
332.326996,2.416274
331.328247,2.416681
330.329498,2.418776
329.297424,2.438593
328.298645,2.417719
327.299927,2.418923
326.267853,2.408866
325.269073,2.401592
324.270355,2.395094
323.238281,2.379835
322.239502,2.362277
321.240784,2.354665
320.208710,2.348440
319.209961,2.341431
318.211212,2.338642
317.179138,2.339305
316.180359,2.333788
315.181641,2.328288
314.149536,2.321887
313.150787,2.315060
312.152069,2.304758
311.119995,2.295539
310.121185,2.289713
309.089172,2.282195
308.090393,2.274519
307.091644,2.263544
306.059570,2.253257
305.060852,2.246548
304.062042,2.239480
303.029999,2.230057
302.031219,2.220264
301.032471,2.213318
300.000427,2.208372
299.001678,2.201583
298.002899,2.194291
296.970825,2.189502
295.972076,2.183479
294.973328,2.176558
293.941254,2.171872
292.942474,2.165288
291.943726,2.157112
290.911652,2.150643
289.912903,2.142324
288.914154,2.131742
287.882080,2.124577
286.883301,2.118557
285.884552,2.108753
284.852478,2.097669
283.853729,2.092350
282.854980,2.086739
281.822876,2.077706
280.824127,2.071966
279.825317,2.067636
278.793304,2.059246
277.794556,2.053203
276.795776,2.048516
275.763702,2.037869
274.764984,2.029189
273.766174,2.023183
272.734131,2.013825
271.735382,2.003125
270.736603,1.997595
269.704529,1.992548
268.705780,1.983451
267.707001,1.977660
266.674927,1.973308
265.676178,2.042736
264.677399,2.012083
263.645355,1.991919
262.646576,1.992982
261.647827,1.987477
260.615753,2.000242
259.617004,1.972573
258.584900,1.976574
257.586182,1.965844
256.587372,1.967963
255.555344,1.968484
254.556549,1.948225
253.557785,1.961905
252.525742,1.965213
251.526947,1.929439
250.528183,1.916519
249.496140,1.913629
248.497330,1.913927
247.498581,1.907910
246.466522,1.888061
245.467773,1.888207
244.468964,1.879831
243.436951,1.876539
242.438156,1.858731
241.439392,1.869510
240.407318,1.868058
239.408585,1.848200
238.409760,1.831416
237.377716,1.836590
236.378922,1.827481
235.380157,1.823319
234.348114,1.805838
233.349335,1.811762
232.350586,1.801550
231.318527,1.795759
230.319733,1.790191
229.320969,1.780360
228.288895,1.776269
227.290115,1.765712
226.291382,1.755073
225.259277,1.748851
224.260529,1.737967
223.261749,1.728977
222.229706,1.725750
221.230927,1.716583
220.232147,1.709555
219.200073,1.704279
218.201324,1.691629
217.202515,1.684300
216.170486,1.676196
215.171677,1.665321
214.172928,1.661309
213.140839,1.654475
212.142090,1.645626
211.143280,1.639912
210.111252,1.628209
209.112442,1.618932
208.113693,1.613646
207.081604,1.603974
206.082840,1.597893
205.050766,1.592105
204.052017,1.580304
203.053238,1.573802
202.021164,1.564215
201.022385,1.555902
200.023605,1.552179
198.991516,1.542330
197.992783,1.533228
196.994003,1.525865
195.961929,1.515749
194.963150,1.511193
193.964371,1.503745
192.932281,1.492259
191.933533,1.486619
190.934753,1.477996
189.902695,1.470783
188.903946,1.463504
187.905136,1.451892
186.873108,1.446848
185.874298,1.439937
184.875549,1.429722
183.843445,1.423162
182.844696,1.413836
181.845901,1.407146
180.813843,1.400662
179.815063,1.388769
178.816269,1.382752
177.784180,1.375620
176.785431,1.367440
175.786636,1.360874
174.754608,1.349303
173.755783,1.342838
172.757034,1.336907
171.724945,1.327221
170.726196,1.320127
169.727371,1.310250
168.695328,1.302995
167.696548,1.297923
166.697769,1.286886
165.665665,1.279276
164.666916,1.272085
163.668106,1.263952
162.636078,1.257642
161.637283,1.246514
160.638535,1.240360
159.606430,1.233915
158.607651,1.222776
157.608841,1.217150
156.576813,1.208797
155.578003,1.200655
154.545944,1.192703
153.547165,1.183082
152.548386,1.178447
151.516296,1.169096
150.517532,1.159738
149.518738,1.153984
148.486664,1.144719
147.487885,1.138388
146.489105,1.128677
145.457016,1.120171
144.458267,1.115245
143.459503,1.105541
142.427399,1.097435
141.428650,1.088683
140.429840,1.081071
139.397781,1.076302
138.399002,1.065383
137.400223,1.057595
136.368118,1.049603
135.369385,1.041549
134.370560,1.036736
133.338501,1.025837
132.339691,1.017564
131.340958,1.010630
130.308853,1.002472
129.310074,0.997070
128.311264,0.985884
127.279228,0.977839
126.280426,0.971215
125.281647,0.963212
124.249550,0.957448
123.250801,0.946486
122.251991,0.938514
121.219940,0.931351
120.221115,0.923403
119.222366,0.916784
118.190239,0.908346
117.191505,0.899753
116.192688,0.889375
115.160629,0.884768
114.161819,0.876744
113.163063,0.870080
112.130974,0.860569
111.132202,0.850546
110.133385,0.845069
109.101326,0.836614
108.102509,0.830308
107.103767,0.821159
106.071671,0.810783
105.072891,0.806129
104.074081,0.797370
103.042015,0.790339
102.043213,0.781080
101.011185,0.771709
100.012398,0.766979
99.013596,0.758290
97.981529,0.750056
96.982719,0.740669
95.983971,0.733433
94.951881,0.727617
93.953102,0.718360
92.954285,0.710803
91.922226,0.700928
90.923409,0.693891
89.924667,0.688185
88.892548,0.679012
87.893791,0.671292
86.894981,0.661326
85.862923,0.654667
84.864113,0.648419
83.865334,0.639800
82.833237,0.631966
81.834457,0.621612
80.835648,0.616175
79.803581,0.608834
78.804771,0.599637
77.806030,0.592181
76.773903,0.582923
75.775154,0.577465
74.776337,0.568999
73.744286,0.559657
72.745476,0.552771
71.746696,0.544452
70.714600,0.538320
69.715820,0.528137
68.717003,0.520164
67.684944,0.513973
66.686142,0.505437
65.687355,0.497817
64.655266,0.488524
63.656487,0.482431
62.657673,0.474852
61.625610,0.464964
