2,Riley Daytona Prototype,baseline
Steering Wheel Angle,Yaw Rate
201.022385,1.941115
200.023605,1.941621
198.991516,1.933202
197.992783,1.926620
196.994003,1.916851
195.961929,1.906791
194.963150,1.896849
193.964371,1.885748
192.932281,1.874454
191.933533,1.864654
190.934753,1.854770
189.902695,1.845251
188.903946,1.835361
187.905136,1.825271
186.873108,1.814777
185.874298,1.804987
184.875549,1.795022
183.843445,1.784588
182.844696,1.774851
181.845901,1.764984
180.813843,1.754675
179.815063,1.744723
178.816269,1.734763
177.784180,1.724529
176.785431,1.714733
175.786636,1.704596
174.754608,1.694770
173.755783,1.684821
172.757034,1.675012
171.724945,1.664561
170.726196,1.654777
169.727371,1.644926
168.695328,1.634781
167.696548,1.624733
166.697769,1.614904
165.665665,1.604553
164.666916,1.594815
163.668106,1.584837
162.636078,1.574821
161.637283,1.564857
160.638535,1.555063
159.606430,1.544979
158.607651,1.535015
157.608841,1.525034
156.576813,1.515115
155.578003,1.505259
154.545944,1.494986
153.547165,1.485230
152.548386,1.475291
151.516296,1.465083
150.517532,1.455385
149.518738,1.445327
148.486664,1.435247
147.487885,1.425429
146.489105,1.415651
145.457016,1.405451
144.458267,1.395542
143.459503,1.385739
142.427399,1.375550
141.428650,1.365923
140.429840,1.356003
139.397781,1.345864
138.399002,1.335790
137.400223,1.326110
136.368118,1.316050
135.369385,1.306256
134.370560,1.296314
133.338501,1.286381
132.339691,1.276561
131.340958,1.266794
130.308853,1.256643
129.310074,1.246874
128.311264,1.236971
127.279228,1.226980
126.280426,1.217134
125.281647,1.207365
124.249550,1.197203
123.250801,1.187367
122.251991,1.177648
121.219940,1.167513
120.221115,1.157622
119.222366,1.147876
118.190239,1.137899
117.191505,1.128178
116.192688,1.118289
115.160629,1.108225
114.161819,1.098349
113.163063,1.088558
112.130974,1.078415
111.132202,1.068761
110.133385,1.058999
109.101326,1.048862
108.102509,1.039181
107.103767,1.029318
106.071671,1.019267
105.072891,1.009530
104.074081,0.999667
103.042015,0.989596
102.043213,0.979798
101.011185,0.969739
100.012398,0.960024
99.013596,0.950092
97.981529,0.940164
96.982719,0.930286
95.983971,0.920480
94.951881,0.910453
93.953102,0.900659
92.954285,0.890965
91.922226,0.880830
90.923409,0.870989
89.924667,0.861262
88.892548,0.851173
87.893791,0.841532
86.894981,0.831605
85.862923,0.821558
84.864113,0.811757
83.865334,0.801932
82.833237,0.791871
81.834457,0.782118
80.835648,0.772415
79.803581,0.762212
78.804771,0.752476
77.806030,0.742802
76.773903,0.732757
75.775154,0.722947
74.776337,0.713168
73.744286,0.703057
72.745476,0.693354
71.746696,0.683514
70.714600,0.673619
69.715820,0.663744
68.717003,0.654022
67.684944,0.643984
66.686142,0.634198
65.687355,0.624496
64.655266,0.614351
63.656487,0.604733
62.657673,0.594850
61.625610,0.584746
60.626797,0.575082
59.628021,0.565326
58.595932,0.555225
57.597145,0.545668
56.598400,0.535922
55.566277,0.525741
54.567528,0.516000
53.568687,0.506229
52.536625,0.496152
51.537811,0.486529
50.505753,0.476353
49.506939,0.466660
