2,SCCA Spec Racer Ford,baseline
Steering Wheel Angle,Yaw Rate
241.439392,2.328062
240.407318,2.329880
239.408585,2.330474
238.409760,2.322445
237.377716,2.312323
236.378922,2.301217
235.380157,2.289858
234.348114,2.278028
233.349335,2.268359
232.350586,2.258610
231.318527,2.248477
230.319733,2.240117
229.320969,2.230469
228.288895,2.220257
227.290115,2.210253
226.291382,2.200174
225.259277,2.189740
224.260529,2.179618
223.261749,2.169863
222.229706,2.159975
221.230927,2.150095
220.232147,2.140322
219.200073,2.129906
218.201324,2.120373
217.202515,2.110536
216.170486,2.100596
215.171677,2.090779
214.172928,2.080681
213.140839,2.070981
212.142090,2.061079
211.143280,2.051085
210.111252,2.041176
209.112442,2.031436
208.113693,2.021539
207.081604,2.011232
206.082840,2.001687
205.050766,1.991564
204.052017,1.981703
203.053238,1.971767
202.021164,1.961726
201.022385,1.951959
200.023605,1.941980
198.991516,1.931670
197.992783,1.921907
196.994003,1.912388
195.961929,1.902247
194.963150,1.892341
193.964371,1.882425
192.932281,1.872269
191.933533,1.862961
190.934753,1.853186
189.902695,1.842931
188.903946,1.833178
187.905136,1.823288
186.873108,1.813272
185.874298,1.803657
184.875549,1.793802
183.843445,1.783506
182.844696,1.773543
181.845901,1.764133
180.813843,1.753898
179.815063,1.744278
178.816269,1.734494
177.784180,1.724378
176.785431,1.714734
175.786636,1.705019
174.754608,1.694572
173.755783,1.685022
172.757034,1.675225
171.724945,1.665053
170.726196,1.655555
169.727371,1.645807
168.695328,1.635233
167.696548,1.625678
166.697769,1.615870
165.665665,1.605840
164.666916,1.596122
163.668106,1.586714
162.636078,1.576461
161.637283,1.566523
160.638535,1.556947
159.606430,1.547036
158.607651,1.537335
157.608841,1.527468
156.576813,1.517410
155.578003,1.507766
154.545944,1.497721
153.547165,1.488013
152.548386,1.478178
151.516296,1.468074
150.517532,1.458308
149.518738,1.448687
148.486664,1.438820
147.487885,1.428999
146.489105,1.419164
145.457016,1.409048
144.458267,1.399243
143.459503,1.389805
142.427399,1.379790
141.428650,1.370236
140.429840,1.360239
139.397781,1.350202
138.399002,1.340456
137.400223,1.330822
136.368118,1.320838
135.369385,1.311491
134.370560,1.301642
133.338501,1.291402
132.339691,1.281700
131.340958,1.271965
130.308853,1.262098
129.310074,1.252180
128.311264,1.242476
127.279228,1.232364
126.280426,1.222729
125.281647,1.212968
124.249550,1.203092
123.250801,1.193267
122.251991,1.183584
121.219940,1.173546
120.221115,1.163952
119.222366,1.154418
118.190239,1.144276
117.191505,1.134394
116.192688,1.124586
115.160629,1.114773
114.161819,1.105206
113.163063,1.095707
112.130974,1.085683
111.132202,1.075869
110.133385,1.065983
109.101326,1.055917
108.102509,1.046217
107.103767,1.036553
106.071671,1.026498
105.072891,1.016795
104.074081,1.007400
103.042015,0.997346
102.043213,0.987520
101.011185,0.977480
100.012398,0.967708
99.013596,0.958049
97.981529,0.948190
96.982719,0.938318
95.983971,0.928566
94.951881,0.918611
93.953102,0.909054
92.954285,0.899372
91.922226,0.889284
90.923409,0.879492
89.924667,0.869888
88.892548,0.860054
87.893791,0.850330
86.894981,0.840693
85.862923,0.830621
84.864113,0.820860
83.865334,0.811151
82.833237,0.801084
81.834457,0.791435
80.835648,0.781870
79.803581,0.772073
78.804771,0.762222
77.806030,0.752413
76.773903,0.742460
75.775154,0.732812
74.776337,0.723165
73.744286,0.713214
72.745476,0.703591
71.746696,0.694001
70.714600,0.683754
69.715820,0.674075
68.717003,0.664400
67.684944,0.654345
66.686142,0.644696
65.687355,0.635119
64.655266,0.625184
63.656487,0.615481
62.657673,0.605907
61.625610,0.596044
60.626797,0.586310
59.628021,0.576480
58.595932,0.566539
