2,Silver Crown,baseline
Steering Wheel Angle,Yaw Rate
302.970825,2.214149
301.972076,2.231710
300.973328,2.237185
299.941254,2.236282
298.942474,2.232873
297.943726,2.226322
296.911652,2.219226
295.912903,2.216378
294.914154,2.213280
293.882080,2.203398
292.883301,2.197162
291.884552,2.192760
290.852478,2.184372
289.853729,2.174177
288.854980,2.166867
287.822876,2.156815
286.824127,2.150332
285.825317,2.141170
284.793304,2.132071
283.794556,2.124938
282.795776,2.116237
281.763702,2.106802
280.764984,2.100015
279.766174,2.091215
278.734131,2.081946
277.735382,2.075022
276.736603,2.065794
275.704529,2.057707
274.705780,2.048805
273.707001,2.041984
272.674927,2.032125
271.676178,2.025329
270.677399,2.016689
269.645355,2.008280
268.646576,2.000997
267.647827,1.992189
266.615753,1.983954
265.617004,1.976010
264.584900,1.968367
263.586182,1.959309
262.587372,1.952151
261.555359,1.943080
260.556549,1.935895
259.557800,1.927429
258.525757,1.919799
257.526947,1.911701
256.528198,1.903439
255.496140,1.895710
254.497330,1.887202
253.498581,1.879990
252.466522,1.871556
251.467773,1.864358
250.468964,1.855800
249.436951,1.848146
248.438156,1.841126
247.439392,1.832059
246.407318,1.823860
245.408585,1.816693
244.409760,1.808411
243.377716,1.801119
242.378922,1.792724
241.380157,1.785764
240.348114,1.777464
239.349335,1.769803
238.350586,1.762290
237.318527,1.774780
236.319733,1.733267
235.320969,1.740622
234.288895,1.733478
233.290115,1.820513
232.291382,1.701960
231.259277,1.776112
230.260529,1.707008
229.261749,1.665130
228.229706,1.683602
227.230927,1.679497
226.232147,1.680299
225.200073,1.674568
224.201324,1.719643
223.202515,1.754062
222.170486,1.620840
221.171677,1.724911
220.172928,1.644288
219.140839,1.670786
218.142090,1.680781
217.143280,1.585617
216.111252,1.700172
215.112442,1.648967
214.113693,1.667528
213.081604,1.674777
212.082840,1.625873
211.050766,1.644308
210.052017,1.534961
209.053238,1.639561
208.021164,1.583509
207.022385,1.615146
206.023605,1.617131
204.991516,1.595141
203.992783,1.594565
202.994003,1.589842
201.961929,1.582275
200.963150,1.564717
199.964371,1.568687
198.932281,1.555746
197.933533,1.547848
196.934753,1.541412
195.902695,1.534533
194.903946,1.503513
193.905136,1.497786
192.873108,1.510707
191.874298,1.503660
190.875549,1.489659
189.843445,1.486413
188.844696,1.471259
187.845901,1.469218
186.813843,1.453471
185.815063,1.451095
184.816269,1.443247
183.784180,1.432710
182.785431,1.430979
181.786636,1.404452
180.754608,1.405730
179.755783,1.358086
178.757034,1.392157
177.724945,1.376283
176.726196,1.366775
175.727371,1.359006
174.695328,1.353987
173.696548,1.344692
172.697769,1.343799
171.665665,1.326941
170.666916,1.313415
169.668106,1.280647
168.636078,1.283498
167.637283,1.290617
166.638535,1.292058
165.606430,1.292518
164.607651,1.265091
163.608841,1.263152
162.576813,1.251393
161.578003,1.239945
160.545944,1.233284
159.547165,1.228301
158.548386,1.244624
157.516296,1.203913
156.517532,1.202394
155.518738,1.192530
154.486664,1.184089
153.487885,1.177354
152.489105,1.176048
151.457016,1.159948
150.458267,1.147298
149.459503,1.144739
148.427399,1.135323
147.428650,1.129390
146.429840,1.127177
145.397781,1.112302
144.399002,1.117910
143.400223,1.108054
142.368118,1.079725
141.369385,1.103047
140.370560,1.086391
