2,Skip Barber Formula 2000,baseline
Steering Wheel Angle,Yaw Rate
228.288895,2.458011
227.290115,2.457983
226.291382,2.458708
225.259277,2.449729
224.260529,2.439249
223.261749,2.428623
222.229706,2.417776
221.230927,2.406185
220.232147,2.395117
219.200073,2.383353
218.201324,2.371990
217.202515,2.360152
216.170486,2.348026
215.171677,2.336921
214.172928,2.325814
213.140839,2.314185
212.142090,2.302836
211.143280,2.292008
210.111252,2.279769
209.112442,2.268771
208.113693,2.257250
207.081604,2.245933
206.082840,2.234494
205.050766,2.223160
204.052017,2.212094
203.053238,2.201038
202.021164,2.188888
201.022385,2.178699
200.023605,2.166877
198.991516,2.155253
197.992783,2.144493
196.994003,2.132856
195.961929,2.121581
194.963150,2.110224
193.964371,2.099306
192.932281,2.087302
191.933533,2.076556
190.934753,2.065231
189.902695,2.054260
188.903946,2.042622
187.905136,2.031889
186.873108,2.020056
185.874298,2.009488
184.875549,1.998135
183.843445,1.986639
182.844696,1.975399
181.845901,1.964570
180.813843,1.952940
179.815063,1.941839
178.816269,1.930890
177.784180,1.919503
176.785431,1.908502
175.786636,1.897896
174.754608,1.886016
173.755783,1.875588
172.757034,1.863814
171.724945,1.853120
170.726196,1.841444
169.727371,1.830777
168.695328,1.818889
167.696548,1.808238
166.697769,1.796936
165.665665,1.785750
164.666916,1.774623
163.668106,1.763715
162.636078,1.752365
161.637283,1.741386
160.638535,1.730966
159.606430,1.718899
158.607651,1.708819
157.608841,1.697262
156.576813,1.685784
155.578003,1.674924
154.545944,1.663516
153.547165,1.653325
152.548386,1.641522
151.516296,1.630371
150.517532,1.619468
149.518738,1.608947
148.486664,1.597323
147.487885,1.587065
146.489105,1.575464
145.457016,1.564186
144.458267,1.553712
143.459503,1.542245
142.427399,1.531339
141.428650,1.520354
140.429840,1.509544
139.397781,1.498269
138.399002,1.487401
137.400223,1.476461
136.368118,1.465394
135.369385,1.454276
134.370560,1.443724
133.338501,1.431962
132.339691,1.421331
131.340958,1.410099
130.308853,1.399475
129.310074,1.387952
128.311264,1.377764
127.279228,1.366167
126.280426,1.355746
125.281647,1.344469
124.249550,1.333644
123.250801,1.322344
122.251991,1.311767
121.219940,1.300532
120.221115,1.289649
119.222366,1.278883
118.190239,1.267693
117.191505,1.256849
116.192688,1.245852
115.160629,1.234970
114.161819,1.223621
113.163063,1.213472
112.130974,1.201643
111.132202,1.190925
110.133385,1.180686
109.101326,1.168765
108.102509,1.158533
107.103767,1.147613
106.071671,1.136125
105.072891,1.125900
104.074081,1.114877
103.042015,1.103376
102.043213,1.092931
101.011185,1.082133
100.012398,1.070765
99.013596,1.059986
97.981529,1.049447
96.982719,1.038056
95.983971,1.027306
94.951881,1.016709
93.953102,1.005663
92.954285,0.994592
91.922226,0.984109
90.923409,0.972823
89.924667,0.962011
88.892548,0.951612
87.893791,0.940005
86.894981,0.929930
85.862923,0.918240
84.864113,0.908199
83.865334,0.896928
82.833237,0.885980
81.834457,0.875385
80.835648,0.864152
79.803581,0.853484
78.804771,0.842839
77.806030,0.831658
76.773903,0.820767
75.775154,0.810429
74.776337,0.799460
73.744286,0.788307
72.745476,0.777819
71.746696,0.766817
70.714600,0.755954
69.715820,0.745066
68.717003,0.734603
67.684944,0.723171
66.686142,0.712887
65.687355,0.701826
64.655266,0.691055
63.656487,0.680168
62.657673,0.669433
61.625610,0.658537
60.626797,0.647521
59.628021,0.637243
58.595932,0.625748
57.597145,0.615493
56.598400,0.604265
55.566277,0.593749
54.567528,0.582730
53.568687,0.572432
52.536625,0.561163
51.537811,0.550445
50.505753,0.539653
49.506939,0.528526
48.508160,0.518281
47.476070,0.506880
46.477287,0.496581
45.478477,0.485609
44.446415,0.474811
43.447601,0.463622
42.448826,0.453519
41.416702,0.441963
40.417953,0.431883
39.419140,0.420592
38.387077,0.410184
37.388233,0.399018
36.389488,0.388393
35.357365,0.377651
34.358585,0.366789
33.359772,0.355837
32.327709,0.345289
31.328901,0.334600
30.330120,0.323594
29.297997,0.312940
28.299248,0.302206
27.300406,0.291246
26.268345,0.280454
25.269531,0.269853
24.270754,0.258774
23.238661,0.247850
22.239880,0.237656
21.241070,0.226694
20.209009,0.215500
19.210163,0.205254
18.211416,0.194310
17.179293,0.183171
16.180511,0.172778
15.181702,0.162195
14.149640,0.150805
13.150796,0.140294
12.152049,0.129887
11.119988,0.118449
10.121144,0.108366
9.122396,0.097105
8.090272,0.086651
7.091493,0.075428
6.092681,0.065049
5.060620,0.053940
4.061809,0.043499
3.062997,0.032616
2.030904,0.021733
1.032093,0.011009
0.000000,0.002384
-0.998747,0.010150
-1.997624,0.020671
-3.029652,0.031901
-4.028464,0.042380
-5.027276,0.052958
-6.059368,0.064378
-7.058115,0.074391
-8.056992,0.085618
-9.089020,0.096242
-10.087896,0.107102
-11.086643,0.117707
-12.118735,0.128637
-13.117547,0.139488
-14.116360,0.149983
-15.148452,0.161288
-16.147263,0.171676
-17.146011,0.182504
-18.178169,0.193316
-19.176916,0.204163
-20.175728,0.214635
-21.207819,0.225812
-22.206633,0.236566
-23.205444,0.246954
-24.237535,0.258311
-25.236284,0.268553
-26.235159,0.279660
-27.267187,0.290184
-28.266064,0.301341
-29.264811,0.311626
-30.296968,0.322935
-31.295717,0.333320
-32.294464,0.344146
-33.326618,0.355267
-34.325367,0.365821
-35.324245,0.376692
-36.356274,0.387263
-37.355083,0.398515
-38.353897,0.408668
-39.385986,0.420179
-40.384800,0.430311
-41.383614,0.441505
-42.415703,0.451944
-43.414516,0.463299
-44.413265,0.473562
-45.445419,0.484845
-46.444168,0.495407
-47.443043,0.505846
-48.475071,0.517297
-49.473949,0.528044
-50.472694,0.538250
-51.504852,0.549549
-52.503601,0.560481
-53.535759,0.571144
-54.534504,0.581934
-55.533318,0.592987
-56.565411,0.603343
-57.564224,0.614802
-58.563034,0.624748
-59.595127,0.636403
-60.593937,0.646534
-61.592751,0.657696
-62.624840,0.668412
-63.623653,0.679314
-64.622467,0.690022
-65.654556,0.700904
-66.653366,0.711998
-67.652184,0.722203
-68.684273,0.733830
-69.683090,0.743912
-70.681831,0.755269
-71.713989,0.765594
-72.712738,0.776986
-73.711617,0.787538
-74.743645,0.798543
-75.742516,0.808952
-76.741264,0.820122
-77.773361,0.831181
-78.772171,0.841512
-79.770981,0.852835
-80.803070,0.863523
-81.801888,0.874083
-82.800697,0.885333
-83.832787,0.896061
-84.831604,0.906963
-85.830414,0.917307
-86.862572,0.928948
-87.861313,0.939501
-88.860130,0.950185
-89.892227,0.961744
-90.891098,0.972273
-91.889847,0.982567
-92.921997,0.994241
-93.920753,1.004770
-94.919624,1.015615
-95.951653,1.026523
-96.950531,1.037370
-97.949280,1.048407
-98.981438,1.059044
-99.980179,1.070513
-100.979065,1.080525
-102.011093,1.092376
-103.009964,1.102403
-104.008705,1.113820
-105.040863,1.124588
-106.039619,1.135353
-107.071777,1.147115
-108.070587,1.157410
-109.069389,1.168127
-110.101486,1.179687
-111.100304,1.190002
-112.099113,1.201287
-113.131271,1.212022
-114.130020,1.223230
-115.128899,1.233921
-116.160927,1.244968
-117.159798,1.256052
-118.158554,1.266520
-119.190704,1.278312
-120.189453,1.288484
-121.188255,1.299960
-122.220421,1.311029
-123.219162,1.321961
-124.218033,1.332119
-125.250061,1.344110
-126.248947,1.354883
-127.247688,1.365739
-128.279846,1.376835
-129.278656,1.387479
-130.277481,1.398192
-131.309555,1.409896
-132.308380,1.420181
-133.307190,1.431382
-134.339355,1.442955
-135.338089,1.453154
-136.336975,1.464784
-137.369003,1.475460
-138.367874,1.485972
