2,Sprint Car,baseline
Steering Wheel Angle,Yaw Rate
300.970825,2.791294
299.972076,2.814431
298.973328,2.926077
297.941254,2.890309
296.942474,2.790823
295.943726,2.805872
294.911652,2.807699
293.912903,2.905220
292.914154,2.857957
291.882080,2.867010
290.883301,2.752529
289.884552,2.778512
288.852478,2.854414
287.853729,2.722302
286.854980,2.732741
285.822876,2.806593
284.824127,2.815626
283.825317,2.800562
282.793304,2.791331
281.794556,2.774465
280.795776,2.737638
279.763702,2.748210
278.764984,2.757599
277.766174,2.676661
276.734131,2.720204
275.735382,2.714175
274.736603,2.701645
273.704529,2.683019
272.705780,2.658438
271.707001,2.679664
270.674927,2.665718
269.676178,2.637439
268.677399,2.657026
267.645355,2.637494
266.646576,2.590797
265.647827,2.623951
264.615753,2.612806
263.617004,2.581265
262.584900,2.603466
261.586182,2.560117
260.587372,2.571047
259.555359,2.587865
258.556549,2.581973
257.557800,2.552850
256.525757,2.542591
255.526947,2.505965
254.528183,2.500312
253.496140,2.482899
252.497330,2.487039
251.498581,2.447544
250.466522,2.521359
249.467773,2.454843
248.468964,2.465801
247.436951,2.391181
246.438156,2.438800
245.439392,2.408466
244.407318,2.405537
243.408585,2.405610
242.409760,2.380042
241.377716,2.361182
240.378922,2.373693
239.380157,2.361242
238.348114,2.346719
237.349335,2.338962
236.350586,2.327098
235.318527,2.315372
234.319733,2.304823
233.320969,2.297201
232.288895,2.283664
231.290115,2.274345
230.291382,2.264772
229.259277,2.252717
228.260529,2.243294
227.261749,2.232607
226.229706,2.220578
225.230927,2.208983
224.232147,2.199033
223.200073,2.189229
222.201324,2.179320
221.202515,2.169807
220.170486,2.157439
219.171677,2.147196
218.172928,2.138013
217.140839,2.125590
216.142090,2.115167
215.143280,2.103493
214.111252,2.092529
213.112442,2.084137
212.113693,2.073172
211.081604,2.062550
210.082840,2.052242
209.050766,2.040115
208.052017,2.030329
207.053238,2.019034
206.021164,2.009154
205.022385,1.998531
204.023605,1.988116
202.991516,1.978217
201.992783,1.967200
200.994003,1.956196
199.961929,1.946884
198.963150,1.935055
197.964371,1.925087
196.932281,1.916208
195.933533,1.903723
194.934753,1.894712
193.902695,1.883260
192.903946,1.874359
191.905136,1.862587
190.873108,1.854019
189.874298,1.841867
188.875549,1.832747
187.843445,1.820085
186.844696,1.810488
185.845901,1.799940
184.813843,1.790735
183.815063,1.779112
182.816269,1.769086
181.784180,1.758762
180.785431,1.748366
179.786636,1.737726
178.754608,1.729300
177.755783,1.716465
176.757034,1.708274
175.724945,1.695588
174.726196,1.685084
173.727371,1.675181
172.695328,1.664551
171.696548,1.654979
170.697769,1.644086
169.665665,1.635242
