2,Stock Car Pro Chevrolet Cruze,baseline
Steering Wheel Angle,Yaw Rate
271.735382,1.464472
270.736603,1.467859
269.704529,1.481425
268.705780,1.475130
267.707001,1.470376
266.674927,1.462066
265.676178,1.459954
264.677399,1.453800
263.645355,1.446873
262.646576,1.438993
261.647827,1.430317
260.615753,1.424279
259.617004,1.418644
258.584900,1.412865
257.586182,1.408185
256.587372,1.405579
255.555344,1.399579
254.556549,1.393984
253.557785,1.386914
252.525742,1.381133
251.526947,1.375517
250.528183,1.370931
249.496140,1.364056
248.497330,1.359362
247.498581,1.353187
246.466522,1.347506
245.467773,1.341821
244.468964,1.336820
243.436951,1.330699
242.438156,1.325092
241.439392,1.319483
240.407318,1.314720
239.408585,1.308516
238.409760,1.302383
237.377716,1.296790
236.378922,1.291414
235.380157,1.285749
234.348114,1.279805
233.349335,1.275308
232.350586,1.268648
231.318527,1.262906
230.319733,1.257582
229.320969,1.252062
228.288895,1.246948
227.290115,1.240991
226.291382,1.235256
225.259277,1.229789
224.260529,1.223779
223.261749,1.218751
222.229706,1.212846
221.230927,1.207167
220.232147,1.201385
219.200073,1.195898
218.201324,1.190636
217.202515,1.184739
216.170486,1.179045
215.171677,1.173361
214.172928,1.167868
213.140839,1.162106
212.142090,1.156647
211.143280,1.151271
210.111252,1.145299
209.112442,1.139660
208.113693,1.134987
207.081604,1.128552
206.082840,1.123162
205.050766,1.117739
204.052017,1.111765
203.053238,1.106225
202.021164,1.100962
201.022385,1.095313
200.023605,1.090104
198.991516,1.083666
197.992783,1.078686
196.994003,1.072413
195.961929,1.067377
194.963150,1.061276
193.964371,1.055742
192.932281,1.049953
191.933533,1.044604
190.934753,1.039256
189.902695,1.033782
188.903946,1.027572
187.905136,1.022799
186.873108,1.016249
185.874298,1.011613
184.875549,1.005496
183.843445,0.999830
182.844696,0.994230
181.845901,0.988929
180.813843,0.983452
179.815063,0.977309
178.816269,0.972143
177.784180,0.966214
176.785431,0.960797
175.786636,0.955183
174.754608,0.949356
173.755783,0.944535
172.757034,0.938158
171.724945,0.932636
170.726196,0.927013
169.727371,0.921338
168.695328,0.916281
167.696548,0.910318
166.697769,0.904969
165.665665,0.899032
164.666916,0.893548
163.668106,0.888510
162.636078,0.882082
161.637283,0.876631
160.638535,0.871284
159.606430,0.865448
158.607651,0.859834
157.608841,0.854241
