2,Stock Car Pro Toyota Corolla,baseline
Steering Wheel Angle,Yaw Rate
271.735382,1.464474
270.736603,1.467880
269.704529,1.479790
268.705780,1.475848
267.707001,1.469725
266.674927,1.463331
265.676178,1.459041
264.677399,1.453637
263.645355,1.446728
262.646576,1.438747
261.647827,1.430145
260.615753,1.424059
259.617004,1.418402
258.584900,1.412568
257.586182,1.409236
256.587372,1.405555
255.555344,1.399458
254.556549,1.393910
253.557785,1.386570
252.525742,1.381100
251.526947,1.376093
250.528183,1.370114
249.496140,1.364440
248.497330,1.358492
247.498581,1.353262
246.466522,1.347756
245.467773,1.342069
244.468964,1.336335
243.436951,1.331187
242.438156,1.325828
241.439392,1.319611
240.407318,1.313718
239.408585,1.308835
238.409760,1.302678
237.377716,1.296719
236.378922,1.291594
235.380157,1.285806
234.348114,1.280862
233.349335,1.274628
232.350586,1.269150
231.318527,1.264194
230.319733,1.257796
229.320969,1.252238
228.288895,1.246152
227.290115,1.240498
226.291382,1.235107
225.259277,1.229861
224.260529,1.224011
223.261749,1.218469
222.229706,1.212748
221.230927,1.206964
220.232147,1.201525
219.200073,1.196582
218.201324,1.190084
217.202515,1.184809
216.170486,1.178802
215.171677,1.174001
214.172928,1.167870
213.140839,1.162111
212.142090,1.156651
211.143280,1.151181
210.111252,1.145415
209.112442,1.139940
208.113693,1.134550
207.081604,1.128272
206.082840,1.123192
205.050766,1.117267
204.052017,1.112149
203.053238,1.106136
202.021164,1.100183
201.022385,1.094638
200.023605,1.090011
198.991516,1.083933
197.992783,1.077983
196.994003,1.073199
195.961929,1.066598
194.963150,1.061061
193.964371,1.055700
192.932281,1.050283
191.933533,1.045314
190.934753,1.038984
189.902695,1.033939
188.903946,1.027800
187.905136,1.022369
186.873108,1.017198
185.874298,1.011049
184.875549,1.005155
183.843445,0.999615
182.844696,0.994340
181.845901,0.988636
180.813843,0.983623
179.815063,0.978144
178.816269,0.972004
177.784180,0.966058
176.785431,0.961258
175.786636,0.955040
174.754608,0.949966
173.755783,0.943799
172.757034,0.938469
171.724945,0.932431
170.726196,0.926779
169.727371,0.921502
168.695328,0.916416
167.696548,0.910586
166.697769,0.905541
165.665665,0.898953
164.666916,0.893731
163.668106,0.887979
162.636078,0.882968
161.637283,0.877326
160.638535,0.871011
159.606430,0.865650
158.607651,0.859968
157.608841,0.854821
156.576813,0.848679
155.578003,0.843181
154.545944,0.837518
153.547165,0.832247
