2,Stock Non-Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
127.250801,7.461596
126.251991,7.374605
125.219940,7.184629
124.221115,6.954513
123.222366,6.844931
122.190239,6.870348
121.191505,6.885854
120.192688,6.866869
119.160629,6.843937
118.161819,6.830650
117.163063,6.828367
116.130974,6.835855
115.132202,6.851473
114.133385,6.871924
113.101326,6.891469
112.102509,6.902913
111.103767,6.885395
110.071671,6.753156
109.072891,6.645756
108.074081,6.402178
107.042015,6.109086
106.043213,6.056373
105.011185,5.945401
104.012398,5.850005
103.013596,5.761366
101.981529,5.761479
100.982719,5.731715
99.983971,5.688777
98.951881,5.575376
97.953102,5.523498
96.954285,5.650053
95.922226,5.625465
94.923409,5.545494
93.924667,5.455449
92.892548,5.377518
91.893791,5.254505
90.894981,5.227880
89.862923,5.132773
88.864113,5.049911
87.865334,4.971214
86.833237,4.898993
85.834457,4.829250
84.835648,4.760526
83.803581,4.682429
82.804771,4.608106
81.806030,4.533344
80.773903,4.458683
79.775154,4.392699
78.776337,4.328441
77.744286,4.256884
76.745476,4.174521
75.746696,4.108083
74.714600,4.029541
73.715820,3.959965
72.717003,3.890903
71.684944,3.815656
70.686142,3.745708
69.687355,3.678237
68.655266,3.604352
67.656487,3.534422
66.657669,3.467766
65.625610,3.394415
64.626801,3.326423
63.628021,3.260990
62.595932,3.189562
61.597145,3.121210
60.598400,3.054929
59.566277,2.986433
58.567528,2.918311
57.568687,2.852299
56.536625,2.786323
55.537811,2.717507
54.505753,2.650997
53.506939,2.587156
52.508160,2.519195
51.476070,2.455208
50.477287,2.392813
49.478477,2.328880
48.446415,2.263348
47.447601,2.204494
46.448826,2.142991
45.416702,2.077292
44.417953,2.014315
43.419140,1.958968
42.387077,1.900164
41.388233,1.842842
40.389488,1.786453
39.357365,1.727587
38.358585,1.671501
37.359772,1.615760
36.327709,1.771669
35.328903,1.707402
34.330120,1.655090
33.297997,1.600387
32.299248,1.541182
31.300406,1.483506
30.268345,1.423995
29.269531,1.371287
28.270754,1.312235
27.238661,1.253809
26.239880,1.198847
25.241070,1.147052
24.209009,1.090847
23.210163,1.036561
22.211416,0.984017
21.179293,0.928358
20.180511,0.876590
19.181702,0.824185
18.149639,0.766881
17.150795,0.716398
16.152050,0.667096
15.119988,0.613846
14.121144,0.549554
13.122396,0.473523
12.090272,0.442378
11.091493,0.407671
10.092681,0.377481
9.060620,0.340685
8.061809,0.308147
7.062997,0.276248
6.030904,0.242887
5.032093,0.207956
4.000000,0.172774
3.001253,0.139326
2.002377,0.106401
0.970348,0.074007
-0.028464,0.041850
-1.027276,0.013611
-2.059368,0.026120
-3.058115,0.058778
-4.056992,0.090556
-5.089020,0.122746
-6.087896,0.156706
-7.086643,0.189692
-8.118735,0.293087
-9.117547,0.331830
-10.116360,0.370839
-11.148452,0.412075
-12.147263,0.453265
-13.146011,0.510099
-14.178169,0.552057
-15.176916,0.596395
-16.175728,0.641991
-17.207819,0.686620
-18.206633,0.732391
-19.205444,0.779727
-20.237535,0.824884
-21.236284,0.871594
-22.235159,0.918184
-23.267187,0.965901
-24.266064,1.016308
-25.264811,1.059419
-26.296968,1.186844
-27.295717,1.239186
-28.294464,1.291543
-29.326618,1.341409
-30.325367,1.389443
-31.324245,1.441425
-32.356274,1.490744
-33.355083,1.541195
-34.353897,1.589977
-35.385986,1.641804
-36.384800,1.691250
-37.383614,1.740766
-38.415703,1.793111
-39.414516,1.842503
-40.413265,1.893600
-41.445419,1.949304
-42.444168,2.006870
-43.443043,2.060394
-44.475071,2.115477
-45.473949,2.166400
-46.472694,2.220608
-47.504852,2.277398
-48.503601,2.331403
-49.535759,2.391181
-50.534504,2.449177
-51.533318,2.504909
-52.565411,2.571433
-53.564224,2.642050
-54.563034,2.714646
-55.595127,2.788725
-56.593937,2.864416
-57.592751,2.941737
-58.624840,3.016532
-59.623653,3.089810
-60.622467,3.169780
-61.654556,3.267936
-62.653366,3.371469
-63.652184,3.472549
-64.684273,3.561172
-65.683090,3.659835
-66.681831,3.774316
-67.713989,3.890890
-68.712738,3.991184
-69.711617,4.077888
-70.743645,4.180806
-71.742516,4.284717
-72.741264,4.377491
-73.773361,4.465490
-74.772171,4.559109
-75.770981,4.648155
-76.803070,4.445701
-77.801888,4.872166
-78.800697,4.719716
-79.832787,4.999479
-80.831604,4.895827
-81.830414,5.080472
-82.862572,5.223426
-83.861313,5.240852
-84.860130,5.357756
-85.892227,5.394450
-86.891098,5.433787
-87.889847,5.528305
-88.921997,5.582688
-89.920753,5.506282
-90.919624,5.652459
-91.951653,5.580888
-92.950531,5.621190
-93.949280,5.737222
-94.981438,5.720690
-95.980179,5.807802
-96.979065,5.864023
-98.011093,5.893491
-99.009964,5.912694
-100.008705,5.933067
-101.040863,5.992320
-102.039619,6.094086
-103.071777,6.085357
-104.070587,6.203679
-105.069389,6.334717
-106.101486,6.405516
-107.100304,6.557405
-108.099113,6.690033
-109.131271,6.758558
-110.130020,6.913391
-111.128899,6.986797
-112.160927,7.151765
-113.159798,7.262532
-114.158554,7.406349
-115.190704,7.462494
-116.189453,7.666015
-117.188255,7.734345
-118.220421,7.897107
-119.219162,7.967196
