2,Stock Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
132.339691,5.385012
131.340958,5.421255
130.308853,5.658213
129.310074,5.561855
128.311264,5.554338
127.279228,5.536191
126.280426,5.601043
125.281647,5.701300
124.249550,5.565410
123.250801,5.584311
122.251991,5.441036
121.219940,5.451979
120.221115,5.319064
119.222366,5.151971
118.190239,5.164310
117.191505,5.064864
116.192688,5.003888
115.160629,4.939906
114.161819,4.863101
113.163063,4.710996
112.130974,4.655684
111.132202,4.566480
110.133385,4.497770
109.101326,4.431026
108.102509,4.375703
107.103767,4.208172
106.071671,4.109819
105.072891,4.075691
104.074081,4.032484
103.042015,3.983334
102.043213,3.924317
101.011185,3.860017
100.012398,3.796579
99.013596,3.734747
97.981529,3.672932
96.982719,3.615327
95.983971,3.563690
94.951881,3.504968
93.953102,3.453016
92.954285,3.396891
91.922226,3.342977
90.923409,3.287477
89.924667,3.236825
88.892548,3.180128
87.893791,3.128694
86.894981,3.076103
85.862923,3.024841
84.864113,2.972390
83.865334,2.923450
82.833237,2.869800
81.834457,2.821524
80.835648,2.770271
79.803581,2.722289
78.804771,2.675228
77.806030,2.631626
76.773903,2.583857
75.775154,2.539991
74.776337,2.495670
73.744286,2.451168
72.745476,2.406290
71.746696,2.363914
70.714600,2.318588
69.715820,2.277098
68.717003,2.234056
67.684944,2.191270
66.686142,2.149176
65.687355,2.108518
64.655266,2.065786
63.656487,2.025733
62.657673,1.984731
61.625610,1.944547
60.626797,1.906019
59.628021,1.868422
58.595932,1.829108
57.597145,1.791359
56.598400,1.752929
55.566277,1.708917
54.567528,1.669544
53.568687,1.635829
52.536625,1.601687
51.537811,1.571384
50.505753,1.538508
49.506939,1.517064
48.508160,1.505121
47.476070,1.667794
46.477287,1.636411
45.478477,1.618254
44.446415,1.596765
43.447601,1.575551
42.448826,1.555511
41.416702,1.529877
40.417953,1.502888
39.419140,1.477051
38.387077,1.450390
37.388233,1.423583
36.389488,1.397210
35.357365,1.362359
34.358585,1.337917
33.359772,1.312482
32.327709,1.286085
31.328901,1.261536
30.330120,1.233463
29.297997,1.206555
28.299248,1.180622
27.300406,1.154436
26.268345,1.127632
25.269531,1.102781
24.270754,1.079553
23.238661,1.050468
22.239880,1.025777
21.241070,1.001613
20.209009,0.972304
19.210163,0.950441
18.211416,0.921606
17.179293,0.896471
16.180511,0.872001
15.181702,0.847747
14.149640,0.822080
13.150796,0.673520
12.152049,0.603900
11.119988,0.574871
10.121144,0.547850
9.122396,0.518049
8.090272,0.487370
7.091493,0.457792
6.092681,0.427023
5.060620,0.395656
4.061809,0.364455
3.062997,0.333461
2.030904,0.300726
1.032093,0.268618
0.000000,0.234904
-0.998747,0.202672
-1.997624,0.169572
-3.029652,0.135713
-4.028464,0.102049
-5.027276,0.070635
-6.059368,0.035546
-7.058115,0.006182
-8.056992,0.031632
-9.089020,0.061878
-10.087896,0.097809
-11.086643,0.126772
-12.118735,0.162335
-13.117547,0.195375
-14.116360,0.229666
-15.148452,0.337344
-16.147263,0.376141
-17.146011,0.417762
-18.178169,0.447964
-19.176916,0.489149
-20.175728,0.522136
-21.207819,0.560003
-22.206633,0.595082
-23.205444,0.630134
-24.237535,0.665470
-25.236284,0.703534
-26.235159,0.736195
-27.267187,0.776581
-28.266064,0.808207
-29.264811,0.849061
-30.296968,0.881117
-31.295717,0.922430
-32.294464,0.953091
-33.326618,0.996875
-34.325367,1.027152
-35.324245,1.068487
-36.356274,1.103933
-37.355083,1.144161
-38.353897,1.177330
-39.385986,1.222186
-40.384800,1.253783
-41.383614,1.296932
-42.415703,1.333408
-43.414516,1.375276
-44.413265,1.414161
-45.445419,1.452831
-46.444168,1.496430
-47.443043,1.535430
-48.475071,1.577799
-49.473949,1.622306
-50.472694,1.661187
-51.504852,1.707954
-52.503601,1.749120
-53.535759,1.793979
-54.534504,1.840781
-55.533318,1.884882
-56.565411,1.934048
-57.564224,1.981941
-58.563034,2.031190
-59.595127,2.081537
-60.593937,2.134662
-61.592751,2.186254
-62.624840,2.243372
-63.623653,2.302690
-64.622467,2.350354
-65.654556,2.402824
-66.653366,2.468601
-67.652184,2.538138
-68.684273,2.599202
-69.683090,2.649977
-70.681831,2.702769
-71.713989,2.773947
-72.712738,2.853053
-73.711617,2.902411
-74.743645,2.946729
-75.742516,3.004452
-76.741264,3.070195
-77.773361,3.127711
-78.772171,3.170992
-79.770981,3.228766
-80.803070,3.293842
-81.801888,3.346062
-82.800697,3.391690
-83.832787,3.453801
-84.831604,3.515838
-85.830414,3.564986
-86.862572,3.613871
-87.861313,3.674649
-88.860130,3.754594
-89.892227,3.823881
-90.891098,3.878024
-91.889847,3.953220
-92.921997,4.031991
-93.920753,4.092557
-94.919624,4.131597
-95.951653,4.206395
-96.950531,4.267411
-97.949280,4.331414
-98.981438,4.393034
-99.980179,4.460624
-100.979065,4.526665
-102.011093,4.592813
-103.009964,4.658279
-104.008705,4.731148
-105.040863,4.796157
-106.039619,4.860782
-107.071777,4.939440
-108.070587,5.007100
-109.069389,5.074782
-110.101486,5.150650
-111.100304,5.223392
-112.099113,5.293680
-113.131271,5.368099
-114.130020,5.447581
-115.128899,5.508306
-116.160927,5.580837
-117.159798,4.674611
-118.158554,4.041630
-119.190704,4.170692
-120.189453,4.272298
-121.188255,4.251733
-122.220421,4.364001
-123.219162,4.366122
-124.218033,4.485556
-125.250061,4.609485
-126.248947,4.581334
-127.247688,4.744187
-128.279846,4.742930
-129.278656,4.795361
-130.277481,4.935847
-131.309555,4.859367
-132.308380,4.983718
