2,Street Stock,baseline
Steering Wheel Angle,Yaw Rate
395.629517,3.426007
393.964874,3.425545
392.300262,3.417719
390.580170,3.399194
388.915558,3.379278
387.250977,3.332060
385.530884,3.337177
383.866211,3.333769
382.201599,3.320116
380.481476,3.298034
378.816864,3.281384
377.152283,3.267135
375.432129,3.252385
373.767548,3.236971
372.102905,3.219452
370.382843,3.201980
368.718201,3.183329
367.053558,3.167907
365.333435,3.153895
363.668854,3.137544
362.004181,3.122260
360.284149,3.104151
358.619446,3.086596
356.954865,3.068457
355.234711,3.052333
353.570129,3.039734
351.905457,3.024005
350.185425,3.005178
348.520721,2.988801
346.856140,2.970299
345.135986,2.953468
343.471405,2.939896
341.751282,2.924005
340.086700,2.909873
338.422058,2.890789
336.701935,2.873090
335.037292,2.856234
333.372681,2.838515
331.652527,2.826320
329.987976,2.810691
328.323334,2.794618
326.603210,2.776428
324.938568,2.757609
323.273956,2.742044
321.553802,2.726316
319.889221,2.708478
318.224579,2.698530
316.504486,2.679389
314.839905,2.664411
313.175232,2.647972
311.455170,2.628671
309.790497,2.610762
308.125916,2.596166
306.405731,2.583576
304.741150,2.568355
303.076508,2.549794
301.356384,2.533261
299.691772,2.514048
298.027100,2.498280
296.306946,2.485276
294.642365,2.469253
292.977722,2.457089
291.257660,2.436209
289.592957,2.420442
287.928375,2.401851
286.208221,2.385499
284.543640,2.373774
282.878937,2.359593
281.158875,2.342154
279.494232,2.324399
277.829620,2.306770
276.109436,2.288740
274.444855,2.274592
272.780182,2.263010
271.060120,2.247238
269.395477,2.227942
267.730896,2.208974
266.010712,2.194078
264.346069,2.182724
262.681396,2.166888
260.961334,2.150589
259.296661,2.131009
257.576569,2.112779
255.911942,2.099335
254.247299,2.088075
252.527161,2.070947
250.862549,2.053041
249.197891,2.033844
247.477768,2.019678
245.813141,2.008701
244.148499,1.992867
242.428360,1.972739
240.763779,1.955648
239.099167,1.940059
237.378998,1.927254
235.714417,1.914657
234.049728,1.894773
232.329636,1.876965
230.664993,1.860410
229.000366,1.849268
227.280197,1.835568
225.615631,1.816629
223.950928,1.803951
222.230835,1.774408
220.566147,1.767894
218.901596,1.754955
217.181412,1.733280
215.516785,1.723008
213.852097,1.710063
212.132050,1.691807
210.467377,1.673262
208.802734,1.655798
207.082581,1.642726
205.417999,1.630710
203.753311,1.616574
202.033234,1.595779
200.368515,1.578070
198.703934,1.565377
196.983734,1.552941
195.319168,1.537515
193.654480,1.521195
191.934372,1.502811
190.269699,1.486530
188.605103,1.473138
186.884949,1.461063
185.220337,1.446020
183.555634,1.426372
181.835541,1.542052
180.170837,1.542349
178.506271,1.581458
176.786118,1.383835
175.121475,1.427058
173.456802,1.400648
171.736694,1.406271
170.072021,1.522939
168.351974,1.367126
166.687332,1.358735
165.022659,1.342134
163.302551,1.420585
161.637863,1.307335
159.973282,1.292063
158.253128,1.405660
156.588501,1.305140
154.923798,1.192211
153.203705,1.242572
151.539017,1.172508
149.874435,1.164188
148.154236,1.160254
146.489655,1.151420
144.824966,1.141762
143.104874,1.132163
141.440186,1.121259
139.775558,1.111933
138.055389,1.101977
136.390762,1.090761
134.726074,1.081588
133.005966,1.070742
131.341278,1.060086
129.676712,1.050661
127.956505,1.039458
126.291924,1.029341
124.627228,1.019859
122.907143,1.008772
121.242455,0.999296
119.577827,0.989808
117.857666,0.978715
116.193031,0.969456
114.528336,0.959517
112.808235,0.948780
111.143570,0.938503
109.478920,0.928021
107.758774,0.916992
106.094139,0.906930
104.429451,0.896720
102.709351,0.886002
101.044662,0.875596
99.380035,0.865147
97.659882,0.854741
95.995239,0.845239
94.330666,0.835355
92.610458,0.825229
90.945877,0.815435
89.281143,0.805408
87.561043,0.794520
85.896347,0.783692
84.176254,0.772310
82.511566,0.762199
80.846931,0.751759
79.126785,0.740983
77.462143,0.731048
75.797462,0.721520
74.077354,0.711258
72.412666,0.701690
70.748039,0.692020
69.027832,0.681472
67.363251,0.671507
65.698563,0.661273
63.978462,0.650542
62.313721,0.640042
60.649147,0.629701
58.928940,0.618741
57.264309,0.608332
55.599617,0.598149
53.879513,0.588098
52.214836,0.578819
50.550198,0.569461
48.829994,0.559276
47.165413,0.548928
45.500675,0.538375
43.780575,0.527244
42.115883,0.516527
40.451256,0.506139
38.731102,0.495277
37.066463,0.484961
35.401783,0.475352
33.681683,0.465153
32.016937,0.455575
30.352360,0.446071
28.632154,0.436223
26.967518,0.425747
25.302835,0.416104
23.582733,0.405105
21.917994,0.394165
20.253414,0.383539
18.533314,0.372992
16.868574,0.362858
15.203994,0.352885
13.483787,0.349302
11.819154,0.336444
10.154468,0.356068
8.434367,0.335981
6.769681,0.328686
5.104995,0.315991
3.384840,0.309606
1.720154,0.301233
0.000000,0.276355
-1.664579,0.266103
-3.329373,0.261472
-5.049419,0.243536
-6.714106,0.221532
-8.378793,0.203717
-10.098946,0.196866
-11.763525,0.188832
-13.428319,0.164619
-15.148366,0.144611
-16.813160,0.136768
-18.477737,0.129865
-20.197891,0.107626
-21.862577,0.086656
-23.527266,0.074226
-25.247419,0.069605
-26.912104,0.053913
-28.576685,0.027169
-30.296947,0.013114
-31.961527,0.009963
-33.626213,0.004410
-35.346363,0.026261
-37.011055,0.046744
-38.675739,0.060535
-40.395893,0.067315
-42.060474,0.079022
-43.725266,0.102477
-45.445312,0.123765
-47.110104,0.132230
-48.774685,0.137656
-50.494946,0.156724
-52.159527,0.181991
-53.824104,0.195643
-55.544361,0.211495
-57.208942,0.221053
-58.873741,0.227332
-60.593788,0.250818
-62.258472,0.266366
-63.923161,0.280968
-65.643311,0.307282
-67.307999,0.315480
-68.972687,0.333159
-70.692833,0.343444
-72.357529,0.349856
-74.022110,0.370694
-75.742363,0.394245
-77.406944,0.412461
-79.071739,0.421531
-80.791786,0.432734
-82.456581,0.443256
-84.121155,0.463691
-85.841415,0.488362
-87.505997,0.504113
-89.226265,0.510989
-90.890839,0.520605
-92.555527,0.540681
-94.275681,0.555925
-95.940369,0.575787
-97.605057,0.596916
-99.325211,0.611106
-100.989891,0.618253
-102.654579,0.629676
-104.374733,0.647566
-106.039421,0.671951
-107.704109,0.690842
-109.424255,0.698524
-111.088943,0.707248
-112.753639,0.724843
-114.473785,0.748380
-116.138481,0.767586
-117.803047,0.779171
-119.523315,0.790441
-121.187897,0.798838
-122.852692,0.818665
-124.572739,0.844351
-126.237526,0.858852
-127.902107,0.873955
-129.622269,0.883134
-131.286942,0.893533
-132.951630,0.913051
-134.671783,0.937288
-136.336472,0.954314
-138.001160,0.966172
-139.721313,0.976712
-141.386002,0.987303
-143.050690,1.005797
-144.770950,1.028820
-146.435516,1.046127
-148.100220,1.064070
-149.820374,1.070742
-151.485153,1.080485
-153.149734,1.100338
-154.869995,1.124532
-156.534592,1.141709
-158.199371,1.154004
-159.919418,1.164698
-161.584213,1.175264
-163.248795,1.193491
-164.969055,1.216350
-166.633621,1.234191
-168.298431,1.250883
-170.018478,1.257562
-171.683273,1.270979
-173.347839,1.288666
-175.068100,1.314047
-176.732697,1.330366
-178.452957,1.338732
-180.117645,1.350382
-181.782318,1.367405
-183.502472,1.382491
-185.167175,1.404867
-186.831848,1.425212
-188.552109,1.438989
-190.216690,1.446153
-191.881500,1.430828
-193.601547,1.465726
-195.266327,1.482008
-196.930923,1.500126
-198.651169,1.511047
-200.315750,1.521199
-201.980423,1.539829
-203.700699,1.562803
-205.365265,1.580290
-207.030045,1.597748
-208.750092,1.612680
-210.414902,1.620441
-212.079483,1.635818
-213.799744,1.656335
-215.464417,1.675372
-217.129135,1.695165
-218.849258,1.713764
-220.513962,1.722546
-222.178650,1.733785
-223.898926,1.753113
-225.563477,1.772458
-227.228287,1.793019
-228.948334,1.812460
-230.613113,1.823103
-232.277802,1.832993
-233.997955,1.852318
-235.662628,1.872694
-237.327347,1.891418
-239.047485,1.913565
-240.712280,1.922483
-242.376862,1.933555
-244.097137,1.957107
-245.761795,1.965322
-247.426498,1.983886
-249.146652,2.008483
-250.811462,2.020455
-252.476013,2.033412
-254.196289,2.062253
-255.860870,2.078113
-257.525665,2.089493
-259.245789,2.109911
-260.910492,2.118428
-262.630646,2.136270
-264.295441,2.157431
-265.959991,2.175774
-267.680267,2.196852
-269.344849,2.208832
-271.009674,2.219435
-272.729828,2.239350
-274.394592,2.257346
-276.059174,2.278427
-277.779327,2.297977
-279.444031,2.310017
-281.108704,2.321511
-282.828949,2.342631
-284.493561,2.359996
-286.158325,2.377876
-287.878479,2.401730
-289.543182,2.411026
-291.207886,2.295370
-292.928131,2.394170
-294.592712,2.391119
-296.257507,2.399626
-297.977661,2.413366
-299.642456,2.424905
-301.307037,2.441371
-303.027283,2.442229
-304.691864,2.452373
-306.356659,2.466362
-308.076813,2.481798
-309.741608,2.494468
-311.406189,2.505299
-313.126434,2.512158
-314.791138,2.518803
-316.455841,2.531456
-318.175995,2.545403
-319.840759,2.560679
-321.505341,2.572062
-323.225586,2.576761
-324.890320,2.584051
-326.555084,2.598747
-328.275146,2.614458
-329.939911,2.626380
-331.604614,2.632819
-333.324890,2.639915
-334.989471,2.653158
-336.654236,2.667906
-338.374390,2.681512
-340.039093,2.690075
-341.703766,2.699131
-343.424042,2.707453
-345.088623,2.650270
-346.808990,2.806560
-348.473541,2.697796
-350.138123,2.782143
-351.858521,2.756975
-353.523102,2.780070
-355.187866,2.785033
-356.908051,2.792124
-358.572723,2.807201
-360.237427,2.821519
-361.957672,2.833970
-363.622253,2.840460
-365.287048,2.848244
-367.007202,2.858361
-368.671997,2.873204
-370.336578,2.888258
-372.056946,2.897765
-373.721527,2.903583
-375.386322,2.911526
-377.106476,2.924151
-378.771271,2.937565
-380.435822,2.950610
-382.156097,2.964418
-383.820831,2.973536
-385.485596,2.980670
-387.205627,2.994634
-388.870422,3.001082
-390.535126,3.008892
-392.255371,3.021760
-393.919983,3.025259
-395.584747,3.022488
