2,Street Stock Casino,baseline
Steering Wheel Angle,Yaw Rate
367.021210,3.349447
366.161163,3.349695
365.328857,3.364721
364.496582,3.375881
363.636566,3.378852
362.804291,3.370694
361.971954,3.362196
361.111938,3.353557
360.279633,3.336568
359.447357,3.333517
358.587311,3.329117
357.755035,3.312092
356.922760,3.309303
356.062714,3.293400
355.230408,3.291714
354.398132,3.287563
353.538086,3.270168
352.705811,3.267438
351.873505,3.251762
351.013458,3.249771
350.181152,3.246653
349.348877,3.228858
348.488861,3.225089
347.656586,3.211420
346.824280,3.205031
345.964233,3.204560
345.131927,3.186890
344.271912,3.185287
343.439606,3.168993
342.607300,3.162992
341.747284,3.157022
340.915009,3.150523
340.082703,3.143440
339.222687,3.130652
338.390381,3.125596
337.558075,3.109632
336.698059,3.109830
335.865753,3.104133
335.033447,3.086710
334.173431,3.082897
333.341125,3.070168
332.508850,3.064481
331.648834,3.056101
330.816498,3.048871
329.984222,3.044711
329.124176,3.031950
328.291870,3.021136
327.459595,3.016314
326.599579,3.002707
325.767242,2.998745
324.934998,2.984183
324.074890,2.983130
323.242615,2.972267
322.410339,2.967899
321.550323,2.961026
320.718018,2.953267
319.885742,2.945515
319.025665,2.934031
318.193359,2.924812
317.361053,2.915008
316.501038,2.903781
315.668762,2.902900
314.836456,2.889732
313.976410,2.888301
313.144104,2.873480
312.311798,2.862454
311.451782,2.861455
310.619476,2.847606
309.787201,2.847547
308.927124,2.833244
308.094849,2.819611
307.262543,2.818715
306.402527,2.806109
305.570251,2.800737
304.737915,2.794108
303.877869,2.787844
303.045593,2.781718
302.185547,2.770293
301.353241,2.763406
300.520966,2.751385
299.660919,2.745908
298.828613,2.734355
297.996338,2.724908
297.136292,2.717150
296.303955,2.708113
295.471680,2.699936
294.611664,2.694404
293.779358,2.686304
292.947052,2.681115
292.087006,2.675072
291.254700,2.667513
290.422424,2.650951
289.562378,2.648654
288.730072,2.634233
287.897766,2.632886
287.037720,2.626503
286.205444,2.611422
285.373138,2.608210
284.513092,2.592577
283.680786,2.593149
282.848511,2.587222
281.988434,2.569556
281.156128,2.569014
280.323853,2.552942
279.463837,2.548709
278.631531,2.540483
277.799194,2.535900
276.939148,2.528696
276.106873,2.520674
275.274567,2.513734
274.414520,2.504461
273.582184,2.496168
272.749939,2.484145
271.889862,2.476382
271.057556,2.469063
270.225281,2.459576
269.365234,2.451335
268.532898,2.443308
267.700653,2.435426
266.840576,2.427192
266.008301,2.419266
265.175995,2.410681
264.315948,2.402833
263.483612,2.395151
262.651367,2.386887
261.791260,2.377290
260.958984,2.370588
260.126709,2.361276
259.266663,2.351403
258.434326,2.344717
257.574310,2.335138
256.741974,2.329615
255.909698,2.320510
255.049637,2.313709
254.217377,2.304979
253.385025,2.297974
252.524994,2.288815
251.692673,2.280415
250.860382,2.274853
250.000351,2.265806
249.168060,2.259556
248.335739,2.249280
247.475677,2.239552
246.643387,2.232387
245.811096,2.220806
244.951035,2.216256
244.118729,2.204049
243.286438,2.199097
242.426376,2.193035
241.594086,2.185306
240.761795,2.178641
239.901733,2.169939
239.069412,2.161033
238.237122,2.153170
237.377060,2.145912
236.544769,2.133543
235.712479,2.128514
234.852386,2.119901
234.020096,2.116740
233.187759,2.107932
232.327744,2.103669
231.495453,2.093652
230.663147,2.088121
229.803085,2.075182
228.970810,2.064909
228.138474,2.056916
227.278442,2.044932
226.446152,2.038880
225.613831,2.033974
224.753769,2.026111
223.921478,2.023563
223.089157,1.871792
222.229095,1.812882
221.396805,1.837052
220.564499,1.745695
219.704453,1.921513
218.872147,1.904194
218.039856,2.008188
217.179794,1.995852
216.347504,1.977104
215.487411,1.934733
214.655151,1.951616
213.822800,1.761787
212.962784,1.822882
212.130447,1.821998
211.298157,1.760479
210.438110,1.822093
209.605789,1.823535
208.773483,1.787279
207.913452,1.895603
207.081100,1.793646
206.248810,1.821315
205.388763,1.813225
204.556473,1.821660
203.724136,1.781960
202.864120,1.850439
202.031799,1.729011
201.199493,1.719125
200.339432,1.719736
199.507156,1.672086
198.674789,1.720393
197.814758,1.719467
196.982437,1.678432
196.150131,1.739680
195.290085,1.674538
194.457779,1.701848
193.625488,1.719537
192.765442,1.625614
191.933105,1.633206
191.100800,1.647143
190.240738,1.557998
189.408432,1.627919
188.576141,1.585854
187.716064,1.581079
186.883774,1.664011
186.051453,1.598643
185.191422,1.602767
184.359100,1.639768
183.526779,1.593997
182.666718,1.642048
181.834427,1.564067
181.002090,1.619420
180.142075,1.531813
179.309723,1.495830
178.477432,1.543349
177.617355,1.511563
176.785065,1.454165
175.952728,1.499487
175.092712,1.526602
174.260361,1.449543
173.428070,1.467846
172.567993,1.541108
171.735703,1.447818
170.875641,1.446101
170.043350,1.519417
169.211029,1.437513
168.350967,1.429142
167.518646,1.465002
166.686340,1.380627
165.826263,1.408116
164.993988,1.435776
164.161667,1.409433
163.301605,1.374920
162.469284,1.407964
161.636978,1.404861
160.776901,1.343531
159.944611,1.351736
159.112289,1.385534
158.252243,1.360525
157.419952,1.322460
156.587616,1.357237
155.727585,1.347383
154.895248,1.282282
154.062958,1.283274
153.202866,1.308841
152.370575,1.313763
151.538254,1.272309
150.678192,1.234142
149.845886,1.265913
149.013550,1.261877
148.153473,1.214461
147.321182,1.223355
146.488861,1.232601
145.628830,1.253932
144.796478,1.237014
143.964188,1.194265
143.104111,1.215942
142.271820,1.206913
141.439468,1.149389
140.579437,1.164065
139.747116,1.187393
138.914810,1.183932
138.054718,1.128993
137.222427,1.134819
136.390091,1.151949
135.530060,1.156959
134.697739,1.133976
133.865448,1.092205
133.005356,1.118711
132.173035,1.127679
131.340698,1.103211
130.480667,1.043411
129.648331,1.068145
128.788284,1.075288
127.955971,1.078287
127.123650,1.016145
126.263580,1.057663
125.431274,1.053555
124.598946,1.016454
123.738884,0.990715
122.906570,1.017524
122.074249,1.008109
121.214180,1.015315
120.381889,0.999692
119.549583,1.024982
118.689499,0.995930
117.857208,0.998718
117.024864,0.967600
116.164818,0.935368
115.332497,0.955627
114.500183,0.941147
113.640099,0.962818
112.807816,0.935247
111.975464,0.899413
111.115417,0.916903
110.283073,0.903473
109.450798,0.929185
108.590706,0.893288
107.758392,0.866526
106.926048,0.880114
106.066025,0.866618
105.233688,0.889548
104.401367,0.847875
103.541290,0.835362
102.709000,0.845535
101.876656,0.830793
101.016617,0.854049
100.184258,0.807670
99.351967,0.802579
98.491867,0.807341
97.659584,0.799747
96.827240,0.804485
95.967186,0.770543
95.134850,0.769551
94.302551,0.779859
93.442474,0.765401
92.610168,0.783952
91.777817,0.748783
90.917770,0.731300
90.085419,0.749468
89.253136,0.731979
88.393059,0.747478
87.560738,0.719245
86.728401,0.692955
85.868347,0.715170
85.036011,0.699946
84.175987,0.703260
83.343666,0.691952
82.511330,0.658287
81.651276,0.672102
80.818932,0.669943
79.986641,0.664110
79.126564,0.668517
78.294250,0.625868
77.461899,0.635363
76.601852,0.632476
75.769508,0.620903
74.937218,0.632879
74.077118,0.597519
73.244827,0.599420
72.412483,0.597198
71.552437,0.588113
70.720093,0.593062
69.887779,0.561309
69.027695,0.561008
68.195381,0.563882
67.363037,0.550962
66.502983,0.550134
65.670639,0.537698
64.838356,0.526677
63.978252,0.529399
63.145962,0.516150
62.313614,0.520158
61.453571,0.498418
60.621227,0.487353
59.788914,0.492511
58.928833,0.480119
58.096516,0.483154
57.264168,0.468097
56.404118,0.460019
55.571785,0.458345
54.739460,0.448430
53.879387,0.448869
53.047070,0.429202
52.214725,0.422138
51.354675,0.420942
50.522331,0.407919
49.690018,0.408636
48.829941,0.393273
47.997620,0.392277
47.165333,0.384885
46.305229,0.379698
45.472939,0.374952
44.640572,0.360304
43.780521,0.359746
42.948174,0.343357
42.088127,0.341509
41.255783,0.335235
40.423466,0.323317
39.563393,0.324379
38.731071,0.308709
37.898731,0.307801
37.038677,0.300567
36.206333,0.290994
35.374020,0.289746
34.513916,0.281566
33.681625,0.275654
32.849281,0.266968
31.989231,0.261045
31.156860,0.254258
30.324574,0.248366
29.464470,0.242822
28.632154,0.237273
27.799809,0.231126
26.939756,0.222553
26.107418,0.213501
25.275099,0.208769
24.414997,0.204881
23.582706,0.200802
22.750338,0.188932
21.890287,0.181264
21.057941,0.173835
20.225628,0.165106
19.365551,0.161206
18.533232,0.161419
17.700891,0.147647
16.840841,0.137559
16.008469,0.133998
15.176180,0.122812
14.316077,0.120597
13.483759,0.120344
12.651418,0.099427
11.791367,0.098739
10.958997,0.090763
10.126707,0.081634
9.266657,0.085977
8.434287,0.071161
7.601997,0.060512
6.741893,0.056906
5.909577,0.043825
5.077234,0.047671
4.217184,0.040523
3.384840,0.021869
2.552498,0.025224
1.692420,0.016172
0.860077,0.020887
0.000000,0.023422
-0.832289,0.023443
-1.664686,0.020579
-2.524710,0.024865
-3.357053,0.033929
-4.189396,0.026682
-5.049473,0.038139
-5.881763,0.054561
-6.714159,0.050181
-7.574183,0.066638
-8.406580,0.065692
-9.238869,0.063233
-10.098946,0.090977
-10.931289,0.082496
-11.763633,0.100492
-12.623710,0.105475
-13.456052,0.096366
-14.288342,0.118874
-15.148474,0.124782
-15.980763,0.131211
-16.813107,0.147978
-17.673182,0.127451
-18.505527,0.147183
-19.337870,0.161756
-20.197947,0.160194
-21.030237,0.187673
-21.862633,0.171823
-22.722656,0.175018
-23.555052,0.205297
-24.387342,0.198067
-25.247473,0.219006
-26.079763,0.214606
-26.912052,0.198410
-27.772181,0.237860
-28.604471,0.238286
-29.436871,0.245767
-30.296894,0.255251
-31.129236,0.234930
-31.961580,0.257303
-32.821655,0.268904
-33.653999,0.264371
-34.486343,0.288877
-35.346416,0.264516
-36.178764,0.280460
-37.011055,0.293533
-37.871181,0.303880
-38.703472,0.325434
-39.535870,0.298485
-40.395893,0.314278
-41.228291,0.329469
-42.060577,0.337903
-42.920708,0.360853
-43.752998,0.334388
-44.613132,0.349559
-45.445419,0.364228
-46.277763,0.372852
-47.137840,0.397660
-47.970184,0.368079
-48.802528,0.383910
-49.662605,0.409415
-50.494946,0.409375
-51.327290,0.436980
-52.187366,0.408557
-53.019711,0.413230
-53.852055,0.452569
-54.712128,0.442935
-55.544472,0.471275
-56.376820,0.452153
-57.236893,0.459925
-58.069241,0.488096
-58.901524,0.492374
-59.761658,0.496110
-60.593948,0.463576
-61.426346,0.500136
-62.286369,0.519648
-63.118763,0.531054
-63.951054,0.542132
-64.811134,0.502811
-65.643471,0.526798
-66.475815,0.560061
-67.335892,0.558527
-68.168236,0.583233
-69.000580,0.559287
-69.860657,0.562488
-70.693001,0.597842
-71.525345,0.604698
-72.385475,0.566792
-73.217758,0.595189
-74.050110,0.628346
-74.910187,0.632552
-75.742577,0.636777
-76.574867,0.601130
-77.434998,0.624420
-78.267296,0.667641
-79.099686,0.662466
-79.959709,0.694944
-80.792107,0.665251
-81.624397,0.637254
-82.484528,0.684390
-83.316811,0.700450
-84.149216,0.711501
-85.009239,0.737561
-85.841637,0.701578
-86.673920,0.680808
-87.534050,0.725741
-88.366348,0.752795
-89.226479,0.754757
-90.058823,0.780068
-90.891159,0.720684
-91.751236,0.765424
-92.583588,0.779700
-93.415924,0.794857
-94.276054,0.743629
-95.108345,0.809680
-95.940750,0.811924
-96.800774,0.843763
-97.633163,0.825818
-98.465462,0.782410
-99.325584,0.808990
-100.157875,0.853917
-100.990211,0.853669
-101.850349,0.868371
-102.682632,0.826108
-103.515022,0.867634
-104.375046,0.886868
-105.207451,0.884828
-106.039742,0.874381
-106.899872,0.849256
