2,Street Stock Eagle,baseline
Steering Wheel Angle,Yaw Rate
367.021210,3.350217
366.161163,3.350496
365.328857,3.364997
364.496582,3.375929
363.636566,3.377758
362.804291,3.370040
361.971954,3.362777
361.111938,3.353492
360.279633,3.335898
359.447357,3.330751
358.587311,3.324262
357.755035,3.313648
356.922760,3.312627
356.062714,3.297618
355.230408,3.284575
354.398132,3.285286
353.538086,3.270886
352.705811,3.271028
351.873505,3.256577
351.013458,3.242635
350.181152,3.243392
349.348877,3.228723
348.488861,3.228554
347.656586,3.217817
346.824280,3.200988
345.964233,3.200603
345.131927,3.188364
344.271912,3.184148
343.439606,3.176332
342.607300,3.168956
341.747284,3.162208
340.915009,3.151004
340.082703,3.143898
339.222687,3.130958
338.390381,3.123176
337.558075,3.111974
336.698059,3.104906
335.865753,3.093102
335.033447,3.086949
334.173431,3.077347
333.341125,3.071853
332.508850,3.066668
331.648834,3.060353
330.816498,3.052931
329.984222,3.045974
329.124176,3.035641
328.291870,3.026945
327.459595,3.018721
326.599579,3.009467
325.767242,3.002558
324.934998,2.992535
324.074890,2.982769
323.242615,2.971955
322.410339,2.961177
321.550323,2.958845
320.718018,2.945855
319.885742,2.946624
319.025665,2.932092
318.193359,2.918409
317.361053,2.917379
316.501038,2.904367
315.668762,2.905845
314.836456,2.891270
313.976410,2.877191
313.144104,2.876236
312.311798,2.863224
311.451782,2.863776
310.619476,2.848294
309.787201,2.839382
308.927124,2.831355
308.094849,2.820104
307.262543,2.811962
306.402527,2.813888
305.570251,2.798365
304.737915,2.797011
303.877869,2.783191
303.045593,2.772902
302.185547,2.769276
301.353241,2.762162
300.520966,2.756351
299.660919,2.745937
298.828613,2.741501
297.996338,2.724666
297.136292,2.717311
296.303955,2.717181
295.471680,2.702543
294.611664,2.700285
293.779358,2.686961
292.947052,2.680995
292.087006,2.667606
291.254700,2.660354
290.422424,2.650748
289.562378,2.641421
288.730072,2.634526
287.897766,2.627703
287.037720,2.620451
286.205444,2.617436
285.373138,2.609162
284.513092,2.602540
283.680786,2.595143
282.848511,2.584701
281.988434,2.577446
281.156128,2.567216
280.323853,2.558909
279.463837,2.549849
278.631531,2.541091
277.799194,2.532125
276.939148,2.524367
276.106873,2.516537
275.274567,2.508397
274.414520,2.500213
273.582184,2.490785
272.749939,2.483889
271.889862,2.473912
271.057556,2.466361
270.225281,2.459617
269.365234,2.452606
268.532898,2.442427
267.700653,2.435160
266.840576,2.427129
266.008301,2.419256
265.175995,2.410056
264.315948,2.401288
263.483612,2.396690
262.651367,2.381521
261.791260,2.375916
260.958984,2.365914
260.126709,2.361267
259.266663,2.352825
258.434326,2.349531
257.574310,2.340929
256.741974,2.335217
255.909698,2.327507
255.049637,2.318244
254.217377,2.308990
253.385025,2.299206
252.524994,2.290926
251.692673,2.281811
250.860382,2.274983
250.000351,2.265727
249.168060,2.259509
248.335739,2.249506
247.475677,2.242653
246.643387,2.232746
245.811096,2.226296
244.951035,2.217894
244.118729,2.208890
243.286438,2.197787
242.426376,2.192020
241.594086,2.184585
240.761795,2.176001
239.901733,2.173228
239.069412,2.165789
238.237122,2.158995
237.377060,2.150567
236.544769,2.143952
235.712479,2.134326
234.852386,2.125879
234.020096,2.115999
233.187759,2.104760
232.327744,2.098337
231.495453,2.088590
230.663147,2.081139
229.803085,2.073206
228.970810,2.065273
228.138474,2.057310
227.278442,2.049134
226.446152,2.039824
225.613831,2.031328
224.753769,2.021741
223.921478,2.013259
223.089157,1.989764
222.229095,1.806879
221.396805,1.802026
220.564499,1.773501
219.704453,1.856997
218.872147,1.996301
218.039856,1.970946
217.179794,2.022207
216.347504,2.008271
215.487411,1.959389
214.655151,1.884923
213.822800,1.788806
212.962784,1.815504
212.130447,1.760198
211.298157,1.750139
210.438110,1.835485
209.605789,1.841592
208.773483,1.860625
207.913452,1.816412
207.081100,1.856398
206.248810,1.816672
205.388763,1.839525
204.556473,1.793174
203.724136,1.861047
202.864120,1.690174
202.031799,1.739834
201.199493,1.678807
200.339432,1.724122
199.507156,1.671683
198.674789,1.751247
197.814758,1.731913
196.982437,1.710065
196.150131,1.778567
195.290085,1.734663
194.457779,1.694562
193.625488,1.736495
192.765442,1.648885
191.933105,1.659204
191.100800,1.718390
190.240738,1.610837
189.408432,1.613546
188.576141,1.635703
187.716064,1.590317
186.883774,1.649447
186.051453,1.613922
185.191422,1.591897
184.359100,1.655692
183.526779,1.548046
182.666718,1.591887
181.834427,1.611654
181.002090,1.539687
180.142075,1.538541
179.309723,1.587221
178.477432,1.483433
177.617355,1.504691
176.785065,1.534052
175.952728,1.471117
175.092712,1.493659
174.260361,1.541092
173.428070,1.469495
172.567993,1.467026
171.735703,1.505654
170.875641,1.459344
170.043350,1.446770
169.211029,1.481050
168.350967,1.448538
167.518646,1.403343
166.686340,1.481407
165.826263,1.403009
164.993988,1.393401
164.161667,1.433873
