2,Street Stock Panther,baseline
Steering Wheel Angle,Yaw Rate
367.021210,3.309459
366.161163,3.399775
365.328857,3.210158
364.496582,3.352229
363.636566,3.308332
362.804291,3.425041
361.971954,3.233071
361.111938,3.314638
360.279633,3.096143
359.447357,3.086284
358.587311,3.036152
357.755035,3.340214
356.922760,3.357148
356.062714,3.357386
355.230408,3.384217
354.398132,3.331234
353.538086,3.254070
352.705811,3.123249
351.873505,3.167123
351.013458,3.233239
350.181152,3.020868
349.348877,3.283442
348.488861,3.223054
347.656586,3.226844
346.824280,3.096306
345.964233,3.217380
345.131927,3.212208
344.271912,3.247918
343.439606,3.047230
342.607300,3.135307
341.747284,3.202282
340.915009,3.038090
340.082703,3.188400
339.222687,3.103446
338.390381,2.945286
337.558075,3.116957
336.698059,3.129179
335.865753,2.999930
335.033447,2.997689
334.173431,3.116426
333.341125,3.088810
332.508850,3.117721
331.648834,3.025889
330.816498,3.051290
329.984222,3.061141
329.124176,2.990793
328.291870,2.974491
327.459595,2.991624
326.599579,2.812228
325.767242,3.006227
324.934998,2.986122
324.074890,2.796892
323.242615,3.052577
322.410339,2.754084
321.550323,3.041018
320.718018,2.778347
319.885742,3.012498
319.025665,2.761881
318.193359,2.993839
317.361053,2.774280
316.501038,2.948493
315.668762,2.848624
314.836456,2.792387
313.976410,2.791813
313.144104,2.858280
312.311798,2.805395
311.451782,2.837956
310.619476,2.885365
309.787201,2.852899
308.927124,2.898088
308.094849,2.835269
307.262543,2.819203
306.402527,2.738295
305.570251,2.768235
304.737915,2.767819
303.877869,2.744019
303.045593,2.750218
302.185547,2.714919
301.353241,2.734694
300.520966,2.665131
299.660919,2.687437
298.828613,2.740983
297.996338,2.699680
297.136292,2.725512
296.303955,2.717470
295.471680,2.613670
294.611664,2.673600
293.779358,2.722073
292.947052,2.643916
292.087006,2.680192
291.254700,2.592398
290.422424,2.610561
289.562378,2.587820
288.730072,2.595397
287.897766,2.593298
287.037720,2.542372
286.205444,2.585586
285.373138,2.525661
284.513092,2.612129
283.680786,2.518281
282.848511,2.555306
281.988434,2.526498
281.156128,2.538157
280.323853,2.568449
279.463837,2.518595
278.631531,2.490968
277.799194,2.502860
276.939148,2.473362
276.106873,2.486805
275.274567,2.517686
274.414520,2.470140
273.582184,2.544460
272.749939,2.454804
271.889862,2.527141
271.057556,2.439002
270.225281,2.467079
269.365234,2.376686
268.532898,2.431341
267.700653,2.355562
266.840576,2.474901
266.008301,2.380826
265.175995,2.467992
264.315948,2.334411
263.483612,2.478619
262.651367,2.346830
261.791260,2.432169
260.958984,2.302792
260.126709,2.372178
259.266663,2.303320
258.434326,2.398662
257.574310,2.260263
256.741974,2.377170
255.909698,2.271070
255.049637,2.364087
254.217377,2.228558
253.385025,2.343109
252.524994,2.233655
251.692673,2.320760
250.860382,2.239842
250.000351,2.318878
249.168060,2.173039
248.335739,2.303338
247.475677,2.156417
246.643387,2.286816
245.811096,2.139921
244.951035,2.268989
244.118729,2.125220
243.286438,2.252570
242.426376,2.109565
241.594086,2.235715
240.761795,2.082913
239.901733,2.131689
239.069412,2.094655
238.237122,2.199095
237.377060,2.108235
236.544769,2.196024
235.712479,2.055957
234.852386,2.109289
234.020096,2.105532
233.187759,2.093216
232.327744,2.159045
231.495453,2.011438
230.663147,2.052631
229.803085,2.061785
228.970810,1.946915
228.138474,2.029334
227.278442,1.923497
226.446152,2.030654
225.613831,1.960673
224.753769,1.938570
223.921478,2.033323
223.089157,1.941484
222.229095,1.948020
221.396805,2.047682
220.564499,1.950030
219.704453,2.019329
218.872147,1.953825
218.039856,1.996822
217.179794,1.922080
216.347504,1.899139
215.487411,1.942589
214.655151,1.868730
213.822800,1.882545
212.962784,1.952097
212.130447,1.797046
211.298157,1.853359
210.438110,1.863173
209.605789,1.815259
208.773483,1.905871
207.913452,1.808340
207.081100,1.820515
206.248810,1.881639
205.388763,1.783052
204.556473,1.795654
203.724136,1.859625
202.864120,1.772177
202.031799,1.826463
201.199493,1.751741
200.339432,1.757664
199.507156,1.781343
198.674789,1.693717
197.814758,1.695226
196.982437,1.736579
196.150131,1.622440
195.290085,1.721815
194.457779,1.715349
193.625488,1.648679
192.765442,1.709451
191.933105,1.655603
191.100800,1.684946
190.240738,1.692209
189.408432,1.646255
188.576141,1.660520
187.716064,1.578134
186.883774,1.562799
186.051453,1.578379
185.191422,1.569895
184.359100,1.547316
183.526779,1.554345
182.666718,1.578747
181.834427,1.580660
181.002090,1.554832
180.142075,1.633298
179.309723,1.553160
178.477432,1.586816
177.617355,1.537409
176.785065,1.591084
175.952728,1.524155
175.092712,1.448488
174.260361,1.487526
173.428070,1.432587
172.567993,1.423033
171.735703,1.461408
170.875641,1.401944
170.043350,1.491872
169.211029,1.424884
168.350967,1.464277
167.518646,1.436441
166.686340,1.469045
165.826263,1.437075
164.993988,1.441299
164.161667,1.366403
163.301605,1.361820
162.469284,1.375838
161.636978,1.329716
160.776901,1.334265
159.944611,1.338521
159.112289,1.345470
158.252243,1.364554
157.419952,1.348164
156.587616,1.385484
155.727585,1.329089
154.895248,1.368513
154.062958,1.285258
153.202866,1.294266
152.370575,1.280247
151.538254,1.275383
150.678192,1.240158
149.845886,1.251457
149.013550,1.228962
148.153473,1.251716
147.321182,1.183545
146.488861,1.225485
145.628830,1.256006
144.796478,1.232078
143.964188,1.264111
143.104111,1.214555
142.271820,1.244422
141.439468,1.201602
140.579437,1.192974
139.747116,1.188399
138.914810,1.120322
138.054718,1.159683
137.222427,1.118783
136.390091,1.120182
135.530060,1.132467
134.697739,1.133832
133.865448,1.088095
133.005356,1.116916
132.173035,1.133956
131.340698,1.096656
130.480667,1.091559
129.648331,1.114941
128.788284,1.054936
127.955971,1.055207
127.123650,1.063822
126.263580,1.072738
125.431274,1.015480
124.598946,1.026129
123.738884,1.027328
122.906570,1.001524
122.074249,1.015103
121.214180,1.019475
120.381889,0.995512
119.549583,0.965195
118.689499,0.999960
117.857208,0.979466
117.024864,0.968435
116.164818,0.966728
115.332497,0.980210
114.500183,0.936484
113.640099,0.918813
112.807816,0.931580
111.975464,0.927714
111.115417,0.936078
110.283073,0.881978
109.450798,0.893475
108.590706,0.895335
107.758392,0.904670
106.926048,0.898153
106.066025,0.847626
105.233688,0.863682
104.401367,0.859352
103.541290,0.868121
102.709000,0.853873
101.876656,0.809012
101.016617,0.839385
100.184258,0.825477
99.351967,0.835185
98.491867,0.821728
97.659584,0.777799
96.827240,0.798445
95.967186,0.790522
95.134850,0.794800
94.302551,0.793482
93.442474,0.747360
92.610168,0.760583
91.777817,0.760903
90.917770,0.752736
90.085419,0.757819
89.253136,0.716188
88.393059,0.720881
87.560738,0.730296
86.728401,0.715870
85.868347,0.728843
85.036011,0.691280
84.175987,0.685357
83.343666,0.694759
82.511330,0.676022
81.651276,0.689216
80.818932,0.659470
79.986641,0.644162
79.126564,0.660277
78.294250,0.643778
77.461899,0.650337
76.601852,0.628846
75.769508,0.605649
74.937218,0.620660
74.077118,0.607771
73.244827,0.612531
72.412483,0.600775
71.552437,0.575698
70.720093,0.586228
69.887779,0.574944
69.027695,0.576333
68.195381,0.564822
67.363037,0.538242
66.502983,0.548785
65.670639,0.539270
64.838356,0.539464
63.978252,0.529455
63.145962,0.507979
62.313614,0.515395
61.453571,0.505059
60.621227,0.503029
59.788914,0.493730
58.928833,0.471086
58.096516,0.479827
57.264168,0.470446
56.404118,0.467353
55.571785,0.459011
54.739460,0.442445
53.879387,0.446548
53.047070,0.432899
52.214725,0.431044
51.354675,0.417697
50.522331,0.405156
49.690018,0.403821
48.829941,0.396929
47.997620,0.394722
47.165333,0.380230
46.305229,0.375224
45.472939,0.374652
44.640572,0.369500
43.780521,0.356550
42.948174,0.348306
42.088127,0.342379
41.255783,0.333373
40.423466,0.329016
39.563393,0.324942
38.731071,0.314531
37.898731,0.310327
37.038677,0.306181
36.206333,0.298470
35.374020,0.290841
34.513916,0.282927
33.681625,0.274903
32.849281,0.269849
31.989231,0.264092
31.156860,0.258650
30.324574,0.252347
29.464470,0.245895
28.632154,0.241360
27.799809,0.236440
26.939756,0.224744
26.107418,0.215990
25.275099,0.209970
24.414997,0.200865
23.582706,0.197344
22.750338,0.193033
21.890287,0.185650
21.057941,0.174241
20.225628,0.168336
19.365551,0.158620
18.533232,0.151670
17.700891,0.151815
16.840841,0.142100
16.008469,0.130632
15.176180,0.126376
14.316077,0.116756
13.483759,0.113911
12.651418,0.110820
11.791367,0.093819
10.958997,0.089616
10.126707,0.080124
9.266657,0.077246
8.434287,0.080821
7.601997,0.064123
6.741893,0.054548
5.909577,0.054191
5.077234,0.036655
4.217184,0.041158
3.384840,0.036756
2.552498,0.017931
1.692420,0.022034
0.860077,0.018114
0.000000,0.023134
-0.832289,0.017782
-1.664686,0.026039
-2.524710,0.022311
-3.357053,0.028574
-4.189396,0.042045
-5.049473,0.027446
