2,Subaru WRX STI,baseline
Steering Wheel Angle,Yaw Rate
219.200073,1.376709
218.201324,1.412367
217.202515,1.411741
216.170486,1.393173
215.171677,1.380447
214.172928,1.384786
213.140839,1.384391
212.142090,1.395701
211.143280,1.355021
210.111252,1.345941
209.112442,1.355828
208.113693,1.349823
207.081604,1.334314
206.082840,1.320542
205.050766,1.316800
204.052017,1.323127
203.053238,1.327619
202.021164,1.294623
201.022385,1.285812
200.023605,1.291551
198.991516,1.289415
197.992783,1.297554
196.994003,1.261243
195.961929,1.252164
194.963150,1.261319
193.964371,1.255748
192.932281,1.265022
191.933533,1.227956
190.934753,1.219150
189.902695,1.226604
188.903946,1.194423
187.905136,1.209503
186.873108,1.194239
185.874298,1.185278
184.875549,1.192855
183.843445,1.162232
182.844696,1.175421
181.845901,1.160759
180.813843,1.151657
179.815063,1.158951
178.816269,1.133097
177.784180,1.139516
176.785431,1.127196
175.786636,1.118366
174.754608,1.124312
173.755783,1.097161
172.757034,1.107002
171.724945,1.095046
170.726196,1.084924
169.727371,1.088615
168.695328,1.049122
167.696548,1.075881
166.697769,1.060453
165.665665,1.051260
164.666916,1.049890
163.668106,1.023628
162.636078,1.049158
161.637283,1.021460
160.638535,1.018296
159.606430,1.011391
158.607651,1.018901
157.608841,1.016915
156.576813,1.002880
155.578003,0.986527
154.545944,0.977429
153.547165,0.980337
152.548386,0.955491
151.516296,0.964363
150.517532,0.946637
149.518738,0.943961
148.486664,0.939876
147.487885,0.912031
146.489105,0.938399
145.457016,0.913864
144.458267,0.912559
143.459503,0.903939
142.427399,0.904747
141.428650,0.874560
140.429840,0.890559
139.397781,0.879918
138.399002,0.870657
137.400223,0.863828
136.368118,0.869865
135.369385,0.871260
134.370560,0.855084
133.338501,0.845953
132.339691,0.829777
131.340958,0.825825
130.308853,0.795786
129.310074,0.821881
128.311264,0.803037
127.279228,0.798086
126.280426,0.789574
125.281647,0.790314
124.249550,0.767547
123.250801,0.774475
122.251991,0.782194
121.219940,0.758092
120.221115,0.749475
119.222366,0.747024
118.190239,0.715900
117.191505,0.740337
116.192688,0.725765
115.160629,0.717580
114.161819,0.708883
113.163063,0.709368
112.130974,0.692470
111.132202,0.692898
110.133385,0.696888
109.101326,0.677341
108.102509,0.668670
107.103767,0.667707
106.071671,0.646054
105.072891,0.654401
104.074081,0.661348
103.042015,0.637195
102.043213,0.628546
101.011185,0.625639
100.012398,0.597080
99.013596,0.613487
97.981529,0.616791
96.982719,0.596968
95.983971,0.588372
94.951881,0.581927
93.953102,0.586156
92.954285,0.584784
91.922226,0.568721
90.923409,0.570344
89.924667,0.550146
88.892548,0.541275
87.893791,0.536873
86.894981,0.513625
85.862923,0.533323
84.864113,0.514156
83.865334,0.512242
82.833237,0.501397
81.834457,0.494804
80.835648,0.497349
79.803581,0.492637
78.804771,0.480212
77.806030,0.488567
76.773903,0.462920
75.775154,0.454221
74.776337,0.448038
73.744286,0.451109
72.745476,0.452677
