2,Super Formula Lights 324,baseline
Steering Wheel Angle,Yaw Rate
225.259277,1.426427
224.260529,1.426532
223.261749,1.424193
222.229706,1.417712
221.230927,1.411776
220.232147,1.405741
219.200073,1.398910
218.201324,1.392314
217.202515,1.385878
216.170486,1.378858
215.171677,1.371859
214.172928,1.365580
213.140839,1.358774
212.142090,1.352727
211.143280,1.345653
210.111252,1.339401
209.112442,1.332953
208.113693,1.326167
207.081604,1.319766
206.082840,1.313446
205.050766,1.306519
204.052017,1.299862
203.053238,1.293650
202.021164,1.287078
201.022385,1.280623
200.023605,1.273791
198.991516,1.267380
197.992783,1.260842
196.994003,1.254365
195.961929,1.247598
194.963150,1.241433
193.964371,1.234855
192.932281,1.228132
191.933533,1.221630
190.934753,1.215193
189.902695,1.208591
188.903946,1.202182
187.905136,1.195703
186.873108,1.189018
185.874298,1.182714
184.875549,1.176144
183.843445,1.169190
182.844696,1.162999
181.845901,1.156431
180.813843,1.149667
179.815063,1.143614
178.816269,1.136910
177.784180,1.130287
176.785431,1.123993
175.786636,1.117207
174.754608,1.110678
173.755783,1.104345
172.757034,1.097734
171.724945,1.091121
170.726196,1.084708
169.727371,1.078472
168.695328,1.071866
167.696548,1.065092
166.697769,1.058942
165.665665,1.052245
164.666916,1.045897
163.668106,1.039300
162.636078,1.032581
161.637283,1.026433
160.638535,1.019857
159.606430,1.013347
158.607651,1.006972
157.608841,1.000378
156.576813,0.993834
155.578003,0.987339
154.545944,0.980643
153.547165,0.974181
152.548386,0.968016
151.516296,0.961159
150.517532,0.954793
149.518738,0.948595
148.486664,0.941655
147.487885,0.935423
146.489105,0.929033
145.457016,0.922124
144.458267,0.915927
143.459503,0.909396
142.427399,0.902978
141.428650,0.896355
140.429840,0.890065
139.397781,0.883433
138.399002,0.877090
137.400223,0.870716
136.368118,0.863960
135.369385,0.857350
134.370560,0.851189
133.338501,0.844693
132.339691,0.838079
131.340958,0.831808
130.308853,0.824861
129.310074,0.818641
128.311264,0.812435
127.279228,0.805759
126.280426,0.799279
125.281647,0.792885
124.249550,0.786197
123.250801,0.779905
122.251991,0.773302
121.219940,0.766841
120.221115,0.760342
119.222366,0.754209
118.190239,0.747530
117.191505,0.741069
116.192688,0.734813
115.160629,0.728013
114.161819,0.721810
113.163063,0.715251
112.130974,0.708728
111.132202,0.702193
110.133385,0.695846
109.101326,0.689214
108.102509,0.682732
107.103767,0.676406
106.071671,0.669777
105.072891,0.663477
104.074081,0.657137
103.042015,0.650240
102.043213,0.644155
101.011185,0.637443
100.012398,0.630957
99.013596,0.624625
97.981529,0.618041
96.982719,0.611543
95.983971,0.605469
94.951881,0.598677
93.953102,0.592182
92.954285,0.586048
91.922226,0.579150
90.923409,0.572969
89.924667,0.566511
88.892548,0.559872
87.893791,0.553607
86.894981,0.547093
85.862923,0.540511
84.864113,0.534255
83.865334,0.527728
82.833237,0.521196
81.834457,0.514819
80.835648,0.508299
79.803581,0.501811
78.804771,0.495531
77.806030,0.488852
76.773903,0.482266
75.775154,0.475957
74.776337,0.469781
73.744286,0.462922
72.745476,0.456760
71.746696,0.450203
70.714600,0.443492
69.715820,0.437293
68.717003,0.430869
67.684944,0.424278
66.686142,0.417937
65.687355,0.411478
64.655266,0.404908
63.656487,0.398540
62.657673,0.392146
61.625610,0.385413
60.626797,0.379104
59.628021,0.372727
58.595932,0.366206
57.597145,0.359894
56.598400,0.353454
55.566277,0.346660
54.567528,0.340452
53.568687,0.334101
52.536625,0.327446
51.537811,0.321073
50.505753,0.314488
49.506939,0.308185
48.508160,0.301688
47.476070,0.295049
46.477287,0.288623
45.478477,0.282335
44.446415,0.275853
43.447601,0.269339
42.448826,0.263116
41.416702,0.256435
40.417953,0.249963
39.419140,0.243674
38.387077,0.237035
37.388233,0.230583
36.389488,0.224279
35.357365,0.217852
34.358585,0.211254
33.359772,0.204958
32.327709,0.198423
31.328901,0.191928
30.330120,0.185548
29.297997,0.178924
28.299248,0.172606
27.300406,0.166310
26.268345,0.159768
25.269531,0.153240
24.270754,0.146906
23.238661,0.140356
22.239880,0.133956
21.241070,0.127552
20.209009,0.120963
19.210163,0.114539
18.211416,0.108277
17.179293,0.101501
16.180511,0.095317
15.181702,0.088855
14.149640,0.082310
13.150796,0.075867
12.152049,0.069393
11.119988,0.063015
10.121144,0.056538
9.122396,0.050113
8.090272,0.043618
7.091493,0.037081
6.092681,0.030879
5.060620,0.024417
4.061809,0.019021
3.062997,0.014338
2.030904,0.009553
1.032093,0.004838
0.000000,0.000997
-0.998747,0.004920
-1.997624,0.009632
-3.029652,0.014484
-4.028464,0.019288
-5.027276,0.024786
-6.059368,0.031711
-7.058115,0.038173
-8.056992,0.044363
-9.089020,0.051084
-10.087896,0.057466
-11.086643,0.063804
-12.118735,0.070501
-13.117547,0.076868
-14.116360,0.083189
-15.148452,0.089795
-16.147263,0.096078
-17.146011,0.102557
-18.178169,0.109303
-19.176916,0.115368
-20.175728,0.121784
-21.207819,0.128481
-22.206633,0.134757
-23.205444,0.141216
-24.237535,0.147781
-25.236284,0.154269
-26.235159,0.160676
-27.267187,0.167046
-28.266064,0.173530
-29.264811,0.179986
-30.296968,0.186446
-31.295717,0.192890
-32.294464,0.199268
-33.326618,0.205806
-34.325367,0.212345
-35.324245,0.218628
-36.356274,0.225270
-37.355083,0.231667
-38.353897,0.237748
-39.385986,0.244619
-40.384800,0.250985
-41.383614,0.257265
-42.415703,0.263836
-43.414516,0.270234
-44.413265,0.276571
-45.445419,0.283211
-46.444168,0.289568
-47.443043,0.296080
-48.475071,0.302719
