2,Super Formula SF23 - Honda,baseline
Steering Wheel Angle,Yaw Rate
253.557785,1.566172
252.525742,1.569318
251.526947,1.568140
250.528183,1.561963
249.496140,1.555309
248.497330,1.549170
247.498581,1.541778
246.466522,1.531673
245.467773,1.526972
244.468964,1.520814
243.436951,1.514444
242.438156,1.509066
241.439392,1.503041
240.407318,1.496538
239.408585,1.490212
238.409760,1.483483
237.377716,1.476697
236.378922,1.470575
235.380157,1.464391
234.348114,1.458076
233.349335,1.451329
232.350586,1.444724
231.318527,1.438348
230.319733,1.432078
229.320969,1.425523
228.288895,1.419253
227.290115,1.412527
226.291382,1.406236
225.259277,1.399808
224.260529,1.393560
223.261749,1.387168
222.229706,1.381095
221.230927,1.374284
220.232147,1.368071
219.200073,1.361719
218.201324,1.354825
217.202515,1.348905
216.170486,1.342213
215.171677,1.336107
214.172928,1.329741
213.140839,1.323326
212.142090,1.316764
211.143280,1.310290
210.111252,1.304000
209.112442,1.297947
208.113693,1.291386
207.081604,1.284704
206.082840,1.278304
205.050766,1.272043
204.052017,1.265831
203.053238,1.259310
202.021164,1.252803
201.022385,1.246782
200.023605,1.240110
198.991516,1.233855
197.992783,1.227670
196.994003,1.221210
195.961929,1.214585
194.963150,1.208347
193.964371,1.201944
192.932281,1.195516
191.933533,1.189574
190.934753,1.182930
189.902695,1.176495
188.903946,1.170513
187.905136,1.163805
186.873108,1.157331
185.874298,1.151235
184.875549,1.145012
183.843445,1.138636
182.844696,1.132553
181.845901,1.125889
180.813843,1.119551
179.815063,1.113235
178.816269,1.106917
177.784180,1.100370
176.785431,1.093876
175.786636,1.087776
174.754608,1.081393
173.755783,1.075426
172.757034,1.069108
171.724945,1.062250
170.726196,1.055913
169.727371,1.049862
168.695328,1.043385
167.696548,1.037312
166.697769,1.030956
165.665665,1.024434
164.666916,1.018092
163.668106,1.012188
162.636078,1.005378
161.637283,0.999144
160.638535,0.992920
159.606430,0.986631
158.607651,0.980143
157.608841,0.973899
156.576813,0.967434
155.578003,0.961294
154.545944,0.954903
153.547165,0.948616
152.548386,0.942458
151.516296,0.935998
150.517532,0.929751
149.518738,0.923553
148.486664,0.917153
147.487885,0.910850
146.489105,0.904706
145.457016,0.898261
144.458267,0.891728
143.459503,0.885604
142.427399,0.879231
141.428650,0.873026
140.429840,0.866925
139.397781,0.860337
138.399002,0.854252
137.400223,0.848049
136.368118,0.841552
135.369385,0.835330
134.370560,0.829333
133.338501,0.822647
132.339691,0.816440
131.340958,0.810187
130.308853,0.803887
129.310074,0.797547
128.311264,0.791278
127.279228,0.784739
126.280426,0.778544
125.281647,0.772498
124.249550,0.766135
123.250801,0.759992
122.251991,0.753663
121.219940,0.747352
120.221115,0.741172
119.222366,0.734832
118.190239,0.728580
117.191505,0.722337
116.192688,0.716167
115.160629,0.709712
114.161819,0.703291
113.163063,0.697067
112.130974,0.691061
111.132202,0.684517
110.133385,0.678282
109.101326,0.672020
108.102509,0.666018
107.103767,0.659770
106.071671,0.653100
105.072891,0.647098
104.074081,0.640871
103.042015,0.634469
102.043213,0.628280
101.011185,0.621960
100.012398,0.615768
99.013596,0.609544
97.981529,0.603133
96.982719,0.596883
95.983971,0.590664
94.951881,0.584415
93.953102,0.578088
92.954285,0.571968
91.922226,0.565601
90.923409,0.559453
89.924667,0.553232
88.892548,0.546632
87.893791,0.540413
