2,Super Formula SF23 - Toyota,baseline
Steering Wheel Angle,Yaw Rate
253.557785,1.566184
252.525742,1.569349
251.526947,1.568213
250.528183,1.561845
249.496140,1.555360
248.497330,1.549069
247.498581,1.539525
246.466522,1.532865
245.467773,1.527286
244.468964,1.521519
243.436951,1.514765
242.438156,1.509158
241.439392,1.503045
240.407318,1.496476
239.408585,1.490217
238.409760,1.483498
237.377716,1.476909
236.378922,1.470459
235.380157,1.464419
234.348114,1.457817
233.349335,1.451040
232.350586,1.445091
231.318527,1.438554
230.319733,1.431762
229.320969,1.425496
228.288895,1.419057
227.290115,1.412651
226.291382,1.406173
225.259277,1.399738
224.260529,1.393639
223.261749,1.387181
222.229706,1.380841
221.230927,1.374281
220.232147,1.368151
219.200073,1.361362
218.201324,1.355040
217.202515,1.349029
216.170486,1.342371
215.171677,1.335807
214.172928,1.329467
213.140839,1.322976
212.142090,1.316686
211.143280,1.310385
210.111252,1.304009
209.112442,1.297425
208.113693,1.291133
207.081604,1.284900
206.082840,1.278464
205.050766,1.271863
204.052017,1.265682
203.053238,1.259192
202.021164,1.252935
201.022385,1.246903
200.023605,1.240348
198.991516,1.233705
197.992783,1.227591
196.994003,1.221525
195.961929,1.214956
194.963150,1.208347
193.964371,1.202046
192.932281,1.195343
191.933533,1.189200
190.934753,1.182924
189.902695,1.176480
188.903946,1.170380
187.905136,1.163991
186.873108,1.157308
185.874298,1.151081
184.875549,1.144830
183.843445,1.138697
182.844696,1.132375
181.845901,1.125734
180.813843,1.119490
179.815063,1.113194
178.816269,1.107072
177.784180,1.100387
176.785431,1.093975
175.786636,1.087541
174.754608,1.080970
173.755783,1.075271
172.757034,1.068802
171.724945,1.062278
170.726196,1.056184
169.727371,1.049849
168.695328,1.043449
167.696548,1.037404
166.697769,1.030796
165.665665,1.024379
164.666916,1.018066
163.668106,1.012014
162.636078,1.005510
161.637283,0.999398
160.638535,0.993184
159.606430,0.986587
158.607651,0.980176
157.608841,0.973860
156.576813,0.967466
155.578003,0.961136
154.545944,0.954878
153.547165,0.948786
152.548386,0.942643
151.516296,0.936208
150.517532,0.929973
149.518738,0.923740
148.486664,0.917153
147.487885,0.910916
146.489105,0.904583
145.457016,0.898365
144.458267,0.892124
143.459503,0.885767
142.427399,0.879185
141.428650,0.873024
140.429840,0.866838
139.397781,0.860579
138.399002,0.854101
137.400223,0.847904
136.368118,0.841463
135.369385,0.835434
134.370560,0.829177
133.338501,0.822539
132.339691,0.816384
131.340958,0.810229
130.308853,0.803999
129.310074,0.797836
128.311264,0.791368
127.279228,0.785081
126.280426,0.778852
125.281647,0.772634
124.249550,0.766141
123.250801,0.759703
122.251991,0.753630
121.219940,0.747485
120.221115,0.741292
119.222366,0.734932
118.190239,0.728399
117.191505,0.722326
116.192688,0.716191
115.160629,0.709650
114.161819,0.703344
113.163063,0.697248
112.130974,0.690749
111.132202,0.684474
110.133385,0.678508
109.101326,0.672119
108.102509,0.666117
107.103767,0.659630
106.071671,0.653125
105.072891,0.647051
104.074081,0.640974
103.042015,0.634451
102.043213,0.628218
101.011185,0.621928
100.012398,0.615779
99.013596,0.609504
97.981529,0.603062
96.982719,0.596916
95.983971,0.590852
94.951881,0.584233
93.953102,0.578056
92.954285,0.571940
91.922226,0.565616
90.923409,0.559338
89.924667,0.553362
88.892548,0.546789
87.893791,0.540639
86.894981,0.534382
85.862923,0.528004
84.864113,0.521897
83.865334,0.515657
82.833237,0.509300
81.834457,0.503099
80.835648,0.496902
79.803581,0.490551
78.804771,0.484307
77.806030,0.478171
76.773903,0.471892
75.775154,0.465588
74.776337,0.459475
73.744286,0.452986
72.745476,0.446916
71.746696,0.440699
70.714600,0.434330
69.715820,0.428128
68.717003,0.421960
67.684944,0.415490
66.686142,0.409350
65.687355,0.403075
64.655266,0.396673
63.656487,0.390740
62.657673,0.384444
61.625610,0.378179
60.626797,0.372025
59.628021,0.365923
58.595932,0.359395
