2,Super Late Model,baseline
Steering Wheel Angle,Yaw Rate
298.970825,2.150664
297.972076,2.304134
296.973328,2.307661
295.941254,2.291526
294.942474,2.278786
293.943726,2.269027
292.911652,2.260905
291.912903,2.252624
290.914154,2.257447
289.882080,2.249200
288.883301,2.236309
287.884552,2.234871
286.852478,2.225402
285.853729,2.219279
284.854980,2.210743
283.822876,2.204274
282.824127,2.196285
281.825317,2.188886
280.793304,2.180913
279.794556,2.173601
278.795776,2.167181
277.763702,2.158747
276.764984,2.151603
275.766174,2.144302
274.734131,2.135518
273.735382,2.129277
272.736603,2.121518
271.704529,2.114365
270.705780,2.108284
269.707001,2.076243
268.674927,2.089078
267.676178,2.061713
266.677399,2.067807
265.645355,2.059101
264.646576,2.057659
263.647827,2.030084
262.615753,2.031167
261.617004,2.034878
260.584900,2.011247
259.586182,2.011304
258.587372,2.011818
257.555359,2.005365
256.556549,1.984389
255.557785,1.975418
254.525742,1.976826
253.526947,1.979454
252.528183,1.955125
251.496140,1.949973
250.497330,1.956392
249.498581,1.935133
248.466522,1.935829
247.467773,1.926891
246.468964,1.911815
245.436951,1.920560
244.438156,1.902056
243.439392,1.893948
242.407318,1.893542
241.408585,1.876144
240.409760,1.876493
239.377716,1.868418
238.378922,1.859345
237.380157,1.851684
236.348114,1.840766
235.349335,1.837160
234.350586,1.831971
233.318527,1.821334
232.319733,1.809583
231.320969,1.805479
230.288895,1.803277
229.290115,1.792387
228.291382,1.783523
227.259277,1.782689
226.260529,1.764623
225.261749,1.771995
224.229706,1.751539
223.230927,1.754077
222.232147,1.740742
221.200073,1.737640
220.201324,1.727599
219.202515,1.719887
218.170486,1.709513
217.171677,1.702593
216.172928,1.692644
215.140839,1.684779
214.142090,1.676724
213.143280,1.668534
212.111252,1.658699
211.112442,1.650823
210.113693,1.642834
209.081604,1.633463
208.082840,1.625194
207.050766,1.617131
206.052017,1.608826
205.053238,1.599996
204.021164,1.591726
203.022385,1.582618
202.023605,1.574649
200.991516,1.567156
199.992783,1.559190
198.994003,1.549278
197.961929,1.541061
196.963150,1.532245
195.964371,1.524736
194.932281,1.515421
193.933533,1.507415
192.934753,1.499030
191.902695,1.489702
190.903946,1.482555
189.905136,1.473635
188.873108,1.465565
187.874298,1.457706
186.875549,1.448850
185.843445,1.440856
184.844696,1.431631
183.845901,1.423553
182.813843,1.415899
181.815063,1.407595
180.816269,1.398852
179.784180,1.390579
178.785431,1.382713
177.786636,1.374284
176.754608,1.365453
175.755783,1.357456
174.757034,1.349645
173.724945,1.340557
172.726196,1.333397
171.727371,1.324457
170.695328,1.315950
169.696548,1.307977
168.697769,1.300329
167.665665,1.291112
166.666916,1.283791
165.668106,1.275343
164.636078,1.267087
163.637283,1.259465
162.638535,1.250947
161.606430,1.242597
160.607651,1.235349
159.608841,1.226851
158.576813,1.218443
157.578003,1.209996
156.545944,1.202202
155.547165,1.193545
154.548386,1.185408
153.516296,1.177291
152.517532,1.169279
151.518738,1.161391
150.486664,1.153782
149.487885,1.146305
148.489105,1.137611
147.457016,1.129632
146.458267,1.121589
145.459503,1.114844
144.427399,1.106393
143.428650,1.097753
142.429840,1.089797
141.397781,1.082353
140.399002,1.074223
139.400223,1.066073
138.368118,1.058646
137.369385,1.051316
136.370560,1.042960
135.338501,1.034788
134.339691,1.027581
133.340958,1.019791
132.308853,1.011791
131.310074,1.004357
130.311264,0.996788
129.279236,0.988921
128.280426,0.981446
127.281647,0.973922
126.249550,0.966516
125.250801,0.958799
124.251991,0.951325
123.219940,0.943935
122.221115,0.937098
121.222366,0.929408
120.190239,0.921920
119.191505,0.914710
118.192688,0.907760
117.160629,0.898426
116.161819,0.890372
115.163063,0.882107
114.130974,0.874338
113.132202,0.867601
112.133385,0.859286
111.101326,0.850151
110.102509,0.842799
109.103767,0.834408
108.071671,0.826694
107.072891,0.819237
106.074081,0.810140
105.042015,0.801900
104.043213,0.795343
103.011185,0.788540
102.012398,0.781723
101.013596,0.776204
99.981529,0.770387
98.982719,0.764837
97.983971,0.759246
96.951881,0.753554
95.953102,0.747934
94.954285,0.742485
93.922226,0.736601
92.923409,0.731069
91.924667,0.725543
90.892548,0.719848
89.893791,0.714204
88.894981,0.708585
87.862923,0.702863
86.864113,0.697392
85.865334,0.691767
84.833237,0.686099
83.834457,0.680439
82.835648,0.674976
81.803581,0.669221
80.804771,0.663565
79.806030,0.658043
78.773903,0.652256
77.775154,0.646661
76.776337,0.641188
75.744286,0.635386
74.745476,0.629848
73.746696,0.624331
72.714600,0.618581
71.715820,0.613024
70.717003,0.607478
69.684944,0.601728
68.686142,0.596196
67.687355,0.590662
66.655266,0.584985
65.656487,0.579395
64.657669,0.573780
63.625610,0.568068
62.626797,0.562518
61.628021,0.556934
60.595932,0.551224
59.597145,0.545664
58.598400,0.540056
57.566277,0.534433
56.567528,0.528892
55.568687,0.523296
54.536625,0.517633
53.537811,0.512114
52.505753,0.506385
51.506939,0.500913
50.508160,0.495374
49.476070,0.489651
48.477287,0.484202
47.478477,0.478646
46.446415,0.472938
45.447601,0.467392
44.448826,0.461472
43.416702,0.454572
42.417953,0.447668
41.419140,0.441296
40.387077,0.434256
39.388233,0.427826
38.389488,0.421271
37.357365,0.414269
36.358585,0.407376
35.359772,0.400204
34.327709,0.392996
33.328903,0.386150
32.330120,0.379282
31.297997,0.372075
30.299248,0.364852
29.300406,0.358033
28.268345,0.349782
27.269531,0.338874
26.270754,0.331166
25.238661,0.320865
24.239880,0.313648
