2,Supercars Chevrolet Camaro Gen3,baseline
Steering Wheel Angle,Yaw Rate
281.822876,1.623827
280.824127,1.630846
279.825317,1.620904
278.793304,1.613613
277.794556,1.603838
276.795776,1.595360
275.763702,1.596587
274.764984,1.591314
273.766174,1.586752
272.734131,1.581720
271.735382,1.575423
270.736603,1.568479
269.704529,1.560457
268.705780,1.552706
267.707001,1.545524
266.674927,1.537934
265.676178,1.530730
264.677399,1.524465
263.645355,1.518039
262.646576,1.511257
261.647827,1.504680
260.615753,1.497659
259.617004,1.490878
258.584900,1.484344
257.586182,1.477505
256.587372,1.470966
255.555344,1.464268
254.556549,1.457414
253.557785,1.451137
252.525742,1.443932
251.526947,1.437252
250.528183,1.430989
249.496140,1.423802
248.497330,1.417619
247.498581,1.410565
246.466522,1.403678
245.467773,1.397213
244.468964,1.390940
243.436951,1.383682
242.438156,1.377444
241.439392,1.370494
240.407318,1.363934
239.408585,1.357098
238.409760,1.350474
237.377716,1.344058
236.378922,1.337120
235.380157,1.330790
234.348114,1.323889
233.349335,1.317141
232.350586,1.310917
231.318527,1.303927
230.319733,1.297171
229.320969,1.290843
228.288895,1.283764
227.290115,1.277573
226.291382,1.270769
225.259277,1.264328
224.260529,1.257358
223.261749,1.250984
222.229706,1.244350
221.230927,1.237862
220.232147,1.231316
219.200073,1.224505
218.201324,1.218010
217.202515,1.211140
216.170486,1.204674
215.171677,1.198271
214.172928,1.191451
213.140839,1.185130
212.142090,1.178320
211.143280,1.171904
210.111252,1.165257
209.112442,1.158568
208.113693,1.152278
207.081604,1.145372
206.082840,1.139131
205.050766,1.132361
204.052017,1.125927
203.053238,1.119226
202.021164,1.112807
201.022385,1.106049
200.023605,1.099685
198.991516,1.093052
197.992783,1.086769
196.994003,1.080255
195.961929,1.073432
194.963150,1.067327
193.964371,1.060485
192.932281,1.053937
191.933533,1.047645
190.934753,1.041076
189.902695,1.034705
188.903946,1.027977
187.905136,1.022010
186.873108,1.014591
185.874298,1.008783
184.875549,1.001258
183.843445,0.995572
182.844696,0.988126
181.845901,0.982640
180.813843,0.975152
179.815063,0.968858
178.816269,0.962474
177.784180,0.955921
176.785431,0.949683
175.786636,0.943363
174.754608,0.936930
173.755783,0.930485
172.757034,0.924399
171.724945,0.917092
170.726196,0.911351
169.727371,0.904567
168.695328,0.897912
167.696548,0.891796
166.697769,0.885812
165.665665,0.879004
164.666916,0.872798
163.668106,0.866472
162.636078,0.860311
161.637283,0.853583
160.638535,0.847735
159.606430,0.840380
158.607651,0.834713
157.608841,0.828469
156.576813,0.821236
155.578003,0.815676
154.545944,0.808171
153.547165,0.802237
152.548386,0.796621
151.516296,0.789811
150.517532,0.783463
149.518738,0.777414
148.486664,0.771363
147.487885,0.765302
146.489105,0.759394
145.457016,0.752847
144.458267,0.746850
143.459503,0.740978
142.427399,0.734516
141.428650,0.728581
140.429840,0.722770
139.397781,0.716309
138.399002,0.710461
137.400223,0.704615
136.368118,0.698410
135.369385,0.692378
134.370560,0.686830
133.338501,0.680672
132.339691,0.674538
131.340958,0.668001
130.308853,0.655212
129.310074,0.650835
128.311264,0.646044
127.279228,0.640837
126.280426,0.635853
125.281647,0.630818
124.249550,0.625657
123.250801,0.620628
122.251991,0.615592
121.219940,0.610515
120.221115,0.605478
119.222366,0.600420
