2,Supercars Ford Falcon 2014,baseline
Steering Wheel Angle,Yaw Rate
190.934753,1.508587
189.902695,1.511064
188.903946,1.507712
187.905136,1.492786
186.873108,1.486264
185.874298,1.473464
184.875549,1.464306
183.843445,1.454576
182.844696,1.447436
181.845901,1.437291
180.813843,1.427492
179.815063,1.418347
178.816269,1.408985
177.784180,1.399667
176.785431,1.390711
175.786636,1.381728
174.754608,1.372210
173.755783,1.363090
172.757034,1.354096
171.724945,1.344619
170.726196,1.335422
169.727371,1.326236
168.695328,1.317026
167.696548,1.308069
166.697769,1.298829
165.665665,1.289359
164.666916,1.280519
163.668106,1.271187
162.636078,1.261688
161.637283,1.252753
160.638535,1.243848
159.606430,1.234316
158.607651,1.225529
157.608841,1.216988
156.576813,1.207872
155.578003,1.198938
154.545944,1.189772
153.547165,1.180243
152.548386,1.170853
151.516296,1.161829
150.517532,1.152663
149.518738,1.143650
148.486664,1.134811
147.487885,1.126194
146.489105,1.117568
145.457016,1.107925
144.458267,1.099007
143.459503,1.089088
142.427399,1.079338
141.428650,1.070883
140.429840,1.062272
139.397781,1.053345
138.399002,1.044736
137.400223,1.036015
136.368118,1.027185
135.369385,1.017710
134.370560,1.009657
133.338501,0.999936
132.339691,0.991006
131.340958,0.982165
130.308853,0.973041
129.310074,0.964287
128.311264,0.955540
127.279228,0.946533
126.280426,0.938201
125.281647,0.929644
124.249550,0.919961
123.250801,0.910743
122.251991,0.902536
121.219940,0.894128
120.221115,0.885576
119.222366,0.876742
118.190239,0.867917
117.191505,0.859830
116.192688,0.850531
115.160629,0.842114
114.161819,0.833883
113.163063,0.825070
112.130974,0.816283
111.132202,0.808352
110.133385,0.800373
109.101326,0.790884
108.102509,0.782440
107.103767,0.774103
106.071671,0.766246
105.072891,0.757275
104.074081,0.749534
103.042015,0.740673
102.043213,0.732425
101.011185,0.723835
100.012398,0.715857
99.013596,0.707501
97.981529,0.699237
96.982719,0.690112
95.983971,0.682947
94.951881,0.675579
93.953102,0.668520
92.954285,0.661224
91.922226,0.653784
90.923409,0.646690
89.924667,0.639502
88.892548,0.632030
87.893791,0.624941
86.894981,0.617729
85.862923,0.610255
84.864113,0.603096
83.865334,0.595962
82.833237,0.588442
81.834457,0.581251
80.835648,0.574112
79.803581,0.566684
78.804771,0.559519
77.806030,0.552252
76.773903,0.544931
75.775154,0.537726
74.776337,0.530665
73.744286,0.523204
72.745476,0.516067
71.746696,0.508842
70.714600,0.501486
69.715820,0.494276
68.717003,0.487090
67.684944,0.479735
66.686142,0.472464
65.687355,0.465284
64.655266,0.457861
63.656487,0.450758
62.657673,0.443577
61.625610,0.436238
60.626797,0.429034
59.628021,0.421854
58.595932,0.414572
57.597145,0.407371
56.598400,0.400134
55.566277,0.392791
54.567528,0.385659
53.568687,0.378475
52.536625,0.371129
51.537811,0.363964
50.505753,0.356569
49.506939,0.349401
48.508160,0.342283
47.476070,0.334917
46.477287,0.327847
45.478477,0.320644
44.446415,0.313258
43.447601,0.306157
42.448826,0.299026
41.416702,0.291670
40.417953,0.284588
39.419140,0.277464
38.387077,0.270142
37.388233,0.263057
36.389488,0.255902
35.357365,0.248600
34.358585,0.241453
33.359772,0.234279
32.327709,0.226990
31.328901,0.219875
30.330120,0.212802
29.297997,0.205412
28.299248,0.198273
27.300406,0.191210
26.268345,0.183945
25.269531,0.176945
24.270754,0.169963
23.238661,0.162678
22.239880,0.155657
21.241070,0.148615
20.209009,0.141318
19.210163,0.134272
18.211416,0.127232
17.179293,0.119959
