2,Supercars Ford Mustang GT,baseline
Steering Wheel Angle,Yaw Rate
190.934753,1.539418
189.902695,1.540487
188.903946,1.526884
187.905136,1.516754
186.873108,1.507792
185.874298,1.500646
184.875549,1.491947
183.843445,1.482782
182.844696,1.472244
181.845901,1.462848
180.813843,1.453489
179.815063,1.443955
178.816269,1.434821
177.784180,1.425409
176.785431,1.416151
175.786636,1.407167
174.754608,1.398687
173.755783,1.388959
172.757034,1.379358
171.724945,1.369612
170.726196,1.360626
169.727371,1.351654
168.695328,1.341879
167.696548,1.332731
166.697769,1.323595
165.665665,1.314192
164.666916,1.305117
163.668106,1.296020
162.636078,1.286579
161.637283,1.277428
160.638535,1.268381
159.606430,1.258948
158.607651,1.249828
157.608841,1.240611
156.576813,1.231226
155.578003,1.222412
154.545944,1.212987
153.547165,1.204003
152.548386,1.194979
151.516296,1.185366
150.517532,1.176315
149.518738,1.167482
148.486664,1.158241
147.487885,1.149185
146.489105,1.140245
145.457016,1.130913
144.458267,1.121530
143.459503,1.112620
142.427399,1.103192
141.428650,1.093634
140.429840,1.084439
139.397781,1.075159
138.399002,1.067249
137.400223,1.058409
136.368118,1.048503
135.369385,1.039578
134.370560,1.031335
133.338501,1.022438
132.339691,1.012947
131.340958,1.003987
130.308853,0.994177
129.310074,0.985342
128.311264,0.976860
127.279228,0.967752
126.280426,0.958793
125.281647,0.950043
124.249550,0.941060
123.250801,0.931918
122.251991,0.922891
121.219940,0.913346
120.221115,0.904623
119.222366,0.896084
118.190239,0.887364
117.191505,0.878911
116.192688,0.870348
115.160629,0.861752
114.161819,0.853070
113.163063,0.844637
112.130974,0.835620
111.132202,0.827024
110.133385,0.818361
109.101326,0.809676
108.102509,0.801104
107.103767,0.792577
106.071671,0.784103
105.072891,0.775461
104.074081,0.767082
103.042015,0.758671
102.043213,0.750026
101.011185,0.741275
100.012398,0.733224
99.013596,0.725077
97.981529,0.716365
96.982719,0.708070
95.983971,0.699747
94.951881,0.692336
93.953102,0.685215
92.954285,0.677858
91.922226,0.670238
90.923409,0.663000
89.924667,0.655674
88.892548,0.648138
