2,Supercars Ford Mustang Gen3,baseline
Steering Wheel Angle,Yaw Rate
281.822876,1.623863
280.824127,1.630978
279.825317,1.620767
278.793304,1.613405
277.794556,1.603680
276.795776,1.595170
275.763702,1.596547
274.764984,1.591223
273.766174,1.586663
272.734131,1.581735
271.735382,1.575384
270.736603,1.568440
269.704529,1.560440
268.705780,1.552613
267.707001,1.545382
266.674927,1.537892
265.676178,1.530685
264.677399,1.524684
263.645355,1.518003
262.646576,1.511229
261.647827,1.504512
260.615753,1.497653
259.617004,1.491200
258.584900,1.484212
257.586182,1.477422
256.587372,1.471184
255.555344,1.463920
254.556549,1.457706
253.557785,1.450870
252.525742,1.443831
251.526947,1.437468
250.528183,1.430819
249.496140,1.423714
248.497330,1.417588
247.498581,1.410549
246.466522,1.403888
245.467773,1.397408
244.468964,1.390447
243.436951,1.384036
242.438156,1.377316
241.439392,1.370474
240.407318,1.363962
239.408585,1.357390
238.409760,1.350584
237.377716,1.343890
236.378922,1.337227
235.380157,1.330609
234.348114,1.324044
233.349335,1.317148
232.350586,1.310784
231.318527,1.303932
230.319733,1.297157
229.320969,1.291028
228.288895,1.283871
227.290115,1.277584
226.291382,1.270959
225.259277,1.263991
224.260529,1.257773
223.261749,1.250907
222.229706,1.244451
221.230927,1.237959
220.232147,1.231146
219.200073,1.224424
218.201324,1.218010
217.202515,1.211267
216.170486,1.204686
215.171677,1.198383
214.172928,1.191541
213.140839,1.184884
212.142090,1.178583
211.143280,1.171706
210.111252,1.165253
209.112442,1.158856
208.113693,1.152124
207.081604,1.145714
206.082840,1.138979
205.050766,1.132123
204.052017,1.125928
203.053238,1.119282
202.021164,1.112752
201.022385,1.105989
200.023605,1.099942
198.991516,1.092893
197.992783,1.086663
196.994003,1.080119
195.961929,1.073415
194.963150,1.067234
193.964371,1.060552
192.932281,1.054147
191.933533,1.047476
190.934753,1.041330
189.902695,1.034784
188.903946,1.028323
187.905136,1.021555
186.873108,1.015008
185.874298,1.008500
184.875549,1.001904
183.843445,0.995100
182.844696,0.988589
181.845901,0.982266
180.813843,0.975548
179.815063,0.968971
178.816269,0.962534
177.784180,0.956083
176.785431,0.949644
175.786636,0.943537
174.754608,0.937051
173.755783,0.930441
172.757034,0.924253
171.724945,0.917161
170.726196,0.911406
169.727371,0.904666
168.695328,0.898046
167.696548,0.891847
166.697769,0.885826
165.665665,0.879347
164.666916,0.872503
163.668106,0.866595
162.636078,0.860164
161.637283,0.853747
160.638535,0.847515
159.606430,0.840495
158.607651,0.835386
157.608841,0.827695
156.576813,0.822298
155.578003,0.815381
154.545944,0.808451
153.547165,0.802622
152.548386,0.796480
151.516296,0.790040
150.517532,0.783795
149.518738,0.777504
148.486664,0.771527
147.487885,0.765433
146.489105,0.759094
145.457016,0.753061
144.458267,0.746957
143.459503,0.740854
142.427399,0.734955
141.428650,0.728943
140.429840,0.722644
139.397781,0.716551
138.399002,0.710455
137.400223,0.704532
136.368118,0.698370
135.369385,0.692738
134.370560,0.686451
133.338501,0.680376
132.339691,0.674392
131.340958,0.668197
130.308853,0.654937
129.310074,0.650771
128.311264,0.646001
127.279228,0.640893
126.280426,0.635903
125.281647,0.630782
124.249550,0.625631
123.250801,0.620689
122.251991,0.615692
121.219940,0.610478
120.221115,0.605440
119.222366,0.600494
118.190239,0.595302
117.191505,0.590335
116.192688,0.585399
115.160629,0.580124
114.161819,0.575071
113.163063,0.570058
112.130974,0.564902
111.132202,0.559932
110.133385,0.554958
109.101326,0.549829
108.102509,0.544753
107.103767,0.539707
