2,Supercars Holden ZB Commodore,baseline
Steering Wheel Angle,Yaw Rate
190.934753,1.539481
189.902695,1.540524
188.903946,1.526227
187.905136,1.516208
186.873108,1.507830
185.874298,1.500879
184.875549,1.492076
183.843445,1.482926
182.844696,1.472072
181.845901,1.463052
180.813843,1.453556
179.815063,1.443849
178.816269,1.434987
177.784180,1.425444
176.785431,1.416133
175.786636,1.407103
174.754608,1.397754
173.755783,1.388520
172.757034,1.379359
171.724945,1.369688
170.726196,1.360539
169.727371,1.351600
168.695328,1.342504
167.696548,1.333374
166.697769,1.323891
165.665665,1.314094
164.666916,1.305104
163.668106,1.296145
162.636078,1.286573
161.637283,1.277445
160.638535,1.268449
159.606430,1.258782
158.607651,1.249827
157.608841,1.240897
156.576813,1.231585
155.578003,1.222316
154.545944,1.212993
153.547165,1.203946
152.548386,1.194935
151.516296,1.185452
150.517532,1.176480
149.518738,1.167624
148.486664,1.158201
147.487885,1.149160
146.489105,1.140250
145.457016,1.130950
144.458267,1.121925
143.459503,1.112551
142.427399,1.102619
141.428650,1.094177
140.429840,1.084944
139.397781,1.075418
138.399002,1.066420
137.400223,1.057464
136.368118,1.048379
135.369385,1.039760
134.370560,1.031559
133.338501,1.022269
132.339691,1.012855
131.340958,1.004109
130.308853,0.994334
129.310074,0.985299
128.311264,0.976481
127.279228,0.967631
126.280426,0.958695
125.281647,0.950034
124.249550,0.941350
123.250801,0.932339
122.251991,0.924163
121.219940,0.914618
120.221115,0.905257
119.222366,0.896106
118.190239,0.887271
117.191505,0.879088
116.192688,0.870700
115.160629,0.861964
114.161819,0.853055
113.163063,0.844458
112.130974,0.835334
111.132202,0.826835
110.133385,0.818627
109.101326,0.810167
108.102509,0.801269
107.103767,0.792620
106.071671,0.784211
105.072891,0.775747
104.074081,0.766952
103.042015,0.758560
102.043213,0.751020
101.011185,0.741724
100.012398,0.733790
99.013596,0.725465
97.981529,0.716588
96.982719,0.707777
95.983971,0.700172
94.951881,0.692522
93.953102,0.685230
92.954285,0.677983
91.922226,0.670329
90.923409,0.662967
89.924667,0.655635
88.892548,0.648053
87.893791,0.640741
86.894981,0.633445
85.862923,0.625958
84.864113,0.618708
83.865334,0.611331
82.833237,0.603777
81.834457,0.596501
80.835648,0.589184
79.803581,0.581664
78.804771,0.574334
77.806030,0.567095
76.773903,0.559385
75.775154,0.552134
74.776337,0.544745
73.744286,0.537304
72.745476,0.529978
71.746696,0.522659
70.714600,0.515159
69.715820,0.507830
68.717003,0.500516
67.684944,0.492970
66.686142,0.485726
65.687355,0.478470
64.655266,0.470860
63.656487,0.463599
62.657673,0.456311
61.625610,0.448683
60.626797,0.441502
59.628021,0.434155
58.595932,0.426588
57.597145,0.419252
56.598400,0.411981
55.566277,0.404475
54.567528,0.397144
53.568687,0.389837
52.536625,0.382350
51.537811,0.375074
50.505753,0.367574
49.506939,0.360315
48.508160,0.352993
47.476070,0.345481
46.477287,0.338184
45.478477,0.330859
44.446415,0.323348
43.447601,0.316073
42.448826,0.308836
41.416702,0.301314
40.417953,0.294061
39.419140,0.286745
38.387077,0.279201
37.388233,0.271958
36.389488,0.264698
35.357365,0.257131
34.358585,0.249854
33.359772,0.242622
32.327709,0.235086
31.328901,0.227792
30.330120,0.220484
