2,Superstar Racing Experience,baseline
Steering Wheel Angle,Yaw Rate
214.172928,1.918383
213.140839,1.941336
212.142090,1.963495
211.143280,1.953415
210.111252,1.943386
209.112442,1.931478
208.113693,1.907163
207.081604,1.892489
206.082840,1.884057
205.050766,1.879934
204.052017,1.878622
203.053238,1.869899
202.021164,1.860810
201.022385,1.845324
200.023605,1.838103
198.991516,1.827971
197.992783,1.821070
196.994003,1.812336
195.961929,1.802434
194.963150,1.792177
193.964371,1.783433
192.932281,1.775600
191.933533,1.766054
190.934753,1.756112
189.902695,1.747699
188.903946,1.737053
187.905136,1.729344
186.873108,1.720121
185.874298,1.710834
184.875549,1.701554
183.843445,1.691698
182.844696,1.682822
181.845901,1.673854
180.813843,1.663128
179.815063,1.655964
178.816269,1.645655
177.784180,1.637222
176.785431,1.627304
175.786636,1.617623
174.754608,1.608667
173.755783,1.599860
172.757034,1.589027
171.724945,1.579879
170.726196,1.570714
169.727371,1.560848
168.695328,1.551896
167.696548,1.543499
166.697769,1.533512
165.665665,1.524454
164.666916,1.516239
163.668106,1.505338
162.636078,1.496470
161.637283,1.486906
160.638535,1.479720
159.606430,1.468635
158.607651,1.460084
157.608841,1.450969
156.576813,1.440369
155.578003,1.432617
154.545944,1.422622
153.547165,1.413686
152.548386,1.404144
151.516296,1.395175
150.517532,1.386001
149.518738,1.377070
148.486664,1.367164
147.487885,1.356969
146.489105,1.347139
145.457016,1.338871
144.458267,1.331014
143.459503,1.321795
142.427399,1.310492
141.428650,1.302747
140.429840,1.292773
139.397781,1.281941
138.399002,1.274336
137.400223,1.266588
136.368118,1.256285
135.369385,1.245467
134.370560,1.236449
133.338501,1.226970
132.339691,1.219086
131.340958,1.207840
130.308853,1.198719
129.310074,1.191755
128.311264,1.181960
127.279228,1.171702
126.280426,1.161088
125.281647,1.153548
124.249550,1.145218
123.250801,1.135777
122.251991,1.125158
121.219940,1.116219
120.221115,1.106020
119.222366,1.098279
118.190239,1.089005
117.191505,1.080261
116.192688,1.069350
115.160629,1.060431
114.161819,1.052588
113.163063,1.042330
112.130974,1.032114
111.132202,1.023527
110.133385,1.014128
109.101326,1.005207
108.102509,0.996220
107.103767,0.986216
106.071671,0.977227
105.072891,0.966691
104.074081,0.957960
103.042015,0.948566
102.043213,0.939404
101.011185,0.930214
100.012398,0.920198
99.013596,0.911359
97.981529,0.901698
96.982719,0.892377
95.983971,0.883081
94.951881,0.874416
93.953102,0.865657
92.954285,0.857266
91.922226,0.846465
90.923409,0.837999
89.924667,0.828231
88.892548,0.817262
87.893791,0.809354
86.894981,0.801620
85.862923,0.790110
84.864113,0.780915
83.865334,0.773292
82.833237,0.761836
81.834457,0.753064
80.835648,0.745170
79.803581,0.735956
78.804771,0.725510
77.806030,0.716518
76.773903,0.705576
75.775154,0.696917
74.776337,0.687839
73.744286,0.678084
72.745476,0.670900
71.746696,0.659808
70.714600,0.650555
69.715820,0.641437
68.717003,0.632094
67.684944,0.622475
66.686142,0.613715
65.687355,0.604041
64.655266,0.594155
63.656487,0.586268
62.657673,0.577179
61.625610,0.567549
60.626797,0.557370
59.628021,0.547892
58.595932,0.538542
57.597145,0.528988
56.598400,0.520481
55.566277,0.510770
54.567528,0.501615
53.568687,0.492991
52.536625,0.483843
51.537811,0.473509
50.505753,0.463204
49.506939,0.454470
48.508160,0.444806
47.476070,0.435974
46.477287,0.427656
45.478477,0.416941
44.446415,0.407110
43.447601,0.398022
42.448826,0.390132
41.416702,0.385633
40.417953,0.381779
39.419140,0.384059
38.387077,0.388467
37.388233,0.376998
36.389488,0.365435
35.357365,0.355784
34.358585,0.347526
33.359772,0.336951
32.327709,0.327474
31.328901,0.319172
30.330120,0.310092
29.297997,0.299074
28.299248,0.291223
27.300406,0.282340
26.268345,0.271658
25.269531,0.261975
24.270754,0.254248
23.238661,0.244428
22.239880,0.233443
21.241070,0.224898
20.209009,0.216257
19.210163,0.206945
18.211416,0.196835
17.179293,0.186722
16.180511,0.177869
15.181702,0.170413
14.149640,0.158887
13.150796,0.149844
12.152049,0.141421
11.119988,0.130735
10.121144,0.122720
9.122396,0.113063
8.090272,0.103074
7.091493,0.093294
6.092681,0.083707
5.060620,0.075190
4.061809,0.066591
3.062997,0.056524
2.030904,0.046649
1.032093,0.036732
0.000000,0.028383
-0.998747,0.019013
-1.997624,0.008700
-3.029652,0.001690
-4.028464,0.009264
-5.027276,0.018023
-6.059368,0.029222
-7.058115,0.037846
-8.056992,0.046011
-9.089020,0.056115
-10.087896,0.066108
-11.086643,0.075974
-12.118735,0.084928
-13.117547,0.093026
-14.116360,0.103358
-15.148452,0.113616
