2,Toyota Camry Class A,watkinsglen
Steering Wheel Angle,Yaw Rate
370.684296,2.855887
369.685516,2.863565
368.653442,2.921322
367.654724,2.926808
366.622681,2.922002
365.623901,2.894530
364.625153,2.889886
363.593109,2.889791
362.594330,2.883754
361.595612,2.883781
360.563568,2.879980
359.564758,2.872051
358.566010,2.864558
357.533997,2.849578
356.535248,2.842024
355.536469,2.836692
354.504425,2.827323
353.505646,2.820044
352.506927,2.810607
351.474854,2.803232
350.476105,2.794695
349.477325,2.786111
348.445282,2.777644
347.446533,2.769679
346.447784,2.761520
345.415710,2.753279
344.416962,2.745373
343.418213,2.736575
342.386139,2.727306
341.387360,2.719456
340.388641,2.712426
339.356598,2.703044
338.357849,2.695868
337.359039,2.687222
336.326996,2.678300
335.328247,2.671017
334.329498,2.661680
333.297424,2.653870
332.298645,2.645478
331.299927,2.638408
330.267853,2.629365
329.269073,2.621037
328.270355,2.613473
327.238281,2.603858
326.239502,2.596283
325.240784,2.587767
324.208710,2.579681
323.209961,2.570439
322.211212,2.563094
321.179138,2.555800
320.180359,2.546396
319.181641,2.538671
318.149536,2.529969
317.150787,2.522931
316.152069,2.513700
315.119995,2.505676
314.121185,2.496929
313.089172,2.489559
312.090393,2.481160
311.091644,2.472933
310.059570,2.463714
309.060852,2.457136
308.062042,2.448564
307.029999,2.439706
306.031219,2.432122
305.032471,2.423713
304.000427,2.415530
303.001678,2.407371
302.002899,2.398510
300.970825,2.391793
299.972076,2.382601
298.973328,2.374665
297.941254,2.366422
296.942474,2.358624
295.943726,2.350398
294.911652,2.341570
293.912903,2.333885
292.914154,2.325126
291.882080,2.317617
290.883301,2.308911
289.884552,2.301676
288.852478,2.292546
287.853729,2.284844
286.854980,2.276339
285.822876,2.267967
284.824127,2.259923
283.825317,2.252828
282.793304,2.244157
281.794556,2.235550
280.795776,2.227239
279.763702,2.219179
278.764984,2.212326
277.766174,2.203888
276.734131,2.195391
275.735382,2.186798
274.736603,2.179011
273.704529,2.171026
272.705780,2.162364
271.707001,2.154806
270.674927,2.146261
269.676178,2.138059
268.677399,2.130694
267.645355,2.121592
266.646576,2.113990
265.647827,2.105826
264.615753,2.097836
263.617004,2.090003
262.584900,2.081738
261.586182,2.073697
260.587372,2.065626
259.555359,2.056579
258.556549,2.049435
257.557800,2.041272
256.525757,2.032998
255.526947,2.024916
254.528183,2.016616
253.496140,2.007995
252.497330,2.000410
251.498581,1.992815
250.466522,1.983959
249.467773,1.976499
248.468964,1.968353
247.436951,1.959759
246.438156,1.952297
245.439392,1.943662
244.407318,1.935309
243.408585,1.927970
242.409760,1.919525
241.377716,1.911262
240.378922,1.903266
239.380157,1.895346
