2,Toyota Camry Class B,watkinsglen
Steering Wheel Angle,Yaw Rate
367.021210,2.822304
366.161163,2.829293
365.328857,2.891239
364.496582,2.891879
363.636566,2.888881
362.804291,2.853920
361.971954,2.840149
361.111938,2.832844
360.279633,2.833595
359.447357,2.833042
358.587311,2.831570
357.755035,2.824887
356.922760,2.817917
356.062714,2.810454
355.230408,2.797455
354.398132,2.791831
353.538086,2.787831
352.705811,2.780757
351.873505,2.774389
351.013458,2.766359
350.181152,2.760196
349.348877,2.752853
348.488861,2.747044
347.656586,2.739608
346.824280,2.733467
345.964233,2.725715
345.131927,2.720556
344.271912,2.712234
343.439606,2.706217
342.607300,2.699723
341.747284,2.692793
340.915009,2.685950
340.082703,2.679112
339.222687,2.672881
338.390381,2.666030
337.558075,2.659182
336.698059,2.651834
335.865753,2.645503
335.033447,2.638523
334.173431,2.632004
333.341125,2.625021
332.508850,2.619252
331.648834,2.612112
330.816498,2.604805
329.984222,2.599220
329.124176,2.591781
328.291870,2.585280
327.459595,2.577987
326.599579,2.572181
325.767242,2.564479
324.934998,2.558335
324.074890,2.551241
323.242615,2.544530
322.410339,2.537432
321.550323,2.530875
320.718018,2.524041
319.885742,2.518717
319.025665,2.511224
318.193359,2.504635
317.361053,2.497853
316.501038,2.490360
315.668762,2.485076
314.836456,2.477875
313.976410,2.470907
313.144104,2.464615
312.311798,2.457768
311.451782,2.450140
310.619476,2.443705
309.787201,2.438288
308.927124,2.430281
308.094849,2.423938
307.262543,2.417023
306.402527,2.410650
305.570251,2.403678
304.737915,2.396610
303.877869,2.390920
303.045593,2.383965
302.185547,2.377090
301.353241,2.370346
300.520966,2.363494
299.660919,2.356502
298.828613,2.350347
297.996338,2.342943
297.136292,2.335893
296.303955,2.330199
295.471680,2.323246
294.611664,2.316997
293.779358,2.310338
292.947052,2.303419
292.087006,2.296421
291.254700,2.290099
290.422424,2.282915
289.562378,2.276041
288.730072,2.269518
287.897766,2.263298
287.037720,2.256727
286.205444,2.250005
285.373138,2.242491
284.513092,2.236194
283.680786,2.229521
282.848511,2.223776
281.988434,2.215857
281.156128,2.210060
280.323853,2.203449
279.463837,2.196554
278.631531,2.189975
277.799194,2.183047
276.939148,2.176224
276.106873,2.169215
275.274567,2.162947
274.414520,2.155575
273.582184,2.149705
272.749939,2.142723
271.889862,2.136624
271.057556,2.129729
270.225281,2.122929
269.365234,2.116239
268.532898,2.109471
267.700653,2.103304
266.840576,2.095798
266.008301,2.090241
265.175995,2.083756
264.315948,2.075638
263.483612,2.068922
262.651367,2.064077
261.791260,2.055805
260.958984,2.049933
260.126709,2.043321
259.266663,2.036069
258.434326,2.029352
257.574310,2.023014
256.741974,2.016006
255.909698,2.009108
255.049637,2.003334
254.217377,1.996313
253.385025,1.989963
252.524994,1.983196
251.692673,1.976138
250.860382,1.970533
250.000351,1.962736
249.168060,1.956375
248.335739,1.950207
247.475677,1.943076
246.643387,1.936594
245.811096,1.929709
244.951035,1.923067
244.118729,1.917279
243.286438,1.909750
242.426376,1.903970
241.594086,1.895923
240.761795,1.890369
239.901733,1.882952
239.069412,1.876582
238.237122,1.870036
237.377060,1.862372
236.544769,1.857224
235.712479,1.850108
234.852386,1.843320
234.020096,1.836558
233.187759,1.830203
232.327744,1.823369
231.495453,1.816773
230.663147,1.811226
229.803085,1.803444
228.970810,1.797381
228.138474,1.790962
227.278442,1.783426
226.446152,1.776740
225.613831,1.770971
224.753769,1.763980
223.921478,1.757448
223.089157,1.750694
222.229095,1.743750
221.396805,1.737712
220.564499,1.730841
219.704453,1.722942
218.872147,1.718552
218.039856,1.711447
217.179794,1.704632
216.347504,1.697892
215.487411,1.691195
214.655151,1.683982
213.822800,1.677486
212.962784,1.671291
212.130447,1.664284
211.298157,1.658218
210.438110,1.651304
209.605789,1.644560
208.773483,1.637883
207.913452,1.630918
207.081100,1.624456
206.248810,1.618168
205.388763,1.611283
204.556473,1.604793
203.724136,1.598662
202.864120,1.591827
202.031799,1.585063
201.199493,1.578160
200.339432,1.571729
199.507156,1.565128
198.674789,1.558231
197.814758,1.552329
196.982437,1.545259
196.150131,1.538387
195.290085,1.531774
194.457779,1.525777
193.625488,1.517398
192.765442,1.512309
191.933105,1.506369
191.100800,1.498779
190.240738,1.492423
189.408432,1.484403
188.576141,1.480093
187.716064,1.472116
186.883774,1.465731
186.051453,1.459049
185.191422,1.452646
184.359100,1.445739
183.526779,1.439330
182.666718,1.432616
181.834427,1.426291
181.002090,1.419238
180.142075,1.412493
179.309723,1.406155
178.477432,1.399003
177.617355,1.393682
176.785065,1.386515
175.952728,1.379784
175.092712,1.373193
174.260361,1.366632
173.428070,1.359927
172.567993,1.352878
171.735703,1.345676
170.875641,1.341155
170.043350,1.332948
169.211029,1.326783
168.350967,1.320247
167.518646,1.312633
166.686340,1.308052
165.826263,1.300102
164.993988,1.293925
164.161667,1.286070
163.301605,1.281012
162.469284,1.274032
161.636978,1.267727
160.776901,1.260689
159.944611,1.253773
159.112289,1.247495
158.252243,1.240656
157.419952,1.233973
156.587616,1.227361
155.727585,1.220742
154.895248,1.214241
154.062958,1.207552
153.202866,1.201030
152.370575,1.193712
151.538254,1.187929
150.678192,1.181147
149.845886,1.174696
149.013550,1.167853
148.153473,1.161523
147.321182,1.153827
146.488861,1.149475
145.628830,1.141140
144.796478,1.134674
143.964188,1.128649
143.104111,1.120278
142.271820,1.115035
141.439468,1.109310
140.579437,1.101900
139.747116,1.095240
138.914810,1.088681
138.054718,1.081121
137.222427,1.076240
136.390091,1.067955
135.530060,1.062911
134.697739,1.056128
133.865448,1.048954
133.005356,1.042347
132.173035,1.035138
131.340698,1.030194
130.480667,1.021862
129.648331,1.016747
128.788284,1.009797
127.955971,1.002681
127.123650,0.996235
126.263580,0.989414
125.431274,0.983022
124.598946,0.976407
123.738884,0.969665
122.906570,0.963250
122.074249,0.956895
121.214180,0.948851
120.381889,0.943678
119.549583,0.936873
118.689499,0.929172
117.857208,0.923751
117.024864,0.917657
116.164818,0.910922
115.332497,0.902900
114.500183,0.897480
113.640099,0.891076
112.807816,0.883402
111.975464,0.878316
111.115417,0.870693
110.283073,0.864540
109.450798,0.857678
108.590706,0.850479
107.758392,0.845156
106.926048,0.838359
106.066025,0.830205
105.233688,0.824876
104.401367,0.818963
103.541290,0.811913
102.709000,0.804741
101.876656,0.798353
101.016617,0.791338
100.184258,0.785213
99.351967,0.777897
98.491867,0.771955
97.659584,0.764630
96.827240,0.758219
95.967186,0.751960
95.134850,0.746527
94.302551,0.739177
93.442474,0.731778
92.610168,0.725836
91.777817,0.719193
90.917770,0.712997
90.085419,0.705938
89.253136,0.699513
88.393059,0.692139
87.560738,0.685859
86.728401,0.679650
85.868347,0.673710
85.036011,0.666025
84.175987,0.659292
83.343666,0.654270
82.511330,0.646837
81.651276,0.639072
80.818932,0.632892
79.986641,0.627259
79.126564,0.620871
78.294250,0.612770
77.461899,0.606797
76.601852,0.601295
75.769508,0.593818
74.937218,0.586858
74.077118,0.580837
73.244827,0.573577
72.412483,0.567534
71.552437,0.561474
70.720093,0.553652
69.887779,0.548776
69.027695,0.541150
68.195381,0.534102
67.363037,0.528879
66.502983,0.520430
65.670639,0.515016
64.838356,0.508895
63.978252,0.501805
63.145962,0.495203
62.313614,0.488363
61.453571,0.481612
60.621227,0.475535
59.788914,0.468112
58.928833,0.462448
58.096516,0.456036
57.264168,0.449561
56.404118,0.441537
55.571785,0.435270
54.739460,0.428766
53.879387,0.422294
53.047070,0.415706
52.214725,0.410223
51.354675,0.402925
50.522331,0.395968
49.690018,0.389804
48.829941,0.381982
47.997620,0.377014
47.165333,0.370230
46.305229,0.362263
45.472939,0.355945
44.640572,0.351001
43.780521,0.343011
42.948174,0.335996
42.088127,0.330897
41.255783,0.323398
40.423466,0.315827
39.563393,0.310015
38.731071,0.304133
37.898731,0.297680
37.038677,0.290698
36.206333,0.284107
35.374020,0.276533
34.513916,0.271266
33.681625,0.264253
32.849281,0.257901
31.989231,0.250038
31.156860,0.244617
30.324574,0.243296
29.464470,0.239356
28.632154,0.241329
27.799809,0.244702
26.939756,0.236245
26.107418,0.229364
25.275099,0.222120
24.414997,0.215773
23.582706,0.209711
22.750338,0.203485
21.890287,0.196177
21.057941,0.189340
20.225628,0.182631
19.365551,0.175860
18.533232,0.170444
17.700891,0.162536
16.840841,0.156343
16.008469,0.150538
15.176180,0.142857
14.316077,0.136778
13.483759,0.130408
12.651418,0.123073
11.791367,0.117493
10.958997,0.109813
10.126707,0.103197
9.266657,0.097611
8.434287,0.090751
7.601997,0.083435
6.741893,0.077095
5.909577,0.070664
5.077234,0.063600
4.217184,0.057554
3.384840,0.051273
2.552498,0.043756
1.692420,0.036982
0.860077,0.031531
0.000000,0.023537
-0.832289,0.017209
-1.664686,0.011345
-2.524710,0.004085
-3.357053,0.001756
-4.189396,0.008733
-5.049473,0.015575
-5.881763,0.022081
-6.714159,0.029290
-7.574183,0.035815
-8.406580,0.042190
-9.238869,0.048675
-10.098946,0.054966
-10.931289,0.061366
-11.763633,0.068457
-12.623710,0.075691
-13.456052,0.082003
-14.288342,0.088167
-15.148474,0.094854
-15.980763,0.101191
-16.813107,0.107589
-17.673182,0.114695
-18.505527,0.121516
-19.337870,0.129075
-20.197947,0.134756
-21.030237,0.140971
-21.862633,0.148786
-22.722656,0.154731
-23.555052,0.160827
-24.387342,0.167990
-25.247473,0.175623
-26.079763,0.181503
-26.912052,0.187677
-27.772181,0.194493
-28.604471,0.200729
-29.436871,0.207733
-30.296894,0.214421
-31.129236,0.221589
-31.961580,0.228296
-32.821655,0.234790
-33.653999,0.240471
-34.486343,0.247766
-35.346416,0.254407
-36.178764,0.261278
-37.011055,0.267810
-37.871181,0.274719
-38.703472,0.280735
-39.535870,0.286902
-40.395893,0.294428
-41.228291,0.301427
-42.060577,0.307479
-42.920708,0.314906
-43.752998,0.320460
-44.613132,0.328608
-45.445419,0.334526
-46.277763,0.340231
-47.137840,0.347767
-47.970184,0.354461
-48.802528,0.360269
-49.662605,0.368363
-50.494946,0.374325
-51.327290,0.380543
-52.187366,0.387923
-53.019711,0.394470
-53.852055,0.400514
-54.712128,0.407631
-55.544472,0.414210
-56.376820,0.420349
-57.236893,0.427525
-58.069241,0.434586
-58.901524,0.441625
-59.761658,0.448035
-60.593948,0.454604
-61.426346,0.460194
-62.286369,0.467732
-63.118763,0.475163
-63.951054,0.480325
-64.811134,0.487631
-65.643471,0.495042
-66.475815,0.501477
-67.335892,0.507668
-68.168236,0.514300
-69.000580,0.521285
-69.860657,0.527845
-70.693001,0.535313
-71.525345,0.540599
-72.385475,0.547734
-73.217758,0.553690
-74.050110,0.561558
-74.910187,0.569027
-75.742577,0.575185
-76.574867,0.580386
-77.434998,0.588267
-78.267296,0.595205
-79.099686,0.601398
-79.959709,0.608634
-80.792107,0.614503
-81.624397,0.621835
-82.484528,0.627661
-83.316811,0.634967
-84.149216,0.642197
-85.009239,0.647674
-85.841637,0.655528
-86.673920,0.662456
-87.534050,0.667766
-88.366348,0.675901
-89.226479,0.682820
-90.058823,0.688989
-90.891159,0.694744
-91.751236,0.702342
-92.583588,0.709683
-93.415924,0.715009
-94.276054,0.722055
-95.108345,0.729779
-95.940750,0.735545
-96.800774,0.742587
-97.633163,0.749592
-98.465462,0.755565
-99.325584,0.763480
-100.157875,0.768864
-100.990211,0.776811
-101.850349,0.782665
-102.682632,0.790182
-103.515022,0.795341
-104.375046,0.803733
-105.207451,0.810024
-106.039742,0.816127
-106.899872,0.823903
-107.732208,0.830042
-108.564568,0.837023
-109.424629,0.842956
-110.256981,0.851356
-111.089325,0.857343
-111.949463,0.863240
-112.781738,0.870580
-113.614143,0.877391
-114.474167,0.884481
-115.306557,0.890438
-116.138901,0.897463
-116.998978,0.904903
-117.831314,0.911231
-118.663673,0.917195
-119.523743,0.924736
-120.356140,0.931536
-121.188431,0.938033
-122.048569,0.945110
-122.880898,0.951697
-123.713249,0.959242
-124.573326,0.964785
-125.405731,0.971997
-126.238007,0.978857
-127.098145,0.985787
-127.930435,0.992382
-128.762833,0.999043
-129.622894,1.007052
-130.455246,1.011861
-131.315323,1.019095
-132.147720,1.026528
-132.979996,1.033110
-133.840134,1.040596
-134.672424,1.046679
-135.504837,1.053095
-136.364914,1.060276
-137.197296,1.067277
-138.029587,1.074496
-138.889664,1.080545
-139.722015,1.088036
-140.554352,1.093728
-141.414474,1.101566
-142.246780,1.108081
-143.079163,1.114682
-143.939240,1.121918
-144.771591,1.128193
-145.603943,1.135903
-146.464066,1.141594
-147.296356,1.148777
-148.128754,1.155613
-148.988831,1.163038
-149.821228,1.168854
-150.653519,1.176711
-151.513641,1.182386
-152.345932,1.189846
-153.178329,1.196145
-154.038406,1.203861
-154.870804,1.209632
-155.703094,1.217914
-156.563217,1.223242
-157.395569,1.229956
-158.227921,1.237657
-159.087997,1.244223
-159.920380,1.251423
-160.752670,1.257592
-161.612793,1.264922
-162.445160,1.271681
-163.277542,1.279320
-164.137573,1.284801
-164.969955,1.292165
-165.802307,1.299628
-166.662445,1.305812
-167.494736,1.312974
-168.327118,1.319223
-169.187195,1.327345
-170.019547,1.332336
-170.851883,1.340605
-171.712021,1.346810
-172.544312,1.354240
-173.404495,1.361129
-174.236771,1.368231
-175.069061,1.374286
-175.929260,1.381428
-176.761551,1.389358
-177.593933,1.394186
-178.454025,1.402366
-179.286362,1.408548
-180.118713,1.415212
-180.978836,1.423805
-181.811127,1.429779
-182.643524,1.435095
-183.503601,1.443452
-184.335999,1.450315
-185.168289,1.457359
-186.028473,1.463833
-186.860764,1.470621
-187.693161,1.477855
-188.553238,1.484572
-189.385635,1.491272
-190.217911,1.497674
-191.078049,1.505268
-191.910416,1.511740
-192.742798,1.519081
-193.602814,1.526143
-194.435211,1.532652
-195.267563,1.539744
-196.127686,1.546622
-196.959991,1.554279
-197.792374,1.559170
-198.652466,1.566859
-199.484863,1.574041
-200.317139,1.581129
-201.177338,1.588004
-202.009613,1.594948
-202.842010,1.601859
-203.702087,1.609244
-204.534485,1.614587
-205.366760,1.622531
-206.226913,1.629111
-207.059250,1.636341
-207.891632,1.642682
-208.751709,1.651187
-209.584122,1.655768
-210.416428,1.663619
-211.276550,1.671050
-212.108887,1.678086
-212.941162,1.684258
-213.801285,1.691428
-214.633652,1.698574
-215.466049,1.706062
-216.326111,1.711860
-217.158524,1.719672
-218.018539,1.725753
-218.850937,1.733443
-219.683273,1.739642
-220.543411,1.747987
-221.375748,1.752608
-222.208145,1.761173
-223.068176,1.767686
-223.900574,1.775332
-224.732910,1.781059
-225.593048,1.789202
-226.425369,1.794922
-227.257782,1.803151
-228.117844,1.809178
-228.950241,1.816481
-229.782562,1.823721
-230.642670,1.829776
-231.475037,1.837794
-232.307434,1.843701
-233.167496,1.851623
-233.999878,1.857826
-234.832169,1.865083
-235.692368,1.871588
-236.524658,1.878956
-237.357040,1.885594
-238.217133,1.893341
-239.049530,1.899966
-239.881866,1.906653
-240.742004,1.914029
-241.574265,1.920784
-242.406662,1.927290
-243.266754,1.935062
-244.099136,1.941723
-244.931503,1.949101
-245.791626,1.954981
-246.623962,1.962452
-247.456375,1.970140
-248.316437,1.976719
-249.148727,1.984146
-249.981125,1.990204
-250.841217,1.998496
-251.673599,2.004282
-252.505951,2.012705
-253.366089,2.017761
-254.198425,2.025522
-255.030823,2.032686
-255.890854,2.040403
-256.723297,2.046314
-257.555573,2.053937
-258.415710,2.060744
-259.248047,2.067669
-260.108215,2.074594
-260.940521,2.082747
-261.772919,2.088837
-262.632996,2.095739
-263.465393,2.104221
-264.297760,2.108755
-265.157867,2.118078
-265.990204,2.124029
-266.822601,2.131727
-267.682648,2.138300
-268.515076,2.145231
-269.347382,2.152356
-270.207550,2.160248
-271.039856,2.165870
-271.872253,2.173248
-272.732330,2.179957
-273.564728,2.188240
-274.397064,2.194057
-275.257202,2.201918
-276.089539,2.208338
-276.921936,2.215796
