2,Toyota GR86,baseline
Steering Wheel Angle,Yaw Rate
401.008118,3.115502
400.009369,3.119942
399.010620,3.149662
397.978607,3.150199
396.979797,3.148861
395.981079,3.138512
394.949005,3.128316
393.950256,3.118452
392.951538,3.110722
391.919495,3.102868
390.920715,3.095098
389.921997,3.089472
388.889893,3.082009
387.891144,3.074998
386.892426,3.067039
385.860382,3.058547
384.861633,3.050976
383.862885,3.044816
382.830811,3.001748
381.832031,2.968946
380.833282,2.976783
379.801239,2.958496
378.802521,2.957410
377.803772,2.954059
376.771698,2.936773
375.772919,2.930548
374.774170,2.927544
373.742157,2.931223
372.743378,2.907123
371.744659,2.909437
370.712555,2.892211
369.713837,2.917708
368.715057,2.926754
367.683044,2.917736
366.684296,2.909434
365.685516,2.901076
364.653442,2.893759
363.654724,2.887798
362.622681,2.879922
361.623901,2.871724
360.625153,2.863887
359.593109,2.856076
358.594330,2.804348
357.595612,2.807098
356.563568,2.797604
355.564758,2.780131
354.566010,2.770983
353.533997,2.775929
352.535248,2.782357
351.536469,2.778314
350.504425,2.749802
349.505646,2.753951
348.506927,2.737790
347.474854,2.729361
346.476105,2.725497
345.477325,2.728739
344.445282,2.710690
343.446533,2.701654
342.447784,2.689517
341.415710,2.687097
340.416962,2.677223
339.418213,2.667375
338.386139,2.662797
337.387360,2.660084
336.388641,2.656424
335.356598,2.655212
334.357849,2.635217
333.359039,2.629083
332.326996,2.637310
331.328247,2.614226
330.329498,2.614802
329.297424,2.606080
328.298645,2.596586
327.299927,2.585466
326.267853,2.570612
325.269073,2.582994
324.270355,2.563731
323.238281,2.567933
322.239502,2.557475
321.240784,2.541491
320.208710,2.547591
319.209961,2.523329
318.211212,2.532157
317.179138,2.507906
316.180359,2.506956
315.181641,2.495645
314.149536,2.481408
313.150787,2.488999
312.152069,2.466937
311.119995,2.473929
310.121185,2.461246
309.089172,2.450642
308.090393,2.455096
307.091644,2.453182
306.059570,2.433239
305.060852,2.420741
304.062042,2.417764
303.029999,2.414549
302.031219,2.407772
301.032471,2.390924
300.000427,2.383833
299.001678,2.378265
298.002899,2.379147
296.970825,2.368730
295.972076,2.354172
294.973328,2.342570
293.941254,2.343539
292.942474,2.335943
291.943726,2.326319
290.911652,2.310846
289.912903,2.303904
288.914154,2.303440
287.882080,2.300319
286.883301,2.288420
285.884552,2.274256
284.852478,2.266445
283.853729,2.265642
282.854980,2.258177
281.822876,2.242270
280.824127,2.232624
279.825317,2.231500
278.793304,2.215344
277.794556,2.210465
276.795776,2.212949
275.763702,2.212867
274.764984,2.193528
273.766174,2.178506
272.734131,2.179931
271.735382,2.158893
270.736603,2.153562
269.704529,2.168164
268.705780,2.188252
267.707001,2.129802
266.674927,2.129385
265.676178,2.138487
264.677399,2.110351
263.645355,2.118824
262.646576,2.133549
261.647827,2.151445
260.615753,2.122779
259.617004,2.120695
258.584900,2.116258
257.586182,2.118836
256.587372,2.083109
255.555344,2.073883
254.556549,2.027609
253.557785,2.026026
252.525742,2.065236
251.526947,2.081898
250.528183,2.059648
249.496140,2.047104
248.497330,2.046931
247.498581,2.049000
246.466522,2.039380
245.467773,2.029391
244.468964,2.030118
243.436951,2.023495
242.438156,2.018956
241.439392,2.009463
240.407318,2.004643
239.408585,2.000283
238.409760,1.983686
237.377716,1.987752
236.378922,1.972530
235.380157,1.967837
234.348114,1.968401
233.349335,1.960830
232.350586,1.954218
231.318527,1.949483
230.319733,1.939504
229.320969,1.933090
228.288895,1.922317
227.290115,1.912611
226.291382,1.905797
225.259277,1.899097
224.260529,1.888516
223.261749,1.877852
222.229706,1.870259
221.230927,1.864092
220.232147,1.852497
219.200073,1.844773
218.201324,1.837510
217.202515,1.827385
216.170486,1.818003
215.171677,1.812230
214.172928,1.801191
213.140839,1.791211
212.142090,1.784779
211.143280,1.777901
210.111252,1.766530
209.112442,1.756851
208.113693,1.750103
207.081604,1.743051
206.082840,1.732861
205.050766,1.722039
204.052017,1.715729
203.053238,1.709022
202.021164,1.697073
201.022385,1.688206
200.023605,1.681254
198.991516,1.674229
197.992783,1.662786
196.994003,1.653570
195.961929,1.646628
194.963150,1.639563
193.964371,1.628983
192.932281,1.618813
191.933533,1.610775
190.934753,1.604581
189.902695,1.595995
188.903946,1.584910
187.905136,1.576313
186.873108,1.569105
185.874298,1.562169
184.875549,1.551897
183.843445,1.541477
182.844696,1.533676
181.845901,1.526455
180.813843,1.518646
179.815063,1.508012
178.816269,1.498908
177.784180,1.490581
176.785431,1.484433
175.786636,1.475137
174.754608,1.464758
173.755783,1.457254
172.757034,1.450028
171.724945,1.438612
170.726196,1.431394
169.727371,1.424695
168.695328,1.412783
167.696548,1.405713
166.697769,1.398232
165.665665,1.388469
164.666916,1.378927
163.668106,1.373358
162.636078,1.362224
161.637283,1.353322
160.638535,1.347585
159.606430,1.336305
158.607651,1.327956
157.608841,1.320967
156.576813,1.311880
155.578003,1.302047
154.545944,1.295559
153.547165,1.286219
152.548386,1.276453
151.516296,1.267533
150.517532,1.259750
149.518738,1.253004
148.486664,1.244071
147.487885,1.233855
146.489105,1.225190
145.457016,1.217456
144.458267,1.210125
143.459503,1.199244
142.427399,1.192062
141.428650,1.184346
140.429840,1.173327
139.397781,1.166809
138.399002,1.158447
137.400223,1.148558
136.368118,1.139935
135.369385,1.133603
134.370560,1.123748
133.338501,1.113445
132.339691,1.106197
131.340958,1.099437
130.308853,1.090113
129.310074,1.080195
128.311264,1.071252
127.279228,1.063700
126.280426,1.056738
125.281647,1.047712
124.249550,1.037137
123.250801,1.028789
122.251991,1.021606
121.219940,1.014186
120.221115,1.004260
119.222366,0.994739
118.190239,0.986364
117.191505,0.979416
116.192688,0.971726
115.160629,0.961482
114.161819,0.952167
113.163063,0.944431
112.130974,0.937627
111.132202,0.928341
110.133385,0.918654
109.101326,0.909437
108.102509,0.903596
107.103767,0.894689
106.071671,0.884280
105.072891,0.875849
104.074081,0.868759
103.042015,0.861142
102.043213,0.851284
101.011185,0.841561
100.012398,0.833334
99.013596,0.826341
97.981529,0.818324
96.982719,0.809027
95.983971,0.799302
94.951881,0.790550
93.953102,0.783217
92.954285,0.775725
91.922226,0.766687
90.923409,0.756303
89.924667,0.750082
88.892548,0.741598
87.893791,0.730979
86.894981,0.724533
85.862923,0.715816
84.864113,0.706219
83.865334,0.698273
82.833237,0.691107
81.834457,0.680743
80.835648,0.672330
