2,Toyota Supra Class B,watkinsglen
Steering Wheel Angle,Yaw Rate
372.021210,2.877312
371.161163,2.918903
370.328857,2.950220
369.496582,2.950584
368.636566,2.924056
367.804291,2.911516
366.971954,2.911367
366.111938,2.920277
365.279633,2.926921
364.447357,2.933118
363.587311,2.931854
362.755035,2.925089
361.922760,2.917459
361.062714,2.904170
360.230408,2.896131
359.398132,2.893541
358.538086,2.884809
357.705811,2.879362
356.873505,2.869693
356.013458,2.864993
355.181152,2.857038
354.348877,2.851364
353.488861,2.840934
352.656586,2.836694
351.824280,2.830248
350.964233,2.822846
350.131927,2.815198
349.271912,2.808977
348.439606,2.801787
347.607300,2.794624
346.747284,2.787958
345.915009,2.780838
345.082703,2.773238
344.222687,2.766940
343.390381,2.760270
342.558075,2.752240
341.698059,2.745487
340.865753,2.739315
340.033447,2.731517
339.173431,2.724592
338.341125,2.717096
337.508850,2.711419
336.648834,2.704249
335.816498,2.697302
334.984222,2.690430
334.124176,2.683423
333.291870,2.676452
332.459595,2.669165
331.599579,2.662226
330.767242,2.654912
329.934998,2.647532
329.074890,2.641342
328.242615,2.633711
327.410339,2.628520
326.550323,2.620700
325.718018,2.613974
324.885742,2.607101
324.025665,2.599957
323.193359,2.592774
322.361053,2.585788
321.501038,2.578500
320.668762,2.571685
319.836456,2.565238
318.976410,2.558214
318.144104,2.550968
317.311798,2.544450
316.451782,2.536857
315.619476,2.530100
314.787201,2.522440
313.927124,2.515701
313.094849,2.509961
312.262543,2.501796
311.402527,2.494062
310.570251,2.489301
309.737915,2.480444
308.877869,2.475078
308.045593,2.466143
307.185547,2.461024
306.353241,2.451790
305.520966,2.448236
304.660919,2.439830
303.828613,2.433959
302.996338,2.426439
302.136292,2.419580
301.303955,2.411546
300.471680,2.405782
299.611664,2.397040
298.779358,2.392594
297.947052,2.384743
297.087006,2.378301
296.254700,2.371051
295.422424,2.364724
294.562378,2.357136
293.730072,2.350869
292.897766,2.343161
292.037720,2.336686
291.205444,2.329902
290.373138,2.323308
289.513092,2.315820
288.680786,2.309215
287.848511,2.302354
286.988434,2.295253
286.156128,2.288391
285.323853,2.281956
284.463837,2.275065
283.631531,2.267705
282.799194,2.261251
281.939148,2.253915
281.106873,2.246266
280.274567,2.239828
279.414520,2.233286
278.582184,2.226557
277.749939,2.217683
276.889862,2.212827
276.057556,2.207016
275.225281,2.199514
274.365234,2.192288
273.532898,2.186023
272.700653,2.178558
271.840576,2.172185
271.008301,2.165119
270.175995,2.158662
269.315948,2.151377
268.483612,2.143522
