2,Toyota Tundra TRD Pro,watkinsglen
Steering Wheel Angle,Yaw Rate
366.684296,2.830407
365.685516,2.838746
364.653442,2.891629
363.654724,2.893300
362.622681,2.880224
361.623901,2.847880
360.625153,2.832264
359.593109,2.822965
358.594330,2.824698
357.595612,2.823643
356.563568,2.816068
355.564758,2.808442
354.566010,2.800646
353.533997,2.784446
352.535248,2.779657
351.536469,2.771410
350.504425,2.764952
349.505646,2.755935
348.506927,2.747017
347.474854,2.738755
346.476105,2.730303
345.477325,2.722747
344.445282,2.715300
343.446533,2.705633
342.447784,2.698499
341.415710,2.690138
340.416962,2.681313
339.418213,2.673507
338.386139,2.664526
337.387360,2.655633
336.388641,2.649078
335.356598,2.638792
334.357849,2.632321
333.359039,2.623925
332.326996,2.614227
331.328247,2.607670
330.329498,2.599528
329.297424,2.590329
328.298645,2.583039
327.299927,2.574726
326.267853,2.565550
325.269073,2.558499
324.270355,2.550160
323.238281,2.541515
322.239502,2.534166
321.240784,2.525534
320.208710,2.516746
319.209961,2.509176
318.211212,2.501213
317.179138,2.493051
316.180359,2.483589
315.181641,2.475899
314.149536,2.466686
313.150787,2.460656
312.152069,2.451541
311.119995,2.443460
310.121185,2.434996
309.089172,2.426405
308.090393,2.419288
307.091644,2.409897
306.059570,2.402199
305.060852,2.393170
304.062042,2.387078
303.029999,2.378203
302.031219,2.369725
301.032471,2.361727
300.000427,2.353520
299.001678,2.345551
298.002899,2.336909
296.970825,2.327949
295.972076,2.320340
294.973328,2.313089
293.941254,2.304832
292.942474,2.296033
291.943726,2.288895
290.911652,2.279418
289.912903,2.272393
288.914154,2.262115
287.882080,2.256480
286.883301,2.247932
285.884552,2.239415
284.852478,2.231645
283.853729,2.223552
282.854980,2.215765
281.822876,2.207083
280.824127,2.198848
279.825317,2.191441
278.793304,2.182705
277.794556,2.175433
276.795776,2.166216
275.763702,2.158580
274.764984,2.150636
273.766174,2.143084
272.734131,2.134448
271.735382,2.126201
270.736603,2.117991
269.704529,2.108945
268.705780,2.101488
267.707001,2.094079
266.674927,2.085473
265.676178,2.077817
264.677399,2.069797
263.645355,2.061667
262.646576,2.053347
261.647827,2.045566
260.615753,2.036609
259.617004,2.029591
258.584900,2.021214
257.586182,2.013382
256.587372,2.005767
255.555344,1.996790
254.556549,1.989339
253.557785,1.980918
252.525742,1.973280
251.526947,1.964989
250.528183,1.956829
249.496140,1.948805
248.497330,1.940343
247.498581,1.933201
246.466522,1.924768
245.467773,1.916949
244.468964,1.909359
243.436951,1.900459
242.438156,1.892427
241.439392,1.884762
240.407318,1.875615
239.408585,1.868349
238.409760,1.859975
237.377716,1.852599
236.378922,1.844603
235.380157,1.836771
234.348114,1.827840
233.349335,1.820595
232.350586,1.812793
231.318527,1.804298
230.319733,1.796437
229.320969,1.788422
228.288895,1.780138
227.290115,1.773141
226.291382,1.764015
225.259277,1.756724
224.260529,1.749181
223.261749,1.740558
222.229706,1.732415
221.230927,1.724271
220.232147,1.716424
219.200073,1.707976
218.201324,1.700283
217.202515,1.692083
216.170486,1.683165
215.171677,1.677153
214.172928,1.667813
213.140839,1.661115
212.142090,1.653043
211.143280,1.644804
210.111252,1.636738
209.112442,1.628968
208.113693,1.620499
207.081604,1.613226
206.082840,1.604470
205.050766,1.597132
204.052017,1.588383
203.053238,1.580899
202.021164,1.572374
201.022385,1.564525
200.023605,1.557050
198.991516,1.548656
197.992783,1.541675
196.994003,1.532625
195.961929,1.524451
194.963150,1.516742
193.964371,1.509442
192.932281,1.501903
191.933533,1.492853
190.934753,1.485757
189.902695,1.476668
188.903946,1.470170
187.905136,1.461279
186.873108,1.453622
185.874298,1.445428
184.875549,1.438099
183.843445,1.429292
182.844696,1.422030
181.845901,1.413603
180.813843,1.406613
179.815063,1.397752
178.816269,1.390628
177.784180,1.381794
176.785431,1.373973
175.786636,1.366190
174.754608,1.358216
173.755783,1.350233
172.757034,1.341989
171.724945,1.334283
170.726196,1.327203
169.727371,1.317168
168.695328,1.311855
167.696548,1.303110
166.697769,1.294881
165.665665,1.286615
164.666916,1.278716
163.668106,1.272179
162.636078,1.262789
161.637283,1.255324
160.638535,1.247105
159.606430,1.240079
158.607651,1.231426
157.608841,1.223795
156.576813,1.215960
155.578003,1.207949
154.545944,1.200271
153.547165,1.192016
152.548386,1.183426
151.516296,1.176197
150.517532,1.168735
149.518738,1.159513
148.486664,1.151393
147.487885,1.145445
146.489105,1.136662
145.457016,1.127422
144.458267,1.121891
143.459503,1.112758
142.427399,1.105278
141.428650,1.097201
140.429840,1.088484
139.397781,1.081551
138.399002,1.074318
137.400223,1.064574
136.368118,1.056852
135.369385,1.050495
134.370560,1.041111
133.338501,1.035149
132.339691,1.026399
131.340958,1.018946
130.308853,1.010089
129.310074,1.002925
128.311264,0.994657
127.279228,0.987137
126.280426,0.978758
125.281647,0.971126
