2,USF2000,baseline
Steering Wheel Angle,Yaw Rate
193.964371,1.886416
192.932281,1.884462
191.933533,1.882271
190.934753,1.875698
189.902695,1.865410
188.903946,1.855575
187.905136,1.845740
186.873108,1.834704
185.874298,1.823988
184.875549,1.813800
183.843445,1.802365
182.844696,1.792961
181.845901,1.782289
180.813843,1.772034
179.815063,1.762788
178.816269,1.754171
177.784180,1.744273
176.785431,1.734685
175.786636,1.725045
174.754608,1.715142
173.755783,1.705031
172.757034,1.694173
171.724945,1.683473
170.726196,1.673220
169.727371,1.663876
168.695328,1.654353
167.696548,1.644733
166.697769,1.634502
165.665665,1.623791
164.666916,1.613691
163.668106,1.604143
162.636078,1.594778
161.637283,1.584847
160.638535,1.574311
159.606430,1.563360
158.607651,1.554505
157.608841,1.544982
156.576813,1.534538
155.578003,1.524547
154.545944,1.513594
153.547165,1.504429
152.548386,1.495112
151.516296,1.484857
150.517532,1.474335
149.518738,1.464289
148.486664,1.454891
147.487885,1.445126
146.489105,1.435005
145.457016,1.424624
144.458267,1.414651
143.459503,1.405339
142.427399,1.395272
141.428650,1.384839
140.429840,1.374971
139.397781,1.365548
138.399002,1.355693
137.400223,1.345212
136.368118,1.335449
135.369385,1.325837
134.370560,1.315832
133.338501,1.305310
132.339691,1.295736
131.340958,1.286077
130.308853,1.276007
129.310074,1.265910
128.311264,1.255818
127.279228,1.246150
126.280426,1.236652
125.281647,1.226490
124.249550,1.215749
123.250801,1.206568
122.251991,1.197011
121.219940,1.186594
120.221115,1.176305
119.222366,1.167019
118.190239,1.157145
117.191505,1.146995
116.192688,1.137110
115.160629,1.127060
114.161819,1.117382
113.163063,1.107794
112.130974,1.097342
111.132202,1.087239
110.133385,1.077939
109.101326,1.068140
108.102509,1.057811
107.103767,1.047584
106.071671,1.037920
105.072891,1.028427
104.074081,1.018601
103.042015,1.008068
102.043213,0.998088
101.011185,0.988046
100.012398,0.978643
99.013596,0.968870
97.981529,0.958438
96.982719,0.948347
95.983971,0.939088
94.951881,0.929124
93.953102,0.919014
92.954285,0.909047
91.922226,0.899198
90.923409,0.889586
89.924667,0.879570
88.892548,0.869442
87.893791,0.859794
86.894981,0.850004
85.862923,0.840107
84.864113,0.829886
83.865334,0.819624
82.833237,0.809924
81.834457,0.800440
80.835648,0.790757
79.803581,0.780374
78.804771,0.770205
77.806030,0.760734
76.773903,0.750881
75.775154,0.741212
74.776337,0.731118
73.744286,0.720876
72.745476,0.711183
71.746696,0.701600
70.714600,0.691585
69.715820,0.681583
68.717003,0.671447
67.684944,0.661953
66.686142,0.652276
65.687355,0.642267
64.655266,0.631805
63.656487,0.622224
62.657673,0.612678
61.625610,0.602654
60.626797,0.592701
59.628021,0.582848
58.595932,0.572519
57.597145,0.563106
56.598400,0.553545
55.566277,0.543239
54.567528,0.533128
53.568687,0.523472
52.536625,0.513678
51.537811,0.504023
50.505753,0.493574
49.506939,0.483713
48.508160,0.474013
47.476070,0.464161
46.477287,0.454338
45.478477,0.444467
44.446415,0.434205
43.447601,0.424729
42.448826,0.415115
41.416702,0.404795
40.417953,0.394786
39.419140,0.385235
38.387077,0.375346
37.388233,0.365498
36.389488,0.355517
35.357365,0.345363
34.358585,0.335785
33.359772,0.326228
32.327709,0.316063
31.328901,0.305937
30.330120,0.296383
29.297997,0.286516
28.299248,0.276705
27.300406,0.266619
26.268345,0.256511
25.269531,0.247110
24.270754,0.237388
23.238661,0.227072
22.239880,0.217143
21.241070,0.207543
20.209009,0.197648
19.210163,0.187819
18.211416,0.177922
17.179293,0.167965
16.180511,0.158348
15.181702,0.148500
14.149640,0.138109
13.150796,0.128455
12.152049,0.118955
11.119988,0.108884
10.121144,0.098824
9.122396,0.088889
8.090272,0.079272
7.091493,0.069573
6.092681,0.059576
5.060620,0.049437
4.061809,0.039767
3.062997,0.030020
2.030904,0.020177
1.032093,0.010205
0.000000,0.001088
-0.998747,0.008906
-1.997624,0.018693
-3.029652,0.028908
-4.028464,0.038265
-5.027276,0.048015
-6.059368,0.058127
-7.058115,0.067915
-8.056992,0.077930
-9.089020,0.087845
-10.087896,0.097232
-11.086643,0.107120
-12.118735,0.117604
-13.117547,0.127249
-14.116360,0.136704
-15.148452,0.146691
-16.147263,0.156788
-17.146011,0.166663
-18.178169,0.176560
-19.176916,0.186087
-20.175728,0.196114
-21.207819,0.206325
-22.206633,0.215889
-23.205444,0.225473
-24.237535,0.235625
-25.236284,0.245728
-26.235159,0.255466
-27.267187,0.265236
-28.266064,0.274975
-29.264811,0.285058
-30.296968,0.295092
-31.295717,0.304469
-32.294464,0.314386
-33.326618,0.324746
-34.325367,0.334470
-35.324245,0.343921
-36.356274,0.353933
-37.355083,0.363974
-38.353897,0.373803
-39.385986,0.383820
-40.384800,0.393481
-41.383614,0.403316
-42.415703,0.413580
-43.414516,0.423332
-44.413265,0.432740
-45.445419,0.442943
-46.444168,0.453081
-47.443043,0.462727
-48.475071,0.472479
-49.473949,0.482228
-50.472694,0.492301
-51.504852,0.502459
-52.503601,0.511972
-53.535759,0.521979
-54.534504,0.531937
-55.533318,0.541803
-56.565411,0.551840
-57.564224,0.561412
-58.563034,0.571189
-59.595127,0.581515
-60.593937,0.591452
-61.592751,0.600921
-62.624840,0.610634
-63.623653,0.620909
-64.622467,0.630816
-65.654556,0.640750
-66.653366,0.650285
-67.652184,0.660222
-68.684273,0.670523
-69.683090,0.680279
-70.681831,0.689930
-71.713989,0.699759
-72.712738,0.709737
-73.711617,0.719958
-74.743645,0.729869
-75.742516,0.739336
-76.741264,0.748685
-77.773361,0.759441
-78.772171,0.769339
-79.770981,0.778889
-80.803070,0.788876
-81.801888,0.798605
-82.800697,0.808573
-83.832787,0.819015
-84.831604,0.828451
-85.830414,0.838150
-86.862572,0.848156
-87.861313,0.858390
-88.860130,0.868200
-89.892227,0.877973
-90.891098,0.887703
-91.889847,0.897802
-92.921997,0.907929
-93.920753,0.917753
-94.919624,0.927295
-95.951653,0.937028
-96.950531,0.947179
-97.949280,0.957321
-98.981438,0.967306
-99.980179,0.976576
-100.979065,0.986726
-102.011093,0.997215
-103.009964,1.006795
-104.008705,1.016260
-105.040863,1.026409
-106.039619,1.036556
-107.071777,1.046722
-108.070587,1.056322
-109.069389,1.065810
-110.101486,1.076056
-111.100304,1.086233
-112.099113,1.096136
-113.131271,1.105858
-114.130020,1.115183
-115.128899,1.125519
-116.160927,1.135933
-117.159798,1.145429
-118.158554,1.154935
-119.190704,1.165324
-120.189453,1.175210
-121.188255,1.185142
-122.220421,1.194987
-123.219162,1.204637
-124.218033,1.214823
-125.250061,1.225070
-126.248947,1.234556
-127.247688,1.243919
-128.279846,1.254843
-129.278656,1.264580
-130.277481,1.273914
-131.309555,1.284334
-132.308380,1.294563
-133.307190,1.304054
-134.339355,1.313810
-135.338089,1.323940
-136.336975,1.334064
-137.369003,1.343775
-138.367874,1.353346
-139.366684,1.363423
-140.398773,1.373798
-141.397583,1.383171
-142.396408,1.393067
-143.428497,1.403535
-144.427368,1.413195
-145.426117,1.422803
-146.458282,1.433076
-147.457077,1.443358
-148.455902,1.452803
-149.487991,1.462539
-150.486877,1.472568
-151.485611,1.483060
-152.517776,1.492976
-153.516525,1.502189
-154.515396,1.512187
-155.547485,1.522951
-156.546295,1.532667
-157.578400,1.542375
-158.577271,1.552030
-159.576004,1.562486
-160.608170,1.573041
-161.606918,1.582563
-162.605804,1.591400
-163.637894,1.602367
-164.636765,1.612978
-165.635513,1.622367
-166.667603,1.631994
-167.666428,1.641701
-168.665222,1.652251
-169.697372,1.662766
-170.696136,1.672118
-171.695007,1.681378
-172.727097,1.691952
-173.725922,1.702684
-174.724731,1.712357
-175.756882,1.721630
-176.755630,1.731289
-177.754501,1.741767
-178.786606,1.752267
-179.785477,1.762426
-180.784225,1.771805
-181.816376,1.781189
-182.815125,1.791973
-183.813995,1.802395
-184.846100,1.811807
-185.844971,1.821414
-186.843719,1.831858
-187.875870,1.842213
-188.874695,1.851764
-189.873505,1.861205
-190.905594,1.871971
-191.904465,1.882660
-192.903214,1.887900
-193.935364,1.887019
