2,VW Jetta TDI Cup,baseline
Steering Wheel Angle,Yaw Rate
489.896606,3.126663
488.897858,3.125654
487.899139,3.124156
486.867065,3.122541
485.868317,3.122703
484.869598,3.118409
483.837555,3.111045
482.838837,3.104467
481.840027,3.098793
480.808014,3.091055
479.809296,3.083713
478.810547,3.076778
477.778534,3.069836
476.779755,3.062467
475.781006,3.056051
474.748993,3.048997
473.750244,3.042249
472.751526,3.035687
471.719452,3.028744
470.720764,3.021887
469.721985,3.015180
468.689972,3.008104
467.691223,3.001451
466.659149,2.994524
465.660400,2.987578
464.661682,2.980905
463.629669,2.973750
462.630920,2.967324
461.632141,2.960355
460.600128,2.953366
459.601379,2.946754
458.602631,2.939851
457.570587,2.932788
456.571869,2.926155
455.573090,2.919323
454.541046,2.912287
453.542328,2.905735
452.543579,2.898760
451.511505,2.891775
450.512787,2.885267
449.514038,2.878260
448.481995,2.871248
447.483276,2.864840
446.484497,2.857605
445.452484,2.850751
444.453705,2.844252
443.454987,2.837270
442.422974,2.830468
441.424194,2.824145
440.425476,2.816914
439.393402,2.810120
438.394653,2.803785
437.395905,2.796590
436.363892,2.789779
435.365143,2.783401
434.366364,2.776274
433.334320,2.769794
432.335571,2.762978
431.336823,2.756040
430.304779,2.749372
429.306061,2.743001
428.307312,2.736357
427.275269,2.729565
426.276489,2.722893
425.277771,2.716165
424.245728,2.709328
423.246979,2.702624
422.248230,2.695981
421.216156,2.688926
420.217407,2.682358
419.218658,2.675857
418.186646,2.668932
417.187897,2.662256
416.189148,2.655685
415.157104,2.648742
414.158325,2.642223
413.126312,2.635179
412.127533,2.628630
411.128784,2.622062
410.096741,2.615223
409.098022,2.608572
408.099243,2.601980
407.067230,2.595004
406.068481,2.588470
405.069702,2.581986
404.037689,2.575022
403.038910,2.568448
402.040161,2.561810
401.008118,2.554785
400.009369,2.548415
399.010620,2.541849
397.978607,2.534955
396.979797,2.528419
395.981079,2.521930
394.949005,2.514889
393.950256,2.508350
392.951538,2.501800
391.919495,2.494862
390.920715,2.488387
389.921997,2.481871
388.889893,2.474893
387.891144,2.468426
386.892426,2.461984
385.860382,2.454741
384.861633,2.448327
383.862885,2.442055
382.830811,2.434830
381.832031,2.428610
380.833282,2.421878
379.801239,2.415075
378.802521,2.408436
377.803772,2.402091
376.771698,2.395089
375.772919,2.388620
374.774170,2.382285
373.742157,2.375095
372.743378,2.368761
371.744659,2.362499
370.712555,2.355410
369.713837,2.349370
368.715057,2.342425
367.683044,2.335337
366.684296,2.328899
365.685516,2.322539
364.653442,2.315850
363.654724,2.309293
362.622681,2.302658
361.623901,2.296243
360.625153,2.289690
359.593109,2.283009
358.594330,2.276447
357.595612,2.269981
356.563568,2.263151
355.564758,2.256622
354.566010,2.250150
353.533997,2.243333
352.535248,2.236866
351.536469,2.230421
350.504425,2.223583
349.505646,2.217099
348.506927,2.210653
347.474854,2.203840
346.476105,2.197323
345.477325,2.190911
344.445282,2.183900
343.446533,2.177586
342.447784,2.171276
341.415710,2.164309
340.416962,2.158242
339.418213,2.151456
338.386139,2.144509
337.387360,2.138223
336.388641,2.131795
335.356598,2.125102
334.357849,2.118653
333.359039,2.112108
332.326996,2.105456
331.328247,2.099007
330.329498,2.092582
329.297424,2.086041
328.298645,2.079221
327.299927,2.072877
326.267853,2.066404
325.269073,2.059809
324.270355,2.053772
323.238281,2.046866
322.239502,2.040142
321.240784,2.033585
