2,Volkswagen Beetle GRC,baseline
Steering Wheel Angle,Yaw Rate
219.200073,1.325418
218.201324,1.307468
217.202515,1.299862
216.170486,1.292767
215.171677,1.282789
214.172928,1.288222
213.140839,1.286077
212.142090,1.276723
211.143280,1.263238
210.111252,1.249632
209.112442,1.242714
208.113693,1.241157
207.081604,1.237309
206.082840,1.233654
205.050766,1.226880
204.052017,1.209766
203.053238,1.200875
202.021164,1.202105
201.022385,1.198909
200.023605,1.187740
198.991516,1.176519
197.992783,1.170086
196.994003,1.169736
195.961929,1.158424
194.963150,1.147857
193.964371,1.149888
192.932281,1.137296
191.933533,1.126346
190.934753,1.124401
189.902695,1.118030
188.903946,1.110577
187.905136,1.101725
186.873108,1.096356
185.874298,1.087468
184.875549,1.080321
183.843445,1.076707
182.844696,1.064895
181.845901,1.063141
180.813843,1.052024
179.815063,1.044971
178.816269,1.042023
177.784180,1.028634
176.785431,1.027810
175.786636,1.016907
174.754608,1.009574
173.755783,1.004493
172.757034,0.998311
171.724945,0.987896
170.726196,0.984967
169.727371,0.975489
168.695328,0.968417
167.696548,0.964071
166.697769,0.951502
165.665665,0.950155
164.666916,0.939016
163.668106,0.932951
162.636078,0.926971
161.637283,0.919073
160.638535,0.912988
159.606430,0.904359
158.607651,0.899696
157.608841,0.889471
156.576813,0.885465
155.578003,0.876081
154.545944,0.869953
153.547165,0.862642
152.548386,0.855686
151.516296,0.849414
150.517532,0.841099
149.518738,0.835860
148.486664,0.826221
147.487885,0.821410
146.489105,0.812749
145.457016,0.806686
144.458267,0.800284
143.459503,0.791510
142.427399,0.785425
141.428650,0.779847
140.429840,0.770712
139.397781,0.761334
138.399002,0.758605
137.400223,0.751388
136.368118,0.741870
135.369385,0.734911
134.370560,0.730897
133.338501,0.723421
132.339691,0.715362
131.340958,0.707221
130.308853,0.699992
129.310074,0.694660
128.311264,0.688310
127.279228,0.681715
126.280426,0.673357
125.281647,0.665127
124.249550,0.658221
123.250801,0.652588
122.251991,0.645365
121.219940,0.636962
120.221115,0.630764
119.222366,0.623688
118.190239,0.617594
117.191505,0.610759
116.192688,0.605484
115.160629,0.600248
114.161819,0.595035
113.163063,0.586909
112.130974,0.580723
111.132202,0.575170
110.133385,0.569171
109.101326,0.562706
108.102509,0.556530
107.103767,0.549140
106.071671,0.542017
105.072891,0.535883
104.074081,0.529416
103.042015,0.523393
102.043213,0.517592
101.011185,0.510695
100.012398,0.504538
99.013596,0.498830
97.981529,0.494597
96.982719,0.488607
95.983971,0.482258
94.951881,0.476010
93.953102,0.468448
92.954285,0.460928
91.922226,0.456717
90.923409,0.450752
89.924667,0.442923
