2,Volkswagen Beetle GRC Lite,baseline
Steering Wheel Angle,Yaw Rate
219.200073,1.333364
218.201324,1.337635
217.202515,1.334701
216.170486,1.327508
215.171677,1.321258
214.172928,1.314433
213.140839,1.306986
212.142090,1.299842
211.143280,1.292754
210.111252,1.285244
209.112442,1.277549
208.113693,1.270385
207.081604,1.263293
206.082840,1.256529
205.050766,1.249638
204.052017,1.243215
203.053238,1.237834
202.021164,1.232419
201.022385,1.225256
200.023605,1.218318
198.991516,1.211207
197.992783,1.204332
196.994003,1.197367
195.961929,1.189956
194.963150,1.183417
193.964371,1.176888
192.932281,1.170019
191.933533,1.163422
190.934753,1.156719
189.902695,1.149668
188.903946,1.142802
187.905136,1.136403
186.873108,1.129287
185.874298,1.122384
184.875549,1.115825
183.843445,1.108734
182.844696,1.101991
181.845901,1.095248
180.813843,1.088252
179.815063,1.081392
178.816269,1.074837
177.784180,1.067883
176.785431,1.061054
175.786636,1.054275
174.754608,1.047277
173.755783,1.040722
172.757034,1.033894
171.724945,1.026728
170.726196,1.020003
169.727371,1.013314
168.695328,1.006457
167.696548,0.999633
166.697769,0.992855
165.665665,0.985975
164.666916,0.979311
163.668106,0.972468
162.636078,0.965304
161.637283,0.958641
160.638535,0.951910
159.606430,0.944955
158.607651,0.938302
157.608841,0.931705
156.576813,0.924783
155.578003,0.917908
154.545944,0.911097
153.547165,0.904443
152.548386,0.897722
151.516296,0.890617
150.517532,0.883978
149.518738,0.877331
148.486664,0.870293
147.487885,0.863641
146.489105,0.856915
145.457016,0.850121
144.458267,0.843502
143.459503,0.836746
142.427399,0.829709
141.428650,0.823045
140.429840,0.816339
139.397781,0.809354
138.399002,0.802658
137.400223,0.795959
136.368118,0.789173
135.369385,0.782374
134.370560,0.775711
133.338501,0.768599
132.339691,0.761890
131.340958,0.755264
130.308853,0.748402
129.310074,0.741672
128.311264,0.735022
127.279228,0.727781
126.280426,0.721119
125.281647,0.714322
124.249550,0.707248
123.250801,0.700790
122.251991,0.693786
121.219940,0.686930
120.221115,0.680056
119.222366,0.673381
118.190239,0.666570
117.191505,0.659700
116.192688,0.652732
115.160629,0.645925
114.161819,0.639027
113.163063,0.632281
112.130974,0.625362
111.132202,0.618715
110.133385,0.612002
109.101326,0.604739
108.102509,0.597969
107.103767,0.591649
106.071671,0.584476
105.072891,0.577620
104.074081,0.570940
103.042015,0.564086
102.043213,0.556974
101.011185,0.550344
100.012398,0.544321
99.013596,0.538982
97.981529,0.533299
96.982719,0.527707
95.983971,0.528573
94.951881,0.508340
93.953102,0.531716
92.954285,0.498982
91.922226,0.494437
90.923409,0.490676
89.924667,0.484930
88.892548,0.479784
87.893791,0.471860
86.894981,0.465858
85.862923,0.460505
84.864113,0.454989
83.865334,0.449471
82.833237,0.443663
81.834457,0.437792
80.835648,0.431718
79.803581,0.425330
78.804771,0.419419
77.806030,0.413769
76.773903,0.407643
75.775154,0.401432
74.776337,0.395111
