2,Williams-Toyota FW31,baseline
Steering Wheel Angle,Yaw Rate
253.557785,1.897298
252.525742,1.899773
251.526947,1.900503
250.528183,1.894199
249.496140,1.885590
248.497330,1.877654
247.498581,1.869902
246.466522,1.860881
245.467773,1.852984
244.468964,1.845477
243.436951,1.837807
242.438156,1.830141
241.439392,1.822254
240.407318,1.813955
239.408585,1.806258
238.409760,1.798575
237.377716,1.790563
236.378922,1.782713
235.380157,1.775041
234.348114,1.766586
233.349335,1.758932
232.350586,1.751375
231.318527,1.743581
230.319733,1.735603
229.320969,1.727652
228.288895,1.719638
227.290115,1.712000
226.291382,1.704444
225.259277,1.696299
224.260529,1.688681
223.261749,1.680897
222.229706,1.672754
221.230927,1.665145
220.232147,1.657476
219.200073,1.649410
218.201324,1.641607
217.202515,1.633899
216.170486,1.626193
215.171677,1.618400
214.172928,1.610442
213.140839,1.602430
212.142090,1.594946
211.143280,1.587191
210.111252,1.579126
209.112442,1.571334
208.113693,1.563724
207.081604,1.555970
206.082840,1.548162
205.050766,1.540418
204.052017,1.532513
203.053238,1.525088
202.021164,1.516900
201.022385,1.509343
200.023605,1.501698
198.991516,1.493722
197.992783,1.486124
196.994003,1.478237
195.961929,1.470649
194.963150,1.462837
193.964371,1.455237
192.932281,1.447202
191.933533,1.439391
190.934753,1.432025
189.902695,1.424172
188.903946,1.416436
187.905136,1.408899
186.873108,1.400984
185.874298,1.393338
184.875549,1.385685
183.843445,1.377752
182.844696,1.370189
181.845901,1.362555
180.813843,1.354418
179.815063,1.346903
178.816269,1.339416
177.784180,1.331509
176.785431,1.323928
175.786636,1.316430
174.754608,1.308381
173.755783,1.300882
172.757034,1.293122
171.724945,1.285356
170.726196,1.277809
169.727371,1.270166
168.695328,1.262426
167.696548,1.254884
166.697769,1.247130
165.665665,1.239380
164.666916,1.231773
163.668106,1.224219
162.636078,1.216189
161.637283,1.208773
160.638535,1.201157
159.606430,1.193501
158.607651,1.185696
157.608841,1.178358
156.576813,1.170420
155.578003,1.162756
154.545944,1.155088
153.547165,1.147460
152.548386,1.140007
151.516296,1.132007
150.517532,1.124507
149.518738,1.117085
148.486664,1.109085
147.487885,1.101693
146.489105,1.094083
145.457016,1.086260
144.458267,1.078732
143.459503,1.071159
142.427399,1.063413
141.428650,1.055814
140.429840,1.048316
139.397781,1.040446
138.399002,1.033008
137.400223,1.025467
136.368118,1.017624
135.369385,1.010116
134.370560,1.002637
133.338501,0.994842
132.339691,0.987414
131.340958,0.979801
130.308853,0.972030
129.310074,0.964677
128.311264,0.956944
127.279228,0.949147
126.280426,0.941670
125.281647,0.934298
124.249550,0.926547
123.250801,0.919000
122.251991,0.911538
121.219940,0.903668
120.221115,0.896212
119.222366,0.888588
118.190239,0.880823
117.191505,0.873417
116.192688,0.865916
115.160629,0.858177
114.161819,0.850713
113.163063,0.843207
112.130974,0.835401
111.132202,0.827914
110.133385,0.820460
109.101326,0.812721
108.102509,0.805155
107.103767,0.797721
106.071671,0.789973
105.072891,0.782417
104.074081,0.774958
103.042015,0.767295
102.043213,0.759809
101.011185,0.751971
100.012398,0.744531
99.013596,0.737035
97.981529,0.729310
96.982719,0.721776
95.983971,0.714296
94.951881,0.706601
93.953102,0.699098
92.954285,0.691715
91.922226,0.683844
90.923409,0.676451
89.924667,0.669000
88.892548,0.661293
87.893791,0.653882
86.894981,0.646244
85.862923,0.638579
84.864113,0.631171
83.865334,0.623618
82.833237,0.615931
81.834457,0.608499
80.835648,0.601111
79.803581,0.593204
78.804771,0.585849
77.806030,0.578378
76.773903,0.570682
75.775154,0.563222
74.776337,0.555795
73.744286,0.548073
72.745476,0.540612
71.746696,0.533161
70.714600,0.525471
69.715820,0.518084
68.717003,0.510570
67.684944,0.502869
66.686142,0.495386
65.687355,0.487893
64.655266,0.480284
63.656487,0.472842
62.657673,0.465293
61.625610,0.457696
60.626797,0.450277
59.628021,0.442881
58.595932,0.435051
57.597145,0.427639
56.598400,0.420115
55.566277,0.412504
54.567528,0.405046
53.568687,0.397650
52.536625,0.389912
51.537811,0.382528
50.505753,0.374799
49.506939,0.367421
48.508160,0.359929
47.476070,0.352273
46.477287,0.344781
45.478477,0.337475
44.446415,0.329739
43.447601,0.322245
42.448826,0.314931
41.416702,0.307210
40.417953,0.299716
39.419140,0.292342
38.387077,0.284671
37.388233,0.277144
36.389488,0.269707
35.357365,0.262058
34.358585,0.254704
33.359772,0.247236
32.327709,0.239523
31.328901,0.232162
30.330120,0.224823
29.297997,0.216956
28.299248,0.209609
27.300406,0.202184
26.268345,0.194486
25.269531,0.187065
24.270754,0.179711
23.238661,0.172158
22.239880,0.164541
21.241070,0.157080
20.209009,0.149500
19.210163,0.142144
18.211416,0.134634
17.179293,0.127026
16.180511,0.119582
15.181702,0.112217
14.149640,0.104506
13.150796,0.097053
12.152049,0.089605
11.119988,0.081812
10.121144,0.074544
9.122396,0.067073
8.090272,0.059372
7.091493,0.051906
6.092681,0.044542
5.060620,0.036764
4.061809,0.029443
3.062997,0.022074
2.030904,0.014309
1.032093,0.006917
0.000000,0.001342
-0.998747,0.008121
-1.997624,0.015558
-3.029652,0.023176
-4.028464,0.030624
-5.027276,0.038008
-6.059368,0.045584
-7.058115,0.053147
-8.056992,0.060507
-9.089020,0.068238
-10.087896,0.075675
-11.086643,0.083073
-12.118735,0.090839
-13.117547,0.098102
-14.116360,0.105647
-15.148452,0.113176
-16.147263,0.120681
-17.146011,0.128066
-18.178169,0.135735
-19.176916,0.143173
-20.175728,0.150572
-21.207819,0.158313
-22.206633,0.165773
-23.205444,0.173168
-24.237535,0.180886
-25.236284,0.188192
-26.235159,0.195771
-27.267187,0.203418
-28.266064,0.210672
-29.264811,0.218091
-30.296968,0.225755
-31.295717,0.233351
-32.294464,0.240700
-33.326618,0.248453
-34.325367,0.255842
-35.324245,0.263269
-36.356274,0.270909
-37.355083,0.278401
-38.353897,0.285734
-39.385986,0.293445
-40.384800,0.300919
-41.383614,0.308386
-42.415703,0.316013
-43.414516,0.323355
-44.413265,0.330838
-45.445419,0.338569
-46.444168,0.345854
-47.443043,0.353502
-48.475071,0.360996
-49.473949,0.368462
-50.472694,0.376057
-51.504852,0.383682
