MAIRA Recording v5
ARCA Ford Mustang @ Atlanta Motor Speedway - Oval (30s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-6.508356,-4.8714824,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.037148815,2427.0715,5.030688,81.07041,81.07995,-1.2723379,4.573035,-0.025056038,-0.0120492745,0.020135216,0.018883638,0.105406135,0.08541242,1,0
-6.508356,-5.1790977,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.03823555,2427.0715,5.030688,81.07041,81.07995,-1.2664539,4.7295737,-0.01982461,-0.011509896,0.028867628,0.027697837,0.105470814,0.08547694,1,0
-6.508356,-5.377217,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.039298706,2427.0715,5.030688,81.07041,81.07995,-1.260646,4.7780676,-0.014065418,-0.011222306,0.037994165,0.039028946,0.10556489,0.0855658,1,0
-6.508356,-5.6644387,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.04020331,2427.0715,5.030688,81.07041,81.07995,-1.2546562,4.924448,-0.0086056255,-0.011881756,0.047155116,0.054086186,0.10568173,0.08569237,1,0
-6.508356,-5.991348,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.041191854,2427.0715,5.030688,81.07041,81.07995,-1.2488141,4.9394174,-0.0037928326,-0.012879651,0.059840225,0.069632895,0.10582608,0.08586506,1,0
-6.508356,-6.508356,0,0.10378959,0.50096065,0.08499244,0.26955768,0,0.030671205,-0.51303846,7279.212,7000,7000,4,4,False,81.07995,-1.2432636,-0.047884572,12.688112,0.17412072,0.042242862,2427.0715,5.030688,81.07041,81.07995,-1.2432636,4.912746,-0.0001580077,-0.014639943,0.06987407,0.08499244,0.10601288,0.0860783,1,0
-1.4551654,-7.001788,0,0.102399506,0.46576658,0.09234757,0.24081567,0,0.030060913,-0.4938771,7275.403,7000,7000,4,4,False,81.09737,-1.2187928,-0.04449811,12.688112,0.20318782,0.04312173,0.027069338,5.029922,81.0882,81.09737,-1.2379684,4.905321,0.0009907737,-0.017198486,0.065614335,0.09234757,0.106216915,0.086336195,1,0
-1.4551654,-7.108823,0,0.102399506,0.46576658,0.09234757,0.24081567,0,0.030060913,-0.4938771,7275.403,7000,7000,4,4,False,81.09737,-1.2187928,-0.04449811,12.688112,0.20318782,0.043957442,0.027069338,5.029922,81.0882,81.09737,-1.2332711,4.7557545,-0.0002583311,-0.019523082,0.047704168,0.08656968,0.106396675,0.086597085,1,0
-1.4551654,-6.607129,0,0.102399506,0.46576658,0.09234757,0.24081567,0,0.030060913,-0.4938771,7275.403,7000,7000,4,4,False,81.09737,-1.2187928,-0.04449811,12.688112,0.20318782,0.044706345,0.027069338,5.029922,81.0882,81.09737,-1.2291555,4.6105056,-0.0048153657,-0.021802876,0.013413396,0.07215725,0.10648854,0.08681991,1,0
-1.4551654,-4.740548,0,0.102399506,0.46576658,0.09234757,0.24081567,0,0.030060913,-0.4938771,7275.403,7000,7000,4,4,False,81.09737,-1.2187928,-0.04449811,12.688112,0.20318782,0.045800246,0.027069338,5.029922,81.0882,81.09737,-1.2253555,4.562468,-0.018329665,-0.022805298,-0.0078806,0.049132105,0.10647453,0.08699833,1,0
