MAIRA Recording v5
BMW M2 Racing (G87) @ Virginia International Raceway - North (101s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
3.669165,2.2388897,0.020786285,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.0654189,89.23693,1.5801098,56.19767,56.199802,0.48713356,-3.5032015,0.028038174,0.037689026,-0.02841996,-0.032219633,0.029413914,0.022912825,1,0
3.669165,2.4171212,0.01886177,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.06464743,89.23693,1.5801098,56.19767,56.199802,0.48759958,-3.5352132,0.017088685,0.039094303,-0.023615455,-0.025843957,0.029340774,0.022833006,1,0
3.669165,2.7181604,0.013339996,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.064025074,89.23693,1.5801098,56.19767,56.199802,0.48805377,-3.5028944,0.0067508803,0.04016826,-0.018974874,-0.018979006,0.029281331,0.02277007,1,0
3.669165,3.0478387,-0.0037975311,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.06354858,89.23693,1.5801098,56.19767,56.199802,0.48855418,-3.4558518,-0.002571425,0.041022416,-0.014284149,-0.009227255,0.029234715,0.02272726,1,0
3.669165,3.366814,-0.0121974945,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.06319693,89.23693,1.5801098,56.19767,56.199802,0.4890538,-3.4357636,-0.011033149,0.041680485,-0.009876351,0.0033839352,0.02920167,0.022716776,1,0
3.669165,3.669165,-0.018281937,0.09384427,0.34867877,0.032219633,0,0,0,-0.039635304,5769.367,6600,7000,6,7,False,56.199802,0.48955995,-0.09649491,13.108013,0.101563625,-0.06297956,89.23693,1.5801098,56.19767,56.199802,0.48955995,-3.4193707,-0.018638281,0.042058952,-0.005369354,0.016753353,0.029179921,0.022744702,1,0
4.414553,3.6443975,-0.01952362,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.0629334,90.17192,1.5811732,56.21052,56.212715,0.49012133,-3.3939495,-0.025133587,0.042123206,-0.0003982863,0.028415527,0.029171279,0.022809261,1,0
4.414553,3.961161,-0.014450073,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.06305408,90.17192,1.5811732,56.21052,56.212715,0.49085647,-3.3351753,-0.029891007,0.042071316,0.004500348,0.037706234,0.029176958,0.022903182,1,0
4.414553,4.224919,-0.014450073,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.06329994,90.17192,1.5811732,56.21052,56.212715,0.4918065,-3.271135,-0.032648183,0.041708026,0.008542112,0.044698074,0.029195711,0.02301954,1,0
4.414553,4.3888087,-0.014450073,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.06373443,90.17192,1.5811732,56.21052,56.212715,0.4930642,-3.1778462,-0.033267792,0.040872276,0.011327226,0.049652908,0.029224137,0.023152277,1,0
4.414553,4.445382,-0.014450073,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.064393945,90.17192,1.5811732,56.21052,56.212715,0.49468845,-3.0784411,-0.031849477,0.039652947,0.013469481,0.052487824,0.02925871,0.023296122,1,0
4.414553,4.414553,-0.014450073,0.08594752,0.30534264,0.053323425,0,0,0,-0.033276893,5778.3403,6600,7000,6,7,False,56.212715,0.49666715,-0.091657884,13.108013,0.2902217,-0.0652953,90.17192,1.5811732,56.21052,56.212715,0.49666715,-2.9943886,-0.028467994,0.038150113,0.014827365,0.053323425,0.02929868,0.023445273,1,0
3.291682,4.0757303,-0.006608963,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.06648213,91.1072,1.5823383,56.22243,56.22481,0.49904063,-2.9112425,-0.023366923,0.03630869,0.015294242,0.0511804,0.029340992,0.023594204,1,0
3.291682,4.0225687,0.002418518,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.06794389,91.1072,1.5823383,56.22243,56.22481,0.5018965,-2.8116686,-0.016398732,0.03417223,0.015687497,0.0455192,0.029383304,0.023732778,1,0
3.291682,3.9410603,0.010972977,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.0695978,91.1072,1.5823383,56.22243,56.22481,0.50528264,-2.709279,-0.007425112,0.03199994,0.015892548,0.037892736,0.029427206,0.023850225,1,0
3.291682,3.7740195,0.020513535,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.07135956,91.1072,1.5823383,56.22243,56.22481,0.50912714,-2.6375682,0.0028286036,0.029855411,0.012475175,0.030281601,0.029471358,0.023944458,1,0
3.291682,3.5433292,0.01966858,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.073061176,91.1072,1.5823383,56.22243,56.22481,0.513193,-2.6566997,0.01247267,0.027848164,0.006596163,0.021911068,0.02950019,0.024017973,1,0
3.291682,3.291682,0.015089035,0.084096104,0.2758037,0.053853672,0,0,0,-0.018288773,5787.023,6600,7000,6,7,False,56.22481,0.5173794,-0.08391887,13.108013,0.46434087,-0.07460925,91.1072,1.5823383,56.22243,56.22481,0.5173794,-2.7047102,0.020836063,0.026390964,0.0025607387,0.010958313,0.029509613,0.024067055,1,0
2.064827,2.7289956,0.015911102,0.10293533,0.3395861,0.02991252,0,0,0,-0.00195888,5790.979,6600,7000,6,7,False,56.238506,0.5414906,-0.071585104,13.108013,0.7400259,-0.07598761,92.04274,1.583636,56.2359,56.238506,0.5216773,-2.7428994,0.028424121,0.02547509,-8.780617E-05,-0.002055956,0.029512422,0.024081284,1,0
2.064827,2.4894307,0.009519577,0.10293533,0.3395861,0.02991252,0,0,0,-0.00195888,5790.979,6600,7000,6,7,False,56.238506,0.5414906,-0.071585104,13.108013,0.7400259,-0.07718031,92.04274,1.583636,56.2359,56.238506,0.5260566,-2.7853527,0.035162363,0.024938276,-0.0031666076,-0.015297878,0.029508708,0.024057133,1,0
2.064827,2.316945,0.001335144,0.10293533,0.3395861,0.02991252,0,0,0,-0.00195888,5790.979,6600,7000,6,7,False,56.238506,0.5414906,-0.071585104,13.108013,0.7400259,-0.07816077,92.04274,1.583636,56.2359,56.238506,0.53045213,-2.8378837,0.04090884,0.024777666,-0.005062983,-0.024133807,0.029495323,0.023996942,1,0
2.064827,2.1726842,-0.0141506195,0.10293533,0.3395861,0.02991252,0,0,0,-0.00195888,5790.979,6600,7000,6,7,False,56.238506,0.5414906,-0.071585104,13.108013,0.7400259,-0.07883045,92.04274,1.583636,56.2359,56.238506,0.5346347,-2.960309,0.044600245,0.024973301,-0.0042627444,-0.024696846,0.029480282,0.023919465,1,0
