MAIRA Recording v5
Chevrolet Silverado @ Pocono Raceway - Oval (58s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
4.805791,0.98682517,0.015556335,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.0070078894,2.6575177,1.9572906,71.79162,71.79172,0.10339736,0.36578578,-0.01058907,-0.082956366,0.046485484,0.0362071,0.20394903,0.15892725,1,0
4.805791,1.9180452,0.021028519,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.00712842,2.6575177,1.9572906,71.79162,71.79172,0.107143104,0.49939615,-0.04467335,-0.083355285,0.049818493,0.04303369,0.20408654,0.15903579,1,0
4.805791,2.8971596,0.021028519,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.00745765,2.6575177,1.9572906,71.79162,71.79172,0.11101127,0.5691273,-0.08300401,-0.08444946,0.043796692,0.042953722,0.20422696,0.15916538,1,0
4.805791,3.9496214,0.021028519,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.0073623657,2.6575177,1.9572906,71.79162,71.79172,0.11434678,0.40182364,-0.12205385,-0.08566785,0.035304196,0.034067877,0.20433807,0.1592804,1,0
4.805791,4.438308,0.021028519,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.0071574715,2.6575177,1.9572906,71.79162,71.79172,0.11723482,0.319382,-0.15859604,-0.08729564,0.028935852,0.02310736,0.2044243,0.15935856,1,0
4.805791,4.805791,0.021028519,0.17207111,0.019611534,0.2266903,0,0,0,-0.15883788,7301.499,8600,9000,4,4,False,71.79172,0.11963322,-0.030955086,12.688112,0.1306333,-0.0070804297,2.6575177,1.9572906,71.79162,71.79172,0.11963322,0.19232345,-0.19102189,-0.08930725,0.021166405,0.013251404,0.2044976,0.15940875,1,0
4.628873,5.3382134,-0.0054893494,0.01211217,0.09164336,0.13932773,0,0,0,-0.15227182,7410.4224,8600,9000,4,4,False,71.80867,0.11908974,-0.02781086,12.688112,0.1886535,-0.006879731,3.8543937,1.9573296,71.80857,71.80867,0.12138675,-0.0010390878,-0.21767658,-0.09164577,0.013115983,0.0022608144,0.20454478,0.1594324,1,0
4.628873,5.5885296,0.004590988,0.01211217,0.09164336,0.13932773,0,0,0,-0.15227182,7410.4224,8600,9000,4,4,False,71.80867,0.11908974,-0.02781086,12.688112,0.1886535,-0.006829101,3.8543937,1.9573296,71.80857,71.80867,0.1219749,-0.3735853,-0.23214644,-0.09374172,0.004839039,0.00027831795,0.20457071,0.159423,1,0
4.628873,5.4240456,0.01392746,0.01211217,0.09164336,0.13932773,0,0,0,-0.15227182,7410.4224,8600,9000,4,4,False,71.80867,0.11908974,-0.02781086,12.688112,0.1886535,-0.0067853923,3.8543937,1.9573296,71.80857,71.80867,0.121755764,-0.64316463,-0.23629814,-0.09525222,-0.0038253532,0.0007937935,0.20457585,0.1593936,1,0
4.628873,5.409071,0.023359299,0.01211217,0.09164336,0.13932773,0,0,0,-0.15227182,7410.4224,8600,9000,4,4,False,71.80867,0.11908974,-0.02781086,12.688112,0.1886535,-0.006522783,3.8543937,1.9573296,71.80857,71.80867,0.12115529,-0.7643884,-0.23424524,-0.095677994,-0.014559888,-0.0063549937,0.20456715,0.15935177,1,0
4.628873,5.14966,0.021650314,0.01211217,0.09164336,0.13932773,0,0,0,-0.15227182,7410.4224,8600,9000,4,4,False,71.80867,0.11908974,-0.02781086,12.688112,0.1886535,-0.006145988,3.8543937,1.9573296,71.80857,71.80867,0.12008082,-0.9195242,-0.2241429,-0.09450801,-0.025634972,-0.017100582,0.20454733,0.15929644,1,0
