MAIRA Recording v5
FIA Cross Car @ Winton Motor Raceway - Rallycross (46s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-0.35973853,-0.32950765,-0.001083374,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.021198537,0.66848177,5.6496687,36.96304,36.963253,-0.122199364,0.23504463,-0.000754671,-0.0067524537,0.02081784,0.0020963456,0.05577913,0.057114333,1,0
-0.35973853,-0.33550793,0.0016174316,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.020964067,0.66848177,5.6496687,36.96304,36.963253,-0.123099245,0.30071682,-0.0011964435,-0.0072247814,0.018100196,-0.0019482981,0.055832654,0.05711335,1,0
-0.35973853,-0.34025258,0.0040721893,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.020726195,0.66848177,5.6496687,36.96304,36.963253,-0.12378179,0.3698792,-8.033675E-05,-0.007505192,0.015299818,-0.0043233815,0.055879414,0.057103336,1,0
-0.35973853,-0.34630448,0.0062675476,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.020517172,0.66848177,5.6496687,36.96304,36.963253,-0.124301784,0.42345345,0.0017985976,-0.0076213214,0.011832922,-0.0052177203,0.05591795,0.057088763,1,0
-0.35973853,-0.35329095,0.005628586,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.020353641,0.66848177,5.6496687,36.96304,36.963253,-0.12478874,0.43346053,0.0033217208,-0.007613114,0.008240046,-0.0050018034,0.055945694,0.057073742,1,0
-0.35973853,-0.35973853,0.0038776398,0.218442,0.040599357,0.053137135,0,0,0,-0.04813268,10474.166,10000,12200,6,6,False,36.963253,-0.12535958,-0.004594771,7.1812263,-0.058077548,0.020218639,0.66848177,5.6496687,36.96304,36.963253,-0.12535958,0.3981437,0.003686853,-0.007524226,0.005905764,-0.0041511864,0.055964082,0.0570606,1,0
-0.18546829,-0.27856016,-0.0055789948,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.020090245,1.2855561,5.6493373,36.98878,36.98901,-0.12606679,0.34607375,0.0026411067,-0.007393708,0.0051469393,-0.0030761156,0.05597824,0.057050467,1,0
-0.18546829,-0.27710268,-0.0062847137,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.01995156,1.2855561,5.6493373,36.98878,36.98901,-0.12689015,0.29517543,0.00043271223,-0.007255262,0.005534899,-0.0019704865,0.055992484,0.057043463,1,0
-0.18546829,-0.26682985,-0.0058021545,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.019786727,1.2855561,5.6493373,36.98878,36.98901,-0.12775934,0.26872236,-0.0023094842,-0.0071274415,0.0064159133,-0.0007911149,0.056008816,0.05703959,1,0
-0.18546829,-0.24672885,-0.0018367767,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.019582001,1.2855561,5.6493373,36.98878,36.98901,-0.1286095,0.2634892,-0.0048373016,-0.0070157284,0.0074974406,0.0004916756,0.05602795,0.05703914,1,0
-0.18546829,-0.21835773,0.00082206726,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.01931792,1.2855561,5.6493373,36.98878,36.98901,-0.1293889,0.2760365,-0.006494263,-0.0069066295,0.008720552,0.001552305,0.05605027,0.05704242,1,0
-0.18546829,-0.18546829,0.0033569336,0.21083947,0.030467052,0.05550766,0,0,0,-0.058113035,10468.69,10000,12200,6,6,False,36.98901,-0.13006823,-0.006287534,7.1812263,-0.10156575,0.018980144,1.2855561,5.6493373,36.98878,36.98901,-0.13006823,0.29877973,-0.0069004577,-0.006789257,0.009941837,0.0020709918,0.05607623,0.057048112,1,0
-0.074837424,-0.10642999,0.006105423,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.018592179,1.9030886,5.64904,37.012974,37.01321,-0.13062559,0.32933947,-0.006043068,-0.0066573503,0.0109185055,0.0028188182,0.056105435,0.0570544,1,0
-0.074837424,-0.089528106,0.005815506,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.018172875,1.9030886,5.64904,37.012974,37.01321,-0.1310909,0.35106033,-0.004316945,-0.0065321834,0.011582327,0.00402046,0.056136936,0.05706358,1,0
-0.074837424,-0.07759311,0.005815506,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.017729452,1.9030886,5.64904,37.012974,37.01321,-0.13148853,0.36066365,-0.0021595804,-0.006418429,0.01195967,0.0052079926,0.056169897,0.057076573,1,0
-0.074837424,-0.07162258,0.005815506,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.017276207,1.9030886,5.64904,37.012974,37.01321,-0.13183899,0.36608973,8.64769E-05,-0.0063253934,0.012054488,0.006692758,0.056203514,0.057092577,1,0
-0.074837424,-0.070892476,0.005815506,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.016828567,1.9030886,5.64904,37.012974,37.01321,-0.13216293,0.36472797,0.0021168608,-0.0062961048,0.012248284,0.008894243,0.056237042,0.05711347,1,0
-0.074837424,-0.074837424,0.005815506,0.197392,0.036081564,0.045898814,0,0,0,-0.06826711,10468.354,10000,12200,6,6,False,37.01321,-0.13247794,-0.0070123337,7.1812263,-0.043487992,0.016405324,1.9030886,5.64904,37.012974,37.01321,-0.13247794,0.35383928,0.0037460434,-0.00635504,0.012981458,0.01179565,0.056271553,0.05714175,1,0
-0.24940246,-0.20885147,0.00438118,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.015995994,2.5209637,5.6487846,37.035057,37.0353,-0.13280562,0.33678362,0.0049307398,-0.006514645,0.014414454,0.014965023,0.056309044,0.057178825,1,0
-0.24940246,-0.21699485,0.002105713,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.015585184,2.5209637,5.6487846,37.035057,37.0353,-0.13315798,0.3160469,0.0057858867,-0.006779884,0.016277956,0.017962499,0.056351483,0.05722478,1,0
-0.24940246,-0.22591925,-0.0005226135,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.015191277,2.5209637,5.6487846,37.035057,37.0353,-0.13348962,0.30854204,0.0064669102,-0.0071257935,0.016961383,0.020485582,0.056399375,0.057278603,1,0
-0.24940246,-0.23412178,-0.005088806,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.014811435,2.5209637,5.6487846,37.035057,37.0353,-0.13378696,0.30842704,0.007035855,-0.007489194,0.01594274,0.022039821,0.056446373,0.057338655,1,0
-0.24940246,-0.24157387,-0.006122589,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.014425922,2.5209637,5.6487846,37.035057,37.0353,-0.13404752,0.30992997,0.0076584406,-0.007837386,0.013824134,0.022262834,0.056488186,0.057401597,1,0
-0.24940246,-0.24940246,-0.005990982,0.18843448,0.033105776,0.027014093,0,0,0,-0.07420108,10474.824,10000,12200,6,6,False,37.0353,-0.1342288,-0.0067710476,7.1812263,0.014477166,0.014025371,2.5209637,5.6487846,37.035057,37.0353,-0.1342288,0.32465675,0.008526033,-0.008153186,0.011330262,0.021325896,0.056523293,0.057462752,1,0
-0.36485955,-0.32279232,0.0026493073,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.013615437,3.1392214,5.6485677,37.05693,37.057175,-0.13435568,0.3314474,0.009573487,-0.008407456,0.008897939,0.019900931,0.056551248,0.05752027,1,0
-0.36485955,-0.33011618,0.0047779083,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.013196506,3.1392214,5.6485677,37.05693,37.057175,-0.13444963,0.33012497,0.010537397,-0.008586224,0.0076123686,0.01828654,0.056572855,0.057573408,1,0
-0.36485955,-0.34060025,0.0059661865,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.012794092,3.1392214,5.6485677,37.05693,37.057175,-0.1345263,0.32307506,0.011184657,-0.008712848,0.0069185956,0.01651542,0.05659309,0.057621896,1,0
-0.36485955,-0.35250157,0.0048980713,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.012428541,3.1392214,5.6485677,37.05693,37.057175,-0.13459142,0.31283426,0.011223103,-0.008783985,0.00558489,0.014481938,0.056611508,0.0576652,1,0
-0.36485955,-0.3620726,0.0028324127,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.012121593,3.1392214,5.6485677,37.05693,37.057175,-0.1346678,0.29765755,0.010475365,-0.008789242,0.0035604297,0.013457815,0.05662453,0.057702422,1,0
-0.36485955,-0.36485955,0.00023841858,0.19152927,0.02782296,0.021813255,0,0,0,-0.07858772,10481.271,10000,12200,6,6,False,37.057175,-0.13477717,-0.0062875333,7.1812263,0.029010855,0.011864222,3.1392214,5.6485677,37.05693,37.057175,-0.13477717,0.27285004,0.008895624,-0.008764707,0.0017457518,0.013956253,0.056631505,0.057739407,1,0
-0.20911774,-0.34666693,-0.0046195984,0.19297637,0.03335582,0.0238663,0,0,0,-0.08411173,10483.847,10000,12200,6,6,False,37.079304,-0.13454777,-0.006287534,7.1812263,-2.7939675E-08,0.011612157,3.7578568,5.648382,37.07906,37.079304,-0.13491252,0.25036567,0.0067999875,-0.008748726,0.00092095794,0.01543679,0.056634218,0.05777982,1,0
