MAIRA Recording v5
FIA F4 @ Nürburgring Grand Prix -  (128s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
1.2479576,2.0664945,-0.008306503,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.013383277,7.478034,3.919599,48.051594,48.051594,-0.018119313,-0.12533346,-0.04650957,-0.032245997,-0.004187843,0.07437343,0.020014808,0.019745851,1,0
1.2479576,2.473044,-0.005973816,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.013615222,7.478034,3.919599,48.051594,48.051594,-0.017653553,-0.25998902,-0.05560667,-0.034902014,0.009433457,0.07918373,0.019995827,0.019972788,1,0
1.2479576,2.7660306,-0.0025177002,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.013364485,7.478034,3.919599,48.051594,48.051594,-0.016743852,-0.10695222,-0.047168598,-0.0389354,0.022764578,0.06956843,0.02004114,0.020209832,1,0
1.2479576,2.3686502,0.0049552917,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.0124271,7.478034,3.919599,48.051594,48.051594,-0.015317842,0.109690815,-0.021494333,-0.043499943,0.025385616,0.08051901,0.020114753,0.020411665,1,0
1.2479576,1.622832,0.0076465607,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.0120579,7.478034,3.919599,48.051594,48.051594,-0.014379248,-0.028808832,-0.00784276,-0.04864621,0.024288049,0.08776032,0.020199578,0.020639684,1,0
1.2479576,1.2479576,0.008865356,0.20183432,0.022291604,0.08955347,0,0,0,-0.030373314,5809.3604,6500,7300,5,6,False,48.051594,-0.013969927,-0.013058578,6.719512,0.07255515,-0.012460735,7.478034,3.919599,48.051594,48.051594,-0.013969927,-0.21860597,-0.009252365,-0.05407249,0.018074768,0.08955347,0.020284034,0.020884939,1,0
-0.15797666,1.4147029,0.006290436,0.19172491,0.02914322,0.061341934,0,0,0,-0.015895508,5831.0264,6500,7300,5,6,False,48.08369,-0.010773061,-0.010156569,6.719512,0.1741205,-0.013645858,8.278932,3.9198503,48.08369,48.08369,-0.014229333,-0.4971107,-0.024124684,-0.05897339,0.033019267,0.061341934,0.020344445,0.0211284,1,0
-0.15797666,1.6877867,0.0029773712,0.19172491,0.02914322,0.061341934,0,0,0,-0.015895508,5831.0264,6500,7300,5,6,False,48.08369,-0.010773061,-0.010156569,6.719512,0.1741205,-0.013807322,8.278932,3.9198503,48.08369,48.08369,-0.013486881,-0.17497712,-0.010157904,-0.062474422,0.035799813,0.04181349,0.020434212,0.021279387,1,0
-0.15797666,1.241277,0.0029773712,0.19172491,0.02914322,0.061341934,0,0,0,-0.015895508,5831.0264,6500,7300,5,6,False,48.08369,-0.010773061,-0.010156569,6.719512,0.1741205,-0.013386394,8.278932,3.9198503,48.08369,48.08369,-0.0123301875,-0.02026406,0.014789841,-0.06508775,0.014188724,0.024784725,0.020531429,0.021369744,1,0
-0.15797666,0.45961776,0.0029773712,0.19172491,0.02914322,0.061341934,0,0,0,-0.015895508,5831.0264,6500,7300,5,6,False,48.08369,-0.010773061,-0.010156569,6.719512,0.1741205,-0.013637707,8.278932,3.9198503,48.08369,48.08369,-0.011793487,-0.22984847,0.020780072,-0.06442544,0.003376612,-0.0006116052,0.020556016,0.021401117,1,0
