MAIRA Recording v5
Formula Vee - Classic @ Circuit de Ledenon -  (101s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-0.594961,-0.82199025,-5.531311E-05,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.017245818,8.093982,3.3096168,37.529022,37.529022,-0.00999609,0.21044937,0.021498956,0.030531393,-0.00048389754,0.0047383886,0.03907434,0.039207015,1,0
-0.594961,-0.7865365,-0.0019626617,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.017373174,8.093982,3.3096168,37.529022,37.529022,-0.010459073,0.22432083,0.017631639,0.030542495,0.0051185517,0.009163377,0.039079413,0.039224464,1,0
-0.594961,-0.7451078,-0.0035057068,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.017531581,8.093982,3.3096168,37.529022,37.529022,-0.010880187,0.24452178,0.014310001,0.029995333,0.0109278625,0.015909182,0.039101653,0.0392572,1,0
-0.594961,-0.70248884,-0.004398346,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.017756127,8.093982,3.3096168,37.529022,37.529022,-0.011279874,0.25874835,0.010122152,0.028799118,0.01615139,0.021970913,0.0391399,0.039311368,1,0
-0.594961,-0.65300727,-0.0036087036,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.018016271,8.093982,3.3096168,37.529022,37.529022,-0.01167655,0.26835608,0.004775405,0.027008595,0.01975222,0.024764897,0.039191358,0.039379217,1,0
-0.594961,-0.594961,-0.002128601,0.09082594,0.028325124,0.024873195,0,0,0,0.07845246,4846.714,6500,7400,4,4,False,37.529022,-0.012070816,0.022976669,6.719512,-0.028954444,0.018249944,8.093982,3.3096168,37.529022,37.529022,-0.012070816,0.27777457,-0.00055031595,0.02484745,0.022227312,0.024873195,0.039250005,0.039450254,1,0
-0.2653918,-0.5284855,0.0015659332,0.09745585,0.03355552,0.029533656,0,0,0,0.07141095,4850.96,6500,7400,4,4,False,37.536007,-0.014471076,0.022492215,6.719512,-0.029067209,0.018457068,8.718713,3.3093083,37.536003,37.536007,-0.012445021,0.29062054,-0.0042353217,0.022589808,0.02212771,0.024690779,0.039314292,0.039518878,1,0
-0.2653918,-0.46244758,0.003162384,0.09745585,0.03355552,0.029533656,0,0,0,0.07141095,4850.96,6500,7400,4,4,False,37.536007,-0.014471076,0.022492215,6.719512,-0.029067209,0.01870228,8.718713,3.3093083,37.536003,37.536007,-0.012841374,0.29044634,-0.008150086,0.020642608,0.02024489,0.022722427,0.039374784,0.039586756,1,0
-0.2653918,-0.39783362,0.003162384,0.09745585,0.03355552,0.029533656,0,0,0,0.07141095,4850.96,6500,7400,4,4,False,37.536007,-0.014471076,0.022492215,6.719512,-0.029067209,0.019003903,8.718713,3.3093083,37.536003,37.536007,-0.013249747,0.29529822,-0.012076877,0.019204207,0.016814286,0.01822708,0.039427858,0.039645944,1,0
-0.2653918,-0.34055084,0.003162384,0.09745585,0.03355552,0.029533656,0,0,0,0.07141095,4850.96,6500,7400,4,4,False,37.536007,-0.014471076,0.022492215,6.719512,-0.029067209,0.019319274,8.718713,3.3093083,37.536003,37.536007,-0.013664566,0.30359963,-0.015684012,0.01815992,0.012686043,0.011277656,0.039468907,0.039688792,1,0
