Gen 4 @ Vegas - Back Stretch
InputTorque60Hz,InputTorque500Hz
-7.0589027,-7.061561
-8.172232,-7.1295514
-8.172232,-7.191378
-8.172232,-7.451772
-8.172232,-7.8155074
-8.172232,-8.074885
-8.172232,-8.252134
-8.172232,-8.274178
-8.172232,-8.170019
-8.172232,-8.169512
-5.71701,-8.15976
-5.71701,-7.9111357
-5.71701,-7.654238
-5.71701,-7.386562
-5.71701,-7.0457454
-5.71701,-6.4343977
-5.71701,-5.9257927
-5.71701,-5.710003
-6.7192698,-5.3999424
-6.7192698,-5.5154
-6.7192698,-5.9323845
-6.7192698,-6.471513
-6.7192698,-6.8594513
-6.7192698,-6.9485936
-6.7192698,-6.8622904
-6.7192698,-6.716337
-4.6099415,-7.496692
-4.6099415,-7.708393
-4.6099415,-7.038031
-4.6099415,-5.839979
-4.6099415,-4.7898073
-4.6099415,-4.475939
-4.6099415,-4.5031924
-4.6099415,-4.612202
-4.6099415,-4.6127667
-4.0982375,-4.8926425
-4.0982375,-4.6013675
-4.0982375,-4.0410295
-4.0982375,-3.4577127
-4.0982375,-3.1782513
-4.0982375,-3.2048726
-4.0982375,-3.5767646
-4.0982375,-4.115164
-3.94592,-5.378522
-3.94592,-5.6569443
-3.94592,-5.40788
-3.94592,-4.898003
-3.94592,-4.524618
-3.94592,-4.1975603
-3.94592,-3.9998343
-3.94592,-3.9441628
-3.94592,-3.9432607
-4.0822845,-4.817535
-4.0822845,-4.8924565
-4.0822845,-4.7634287
-4.0822845,-4.6046634
-4.0822845,-4.595139
-4.0822845,-4.291037
-4.0822845,-4.0757337
-4.0822845,-4.0815554
-3.1350646,-3.9416707
-3.1350646,-3.6028395
-3.1350646,-3.2925568
-3.1350646,-3.0894141
-3.1350646,-3.028538
-3.1350646,-3.2548883
-3.1350646,-3.3248568
-3.1350646,-3.1320155
-3.4355676,-2.8048646
-3.4355676,-2.9458046
-3.4355676,-3.075233
-3.4355676,-3.1764836
-3.4355676,-3.3331792
-3.4355676,-3.4233708
-3.4355676,-3.451711
-3.4355676,-3.4352157
-3.4355676,-3.4352958
-5.6280413,-3.6840718
-5.6280413,-3.8205688
-5.6280413,-4.0999303
-5.6280413,-4.480569
-5.6280413,-4.80697
-5.6280413,-5.273291
-5.6280413,-5.5790753
-5.6280413,-5.630608
-5.2288504,-4.825558
-5.2288504,-4.457175
-5.2288504,-4.2153063
-5.2288504,-4.1482296
-5.2288504,-4.3172464
-5.2288504,-4.9290247
-5.2288504,-5.2867007
-5.2288504,-5.2288775
-3.3482893,-4.717269
-3.3482893,-4.609255
-3.3482893,-4.3804464
-3.3482893,-4.1006856
-3.3482893,-3.9946878
-3.3482893,-3.839193
-3.3482893,-3.589759
-3.3482893,-3.341248
-3.3482893,-3.34009
-4.6308317,-3.5165145
-4.6308317,-4.1862593
-4.6308317,-4.639729
-4.6308317,-4.7571177
-4.6308317,-4.6681895
-4.6308317,-4.600528
-4.6308317,-4.589461
-4.6308317,-4.6325145
-4.8540382,-4.679571
-4.8540382,-4.7873487
-4.8540382,-4.7639337
-4.8540382,-4.721293
-4.8540382,-4.8648405
-4.8540382,-4.873947
-4.8540382,-4.859277
-4.8540382,-4.8538756
-3.4359446,-4.925302
-3.4359446,-5.1332273
-3.4359446,-5.0328774
-3.4359446,-4.674196
-3.4359446,-4.2083917
-3.4359446,-3.868341
-3.4359446,-3.58748
-3.4359446,-3.4315944
-1.7820759,-2.6463091
-1.7820759,-2.2624056
-1.7820759,-2.1607885
-1.7820759,-2.1748376
-1.7820759,-2.0318615
-1.7820759,-1.9264097
-1.7820759,-1.841233
-1.7820759,-1.7791868
-1.7820759,-1.7799736
-1.1475886,-1.4970144
-1.1475886,-1.404002
-1.1475886,-1.3335454
-1.1475886,-1.189789
-1.1475886,-0.8366916
-1.1475886,-0.7712006
-1.1475886,-0.9276709
-1.1475886,-1.1530603
-2.4792557,-1.7252126
-2.4792557,-2.0186486
-2.4792557,-2.1748986
-2.4792557,-2.219979
-2.4792557,-2.2103972
-2.4792557,-2.287683
-2.4792557,-2.3919196
-2.4792557,-2.4818418
-2.4792557,-2.4821835
-2.592961,-3.206349
-2.592961,-3.2658083
-2.592961,-3.096933
-2.592961,-2.872903
-2.592961,-2.8091416
-2.592961,-2.6913338
-2.592961,-2.6107569
-2.592961,-2.592322
-1.3219795,-2.8342762
-1.3219795,-2.6780965
-1.3219795,-2.413051
-1.3219795,-2.143743
-1.3219795,-1.9762241
-1.3219795,-1.7665362
-1.3219795,-1.5287261
-1.3219795,-1.3152579
-0.4917043,-1.314195
-0.4917043,-1.1440296
-0.4917043,-0.9386725
-0.4917043,-0.75527155
-0.4917043,-0.63255495
-0.4917043,-0.52798855
-0.4917043,-0.482628
-0.4917043,-0.49170405
-0.4917043,-0.491704
-0.5354809,-0.7712877
-0.5354809,-0.77229655
-0.5354809,-0.7021206
-0.5354809,-0.60449207
-0.5354809,-0.5152224
-0.5354809,-0.49842748
-0.5354809,-0.5141717
-0.5354809,-0.5360369
-1.293984,-1.0858864
-1.293984,-1.2567275
-1.293984,-1.2601634
-1.293984,-1.1937342
-1.293984,-1.19288
-1.293984,-1.2468634
-1.293984,-1.2887672
-1.293984,-1.2942196
-1.7752479,-1.601694
-1.7752479,-1.6150812
-1.7752479,-1.484353
-1.7752479,-1.3554443
-1.7752479,-1.4341954
-1.7752479,-1.5511427
-1.7752479,-1.6778481
-1.7752479,-1.7781163
-1.7752479,-1.7786053
-2.9239678,-1.6888828
-2.9239678,-1.780429
-2.9239678,-1.9152786
-2.9239678,-2.070807
-2.9239678,-2.2462895
-2.9239678,-2.4914365
-2.9239678,-2.7248697
-2.9239678,-2.9292908
-4.0987053,-2.9656427
-4.0987053,-3.1673596
-4.0987053,-3.3967881
-4.0987053,-3.6087937
-4.0987053,-3.7764351
-4.0987053,-3.905761
-4.0987053,-4.015139
-4.0987053,-4.1014824
-4.71445,-3.8701625
-4.71445,-3.9223711
-4.71445,-4.1748223
-4.71445,-4.5288873
-4.71445,-4.831099
-4.71445,-4.922999
-4.71445,-4.8555894
-4.71445,-4.711526
-4.71445,-4.710096
-3.8267612,-3.786495
-3.8267612,-3.65456
-3.8267612,-3.7310567
-3.8267612,-3.8754902
-3.8267612,-3.950189
-3.8267612,-3.9555507
-3.8267612,-3.9029627
-3.8267612,-3.8246121
-3.368934,-2.9837532
-3.368934,-2.9644196
-3.368934,-3.166286
-3.368934,-3.4611475
-3.368934,-3.758832
-3.368934,-3.8066816
-3.368934,-3.6350899
-3.368934,-3.3617058
-2.8465395,-2.776207
-2.8465395,-2.6074505
-2.8465395,-2.5914063
-2.8465395,-2.6695986
-2.8465395,-2.7722607
-2.8465395,-2.8166423
-2.8465395,-2.83627
-2.8465395,-2.8468778
-2.071365,-3.1501155
-2.071365,-3.130217
-2.071365,-3.0328286
-2.071365,-2.9271247
-2.071365,-2.8781607
-2.071365,-2.6770103
-2.071365,-2.3751929
-2.071365,-2.0619025
-2.071365,-2.0621924
-0.72055876,-1.9454191
-0.72055876,-1.5472374
-0.72055876,-1.25213
-0.72055876,-1.0787002
-0.72055876,-1.0001218
-0.72055876,-0.8869405
-0.72055876,-0.7821359
-0.72055876,-0.7183231
-0.8543917,-1.3180763
-0.8543917,-1.1914451
-0.8543917,-0.87091064
-0.8543917,-0.5536066
-0.8543917,-0.4379055
-0.8543917,-0.54930866
-0.8543917,-0.7237444
-0.8543917,-0.85808134
-0.8543917,-0.8587555
-1.5669737,-1.568495
-1.5669737,-1.5034134
