Gen 4 @ Vegas - TriOval
InputTorque60Hz,InputTorque500Hz
-1.2580923,-1.2568381
-2.3574302,-1.3803593
-2.3574302,-1.2338892
-2.3574302,-0.9607719
-2.3574302,-0.778322
-2.3574302,-0.971817
-2.3574302,-1.2480074
-2.3574302,-1.8159685
-2.3574302,-2.381577
-4.671869,-5.491666
-4.671869,-6.9365077
-4.671869,-7.292701
-4.671869,-6.837244
-4.671869,-6.107275
-4.671869,-5.291145
-4.671869,-4.776299
-4.671869,-4.667295
-5.7986,-4.9299507
-5.7986,-4.8810043
-5.7986,-4.7384524
-5.7986,-4.681366
-5.7986,-4.9214444
-5.7986,-5.1966066
-5.7986,-5.5100474
-5.7986,-5.806509
-5.7986,-5.8082995
-5.089583,-5.0442457
-5.089583,-4.625251
-5.089583,-4.81478
-5.089583,-5.4706206
-5.089583,-6.2255163
-5.089583,-6.3474994
-5.089583,-5.850779
-3.465027,-2.8169816
-3.465027,-2.37623
-3.465027,-3.1609306
-3.465027,-4.633475
-3.465027,-5.4698944
-3.465027,-5.122197
-3.465027,-4.260258
-3.465027,-3.4432962
-4.5682726,-2.8258824
-4.5682726,-2.8818653
-4.5682726,-3.021886
-4.5682726,-3.1189682
-4.5682726,-3.1163445
-4.5682726,-3.5733836
-4.5682726,-4.1543365
-4.5682726,-4.5574045
-4.5682726,-4.5884347
-4.955228,-4.500198
-4.955228,-4.4652476
-4.955228,-4.46527
-4.955228,-4.5730815
-4.955228,-4.887008
-4.955228,-5.172572
-4.955228,-5.150457
-4.955228,-4.949958
-2.5135999,-4.351186
-2.5135999,-3.8431504
-2.5135999,-3.4821115
-2.5135999,-3.2769566
-2.5135999,-3.1929278
-2.5135999,-3.029403
-2.5135999,-2.7791321
-2.5135999,-2.5062516
-1.5028208,-2.5511918
-1.5028208,-3.2558012
-1.5028208,-3.6927571
-1.5028208,-3.6077797
-1.5028208,-2.8683195
-1.5028208,-1.9943634
-1.5028208,-1.4996284
-2.8083541,-1.9799249
-2.8083541,-2.1675346
-2.8083541,-2.3761241
-2.8083541,-2.6011791
-2.8083541,-2.7943296
-2.8083541,-2.9453347
-2.8083541,-2.9443135
-2.8083541,-2.8055527
-2.8083541,-2.8045213
-2.8083541,-2.8083541
-1.6290696,-3.376638
-1.6290696,-3.736774
-1.6290696,-3.8112605
-1.6290696,-3.594953
-1.6290696,-3.04402
-1.6290696,-2.2273545
-1.6290696,-1.7662444
-1.6290696,-1.589211
-2.4144554,-2.172091
-2.4144554,-2.4807608
-2.4144554,-2.369483
-2.4144554,-1.9984398
-2.4144554,-1.6658123
-2.4144554,-1.8585383
-2.4144554,-2.1854687
-2.4144554,-2.424252
0.75177586,-1.9885719
0.75177586,-0.9242141
0.75177586,-0.09760137
0.75177586,0.61224365
0.75177586,1.1991768
0.75177586,1.682005
0.75177586,1.4387646
0.75177586,0.7328241
-3.6627738,-0.9794625
-3.6627738,-2.0251071
-3.6627738,-2.5701065
-3.6627738,-2.7356377
-3.6627738,-2.769791
-3.6627738,-2.9914737
-3.6627738,-3.3297813
-3.6627738,-3.671992
-3.6627738,-3.6735506
-2.5561364,-4.496958
-2.5561364,-4.572147
-2.5561364,-4.6702843
-2.5561364,-4.640136
-2.5561364,-4.123259
-2.5561364,-3.2270696
-2.5561364,-2.6263928
-2.5561364,-2.551851
-4.151006,-3.176912
-4.151006,-4.3435593
-4.151006,-5.196162
-4.151006,-5.500506
-4.151006,-5.058137
-4.151006,-4.6262245
-4.151006,-4.3031235
-4.151006,-4.1459403
-5.812807,-2.217161
-5.812807,-0.1669473
-5.812807,0.99317205
-5.812807,0.7215264
-5.812807,-0.8884413
-5.812807,-3.067954
-5.812807,-4.8755536
-5.812807,-5.8415284
-1.9306034,-4.7406044
-1.9306034,-4.286079
-1.9306034,-4.8342237
-1.9306034,-6.087736
-1.9306034,-6.846231
-1.9306034,-5.9436345
-1.9306034,-4.050881
-1.9306034,-1.9525962
-6.6613703,-1.3378685
-6.6613703,-3.4300926
-6.6613703,-5.359347
-6.6613703,-6.178495
-6.6613703,-5.95391
-6.6613703,-5.8869586
-6.6613703,-6.1558213
-6.6613703,-6.688801
-6.6613703,-6.676573
-6.07757,-5.9962244
-6.07757,-5.1865225
-6.07757,-5.132108
-6.07757,-5.7050414
-6.07757,-6.230336
-6.07757,-6.833576
-6.07757,-6.77604
-6.07757,-6.0612454
-4.816336,-3.3466191
-4.816336,-2.5487106
-4.816336,-2.9166636
-4.816336,-4.1562195
-4.816336,-5.0392704
-4.816336,-5.584423
-4.816336,-5.5286217
-4.816336,-4.824893
-3.373592,-2.910945
-3.373592,-1.8572166
-3.373592,-1.6238256
-3.373592,-2.2767088
-3.373592,-3.7517076
-3.373592,-4.1755495
-3.373592,-3.9188337
-3.373592,-3.3454292
-3.373592,-3.3572903
-2.9580767,-3.2431047
-2.9580767,-3.9062016
-2.9580767,-5.135095
-2.9580767,-6.4421234
-2.9580767,-6.7759557
-2.9580767,-5.295185
-2.9580767,-3.743486
-2.9580767,-2.9341924
-6.875681,-5.689114
-6.875681,-7.8465962
-6.875681,-8.96433
-6.875681,-8.48336
-6.875681,-6.705519
-6.875681,-6.2578583
-6.875681,-6.5268335
