Gen 4 @ Vegas - Turn 3
InputTorque60Hz,InputTorque500Hz
-3.088377,-3.0851147
-0.3064627,-3.0144203
-0.3064627,-2.820769
-0.3064627,-2.4197686
-0.3064627,-1.8479195
-0.3064627,-1.1683482
-0.3064627,-0.70328206
-0.3064627,-0.43064338
-0.3064627,-0.30245614
-0.3064627,-0.30145803
0.87278295,-0.095327646
0.87278295,0.098597884
0.87278295,0.23820256
0.87278295,0.34459236
0.87278295,0.4402229
0.87278295,0.6425898
0.87278295,0.8071064
0.87278295,0.8750285
0.4324858,0.6382754
0.4324858,0.83227277
0.4324858,1.0777895
0.4324858,1.2212203
0.4324858,1.227855
0.4324858,1.0560688
0.4324858,0.75009155
0.4324858,0.4143094
-1.8687879,-0.31702632
-1.8687879,0.5403473
-1.8687879,1.0084345
-1.8687879,0.68074447
-1.8687879,-0.75888836
-1.8687879,-1.7225642
-1.8687879,-2.1191828
-1.8687879,-1.8643577
-1.6034484,-1.5133011
-1.6034484,-0.9038262
-1.6034484,-0.42486718
-1.6034484,-0.2213541
-1.6034484,-0.38096982
-1.6034484,-0.7128672
-1.6034484,-1.1658047
-1.6034484,-1.6167458
-1.6034484,-1.6178191
-2.4956925,-2.1576426
-2.4956925,-2.2443833
-2.4956925,-2.280895
-2.4956925,-2.295787
-2.4956925,-2.269737
-2.4956925,-2.2855184
-2.4956925,-2.3714602
-2.4956925,-2.5045197
-4.598693,-2.3702521
-4.598693,-2.5792062
-4.598693,-2.9820647
-4.598693,-3.461649
-4.598693,-3.8851254
-4.598693,-4.193391
-4.598693,-4.4477053
-4.598693,-4.603348
-4.926542,-4.131206
-4.926542,-4.2626286
-4.926542,-4.536695
-4.926542,-4.7998986
-4.926542,-4.899305
-4.926542,-4.9750643
-4.926542,-4.980704
-4.926542,-4.924586
-4.926542,-4.92512
-4.6440206,-4.050162
-4.6440206,-4.0735188
-4.6440206,-4.350557
-4.6440206,-4.7418227
-4.6440206,-5.1019955
-4.6440206,-5.216257
-4.6440206,-5.020924
-4.6440206,-4.62983
-5.363207,-3.6452022
-5.363207,-3.7398274
-5.363207,-4.1092544
-5.363207,-4.5909395
-5.363207,-4.979489
-5.363207,-5.1942463
-5.363207,-5.318571
-5.7529106,-4.8501153
-5.7529106,-4.9307914
-5.7529106,-5.1599183
-5.7529106,-5.4539466
-5.7529106,-5.682841
-5.7529106,-5.809978
-5.7529106,-5.8162303
-5.7529106,-5.751384
-5.7529106,-5.75114
-5.752209,-5.036804
-5.752209,-4.865532
-5.752209,-4.9613485
-5.752209,-5.158372
-5.752209,-5.3624387
-5.752209,-5.549506
-5.752209,-5.6853867
-5.752209,-5.754447
-4.0730634,-5.4288983
-4.0730634,-5.375474
-4.0730634,-5.266943
-4.0730634,-5.039367
-4.0730634,-4.6518817
-4.0730634,-4.35518
-4.0730634,-4.1628566
-4.0730634,-4.069034
-3.3166864,-4.633681
-3.3166864,-4.8346033
-3.3166864,-4.707329
-3.3166864,-4.370702
-3.3166864,-4.017642
-3.3166864,-3.746324
-3.3166864,-3.50336
-3.3166864,-3.3115313
-3.3166864,-3.3101408
-2.7770238,-3.0501835
-2.7770238,-2.9894063
-2.7770238,-3.0101385
-2.7770238,-3.0675018
-2.7770238,-3.1044993
-2.7770238,-3.0934744
-2.7770238,-2.970828
-2.7770238,-2.7687962
-1.7828785,-3.4276204
-1.7828785,-3.535443
-1.7828785,-3.38484
-1.7828785,-3.0736434
-1.7828785,-2.744233
-1.7828785,-2.4969144
-1.7828785,-2.170677
-1.7828785,-1.7742561
-1.7828785,-1.7702013
-0.7646582,-1.6832676
-0.7646582,-1.3220373
-0.7646582,-0.8490412
-0.7646582,-0.5077412
-0.7646582,-0.6467652
