MAIRA Recording v5
Mazda MX-5 Cup @ Virginia International Raceway - North (101s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
2.8681123,2.9033544,-0.009624481,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.048572037,3620.583,1.4370399,50.597393,50.597733,0.18956369,-2.698864,-0.039193384,-0.057720132,0.07140262,0.04715565,0.14592013,0.14412305,1,0
2.8681123,2.88054,-0.005754471,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.048556875,3620.583,1.4370399,50.597393,50.597733,0.18870541,-2.6998024,-0.039526235,-0.059187226,0.07028569,0.04329568,0.14612171,0.14425136,1,0
2.8681123,2.830266,-0.0007801056,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.04855633,3620.583,1.4370399,50.597393,50.597733,0.18786915,-2.691969,-0.039293244,-0.060589444,0.064203374,0.03963115,0.14631146,0.1443656,1,0
2.8681123,2.806439,0.008665085,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.048549015,3620.583,1.4370399,50.597393,50.597733,0.18703754,-2.6914866,-0.038979467,-0.061831307,0.055350136,0.03645211,0.14647944,0.14447083,1,0
2.8681123,2.8304467,0.01134491,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.048479762,3620.583,1.4370399,50.597393,50.597733,0.18621543,-2.68824,-0.038997512,-0.0628081,0.045732547,0.032072008,0.1466202,0.14456756,1,0
2.8681123,2.8681123,0.011831284,0.05722577,0.272036,0.07140262,0,0,0,-0.026113173,6915.8057,7200,7525,4,6,False,50.597733,0.18543859,-0.043288868,17.278645,-0.07249876,-0.04832071,3620.583,1.4370399,50.597393,50.597733,0.18543859,-2.6677618,-0.039317455,-0.06347655,0.037308436,0.026254069,0.14673416,0.14465013,1,0
2.6963444,2.8251944,0.011539459,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.04810459,3621.4248,1.4378352,50.60834,50.60866,0.18476504,-2.6210692,-0.039593942,-0.063781895,0.030429587,0.020583125,0.14682664,0.14471486,1,0
2.6963444,2.7739441,0.01042366,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.047813367,3621.4248,1.4378352,50.60834,50.60866,0.18407956,-2.6142104,-0.040248718,-0.063542046,0.02496857,0.015731992,0.14690207,0.14476418,1,0
2.6963444,2.7346714,0.00730896,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.047426853,3621.4248,1.4378352,50.60834,50.60866,0.18327738,-2.6413276,-0.04149497,-0.062752895,0.019263627,0.010856457,0.14696424,0.14480148,1,0
2.6963444,2.7156596,-0.0021419525,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.046971545,3621.4248,1.4378352,50.60834,50.60866,0.18241419,-2.6427145,-0.0433528,-0.061709676,0.012094187,0.004716808,0.14700988,0.14482485,1,0
2.6963444,2.7072923,-0.0067424774,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.04645599,3621.4248,1.4378352,50.60834,50.60866,0.18155196,-2.61908,-0.04563826,-0.060367525,0.0030449426,-0.003009285,0.14703324,0.14482851,1,0
2.6963444,2.6963444,-0.010040283,0.05634014,0.26360273,0.046893436,0,0,0,-0.031281956,6915.6914,7200,7525,4,6,False,50.60866,0.18070985,-0.043288868,17.278645,0,-0.045865767,3621.4248,1.4378352,50.60834,50.60866,0.18070985,-2.58506,-0.047773253,-0.058412664,-0.007986853,-0.011942656,0.14702816,0.1448088,1,0
2.4198153,2.686223,-0.0035324097,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.045215447,0.061175995,1.4385703,50.618813,50.61912,0.17993177,-2.5331454,-0.049296148,-0.055788446,-0.01755132,-0.019919936,0.14699003,0.1447629,1,0
2.4198153,2.6628392,0.0013237,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.044513114,0.061175995,1.4385703,50.618813,50.61912,0.17923911,-2.4696949,-0.049878445,-0.052629307,-0.022591325,-0.026227452,0.14692917,0.14469704,1,0
2.4198153,2.6067624,0.0059375763,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.043818127,0.061175995,1.4385703,50.618813,50.61912,0.17869346,-2.3821228,-0.04876334,-0.049054787,-0.027288046,-0.031034296,0.14686066,0.1446162,1,0
2.4198153,2.539285,0.0110321045,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.04313011,0.061175995,1.4385703,50.618813,50.61912,0.17817512,-2.3377466,-0.04686331,-0.04501178,-0.031705182,-0.034821063,0.14677858,0.1445238,1,0
2.4198153,2.4828851,0.010560989,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.042457726,0.061175995,1.4385703,50.618813,50.61912,0.1776575,-2.3048315,-0.0444214,-0.040614072,-0.032038946,-0.036405418,0.14668466,0.14442214,1,0
2.4198153,2.4198153,0.008066177,0.051359963,0.23178028,0.07285425,0,0,0,-0.040481802,6909.9033,7200,7525,4,6,False,50.61912,0.17713922,-0.043531094,17.278645,-0.014533549,-0.041835703,0.061175995,1.4385703,50.618813,50.61912,0.17713922,-2.272988,-0.04116614,-0.03618402,-0.030033883,-0.03582291,0.14659612,0.14431982,1,0
1.9062535,2.3719294,-0.0088272095,0.045225862,0.21490398,0.066613436,0,0,0,-0.048575357,6904.7754,7200,7525,4,6,False,50.628345,0.17362669,-0.04449812,17.278645,-0.05802154,-0.04125688,0.90334564,1.439244,50.628048,50.628345,0.17651546,-2.2811255,-0.037544042,-0.032001093,-0.02847196,-0.033780202,0.14651608,0.14422178,1,0
1.9062535,2.3409069,-0.010686874,0.045225862,0.21490398,0.066613436,0,0,0,-0.048575357,6904.7754,7200,7525,4,6,False,50.628345,0.17362669,-0.04449812,17.278645,-0.05802154,-0.04068425,0.90334564,1.439244,50.628048,50.628345,0.17574042,-2.3074632,-0.03433394,-0.02807674,-0.025881857,-0.03319643,0.14643918,0.14413111,1,0
1.9062535,2.311494,-0.010507584,0.045225862,0.21490398,0.066613436,0,0,0,-0.048575357,6904.7754,7200,7525,4,6,False,50.628345,0.17362669,-0.04449812,17.278645,-0.05802154,-0.040164016,0.90334564,1.439244,50.628048,50.628345,0.17502001,-2.260333,-0.03037701,-0.024433982,-0.021874595,-0.034344085,0.14637081,0.14403966,1,0
