MAIRA Recording v5
Mini Stock @ South Boston Speedway -  (16s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-1.4293575,-1.5952356,-0.011959076,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.07090999,584.4035,4.907785,39.39721,39.39788,0.25864077,-0.4576627,-0.0069232704,0.0063690576,0.0067520034,0.020349171,0.11870262,0.09260222,1,0
-1.4293575,-1.4894888,-0.023860931,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.07221497,584.4035,4.907785,39.39721,39.39788,0.25308597,-0.47724545,-0.0104828095,0.0050499593,0.014222391,0.03028176,0.11873096,0.092672855,1,0
-1.4293575,-1.4804335,-0.023860931,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.07359107,584.4035,4.907785,39.39721,39.39788,0.24736756,-0.48542404,-0.015040682,0.0035871756,0.020411322,0.03802071,0.1187813,0.092769176,1,0
-1.4293575,-1.5485258,-0.023860931,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.07500469,584.4035,4.907785,39.39721,39.39788,0.24150144,-0.48646623,-0.020375095,0.0020025794,0.026463252,0.041917227,0.11884543,0.09288335,1,0
-1.4293575,-1.4682597,-0.023860931,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.076451994,584.4035,4.907785,39.39721,39.39788,0.23557244,-0.4564758,-0.025930364,0.00032340907,0.034207486,0.039495237,0.11892778,0.09300238,1,0
-1.4293575,-1.4293575,-0.023860931,0.3024074,0.039669737,0.041917227,0,0,0,0.6844614,7278.8696,7000,7600,3,5,False,39.39788,0.22968087,0.119228415,13.683369,0.5949461,0.077927805,584.4035,4.907785,39.39721,39.39788,0.22968087,-0.38902724,-0.031002829,-0.0014041805,0.04053419,0.03125875,0.11903396,0.09310585,1,0
-1.6928858,-1.4013238,-0.031171799,0.30436915,0.024276445,0.040688206,0,0,0,0.67976063,7288.2646,7000,7600,3,5,False,39.444443,0.1976467,0.12817617,13.683369,0.5368651,0.0794166,585.0627,4.9064093,39.443947,39.444443,0.22395676,-0.2733965,-0.03461079,-0.0031036246,0.040688206,0.022386178,0.11915207,0.09317958,1,0
-1.6928858,-1.4141383,-0.032518387,0.30436915,0.024276445,0.040688206,0,0,0,0.67976063,7288.2646,7000,7600,3,5,False,39.444443,0.1976467,0.12817617,13.683369,0.5368651,0.08091038,585.0627,4.9064093,39.443947,39.444443,0.21846862,-0.13174963,-0.036192205,-0.0047262358,0.03376285,0.018503468,0.1192601,0.093232125,1,0
-1.6928858,-1.4236625,-0.027694702,0.30436915,0.024276445,0.040688206,0,0,0,0.67976063,7288.2646,7000,7600,3,5,False,39.444443,0.1976467,0.12817617,13.683369,0.5368651,0.08242135,585.0627,4.9064093,39.443947,39.444443,0.21316966,-0.0055143833,-0.036043398,-0.006266365,0.024641091,0.018803433,0.119341135,0.09328097,1,0
-1.6928858,-1.4710367,-0.0043087006,0.30436915,0.024276445,0.040688206,0,0,0,0.67976063,7288.2646,7000,7600,3,5,False,39.444443,0.1976467,0.12817617,13.683369,0.5368651,0.08394467,585.0627,4.9064093,39.443947,39.444443,0.20795111,0.08369541,-0.034921456,-0.007720115,0.018405402,0.018672371,0.11939815,0.09333423,1,0
