MAIRA Recording v5
Renault Clio R.S. V @ Watkins Glen - Cup (86s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
0.5000393,0.893687,-0.004255295,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.010995891,5.334819,0.062800884,49.43083,49.43084,0.035146076,-0.6139917,-0.0001843042,0.00064959703,-0.02641344,0.006190214,0.09460883,0.093055606,1,0
0.5000393,0.9516542,-0.003927231,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.010442383,5.334819,0.062800884,49.43083,49.43084,0.035215475,-0.5692613,0.0008605204,0.00023627677,-0.028343543,0.005859707,0.09453222,0.09307168,1,0
0.5000393,0.87124366,-0.003927231,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.009877587,5.334819,0.062800884,49.43083,49.43084,0.03527171,-0.54801065,0.0029981008,5.0633887E-05,-0.027738074,0.0054707704,0.09445128,0.093087256,1,0
0.5000393,0.744489,-0.003927231,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.00937272,5.334819,0.062800884,49.43083,49.43084,0.03530664,-0.53194773,0.0057951254,7.2481664E-05,-0.024426159,0.004505583,0.09437648,0.09310177,1,0
0.5000393,0.6054977,-0.003927231,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.008977264,5.334819,0.062800884,49.43083,49.43084,0.03530539,-0.5262008,0.008797413,0.00031920042,-0.019987203,0.003041452,0.094314516,0.093112774,1,0
0.5000393,0.5000393,-0.003927231,0.059286095,0.053657312,0.028809281,0,0,0,-0.0087466305,5372.979,5550,6500,5,5,False,49.43084,0.035269402,-0.0079793595,11.519177,-0.10150959,-0.008739399,5.334819,0.062800884,49.43083,49.43084,0.035269402,-0.5261985,0.011239343,0.0007059946,-0.015171046,0.0015920115,0.09426562,0.0931189,1,0
0.31584233,0.3944681,-0.0028800964,0.06459225,0.04882209,0.04703116,0,0,0,-0.005326148,5374.6494,5550,6500,5,5,False,49.447247,0.035072763,-0.0070123347,11.519177,0.058021486,-0.008675647,6.159072,0.062949896,49.447235,49.447247,0.035206858,-0.53096855,0.012557532,0.0011980904,-0.010139023,0.0002654589,0.09423051,0.09312107,1,0
0.31584233,0.40281224,-0.0012588501,0.06459225,0.04882209,0.04703116,0,0,0,-0.005326148,5374.6494,5550,6500,5,5,False,49.447247,0.035072763,-0.0070123347,11.519177,0.058021486,-0.008722958,6.159072,0.062949896,49.447235,49.447247,0.035110757,-0.54426837,0.01257127,0.0018341902,-0.0048305374,0.00066395156,0.0942094,0.09311987,1,0
0.31584233,0.43463027,0.00051116943,0.06459225,0.04882209,0.04703116,0,0,0,-0.005326148,5374.6494,5550,6500,5,5,False,49.447247,0.035072763,-0.0070123347,11.519177,0.058021486,-0.008833851,6.159072,0.062949896,49.447235,49.447247,0.03498563,-0.55743814,0.011039527,0.0025726908,0.0004684468,0.002616088,0.09420359,0.09312288,1,0
0.31584233,0.4433833,0.003479004,0.06459225,0.04882209,0.04703116,0,0,0,-0.005326148,5374.6494,5550,6500,5,5,False,49.447247,0.035072763,-0.0070123347,11.519177,0.058021486,-0.009001832,6.159072,0.062949896,49.447235,49.447247,0.034900814,-0.5468968,0.008407913,0.0032948244,0.005172202,0.0050530396,0.09421224,0.09313321,1,0
