Super Formula Light @ Imola - Corners 14 & 15
InputTorque60Hz,InputTorque500Hz
17.902235,17.899124
17.502924,17.957605
17.502924,18.50889
17.502924,18.915611
17.502924,18.970392
17.502924,18.55716
17.502924,17.854334
17.502924,17.521786
17.502924,17.492483
19.065742,18.107586
19.065742,18.55396
19.065742,18.698662
19.065742,18.624992
19.065742,18.537035
19.065742,18.536963
19.065742,18.73655
19.065742,19.075281
20.704437,19.489944
20.704437,19.624598
20.704437,19.625772
20.704437,19.60943
20.704437,19.73917
20.704437,20.22687
20.704437,20.609503
20.704437,20.708221
18.431234,19.517155
18.431234,18.366997
18.431234,17.955437
18.431234,18.263325
18.431234,19.041168
18.431234,19.288311
18.431234,19.0053
18.431234,18.41314
18.431234,18.420532
18.87729,18.26951
18.87729,19.030449
18.87729,19.761957
18.87729,20.077665
18.87729,19.606325
18.87729,19.024702
18.87729,18.75022
18.87729,18.8793
19.581366,19.28961
19.581366,19.317263
19.581366,19.167732
19.581366,18.971367
19.581366,18.94426
19.581366,19.078533
19.581366,19.321606
19.581366,19.583475
20.117958,19.593716
20.117958,19.362906
20.117958,18.9636
20.117958,18.616648
20.117958,18.617098
20.117958,19.054258
20.117958,19.65506
20.117958,20.130747
20.117958,20.130526
19.349213,20.04987
19.349213,19.77943
19.349213,19.610352
19.349213,19.560234
19.349213,19.583412
19.349213,19.532093
19.349213,19.440706
19.349213,19.345287
19.546408,19.576244
19.546408,19.921503
19.546408,20.12253
19.546408,20.110292
19.546408,19.87207
19.546408,19.661999
19.546408,19.549618
19.546408,19.545835
18.625284,19.529919
18.625284,19.376907
18.625284,19.216497
18.625284,19.073296
18.625284,18.958397
18.625284,18.851416
18.625284,18.734509
18.625284,18.622025
18.625284,18.623167
18.673065,18.635916
18.673065,18.65125
18.673065,18.692047
18.673065,18.77434
18.673065,18.91101
18.673065,18.920015
18.673065,18.81974
18.673065,18.664305
18.509783,18.469028
18.509783,18.416828
18.509783,18.445986
18.509783,18.532469
18.509783,18.608208
18.509783,18.605654
18.509783,18.560637
18.509783,18.510183
19.20038,18.564285
19.20038,18.646585
19.20038,18.751698
19.20038,18.843233
19.20038,18.872953
19.20038,18.968674
19.20038,19.093338
19.20038,19.203228
19.20038,19.201973
19.36863,19.477848
19.36863,19.470182
19.36863,19.331831
19.36863,19.100605
19.36863,18.82433
19.36863,18.82923
19.36863,19.057106
19.36863,19.377096
20.038702,19.771914
20.038702,19.89652
20.038702,19.983727
20.038702,20.057056
20.038702,20.127264
20.038702,20.142876
20.038702,20.106009
20.038702,20.038033
19.367723,20.006203
19.367723,19.968468
19.367723,19.87709
19.367723,19.725029
19.367723,19.518803
19.367723,19.401299
19.367723,19.359457
19.367723,19.367697
19.367723,19.367708
19.827042,19.11245
19.827042,18.989817
19.827042,19.008472
19.827042,19.166376
19.827042,19.431295
19.827042,19.61957
19.827042,19.752045
19.827042,19.829256
21.611696,20.156662
21.611696,20.461596
21.611696,20.791903
21.611696,21.065536
21.611696,21.185066
21.611696,21.404404
21.611696,21.571104
21.611696,21.61221
21.06064,21.4203
21.06064,21.354557
21.06064,21.389807
21.06064,21.464964
21.06064,21.470125
21.06064,21.363909
21.06064,21.2047
21.06064,21.057053
21.06064,21.058783
20.051067,20.669086
20.051067,20.458157
20.051067,20.185423
20.051067,19.922659
20.051067,19.826622
20.051067,19.923187
20.051067,20.025957
20.051067,20.054955
19.105837,19.74848
19.105837,19.49022
19.105837,19.338484
19.105837,19.284948
19.105837,19.27412
19.105837,19.200245
19.105837,19.133308
17.5689,18.997648
17.5689,18.700409
17.5689,18.334265
17.5689,18.09847
17.5689,17.951948
17.5689,17.84461
17.5689,17.66477
17.5689,17.550732
17.5689,17.5689
14.621418,17.268684
14.621418,17.025555
14.621418,16.824347
14.621418,16.556658
14.621418,16.027094
14.621418,15.392824
14.621418,14.878586
14.621418,14.611115
15.197304,14.84069
15.197304,14.995457
15.197304,15.105567
15.197304,15.214229
15.197304,15.492739
15.197304,15.595006
15.197304,15.481211
15.197304,15.200608
15.079425,14.942244
15.079425,14.649748
15.079425,14.431205
15.079425,14.380654
15.079425,14.577047
15.079425,14.791874
15.079425,14.973937
15.079425,15.082657
15.079425,15.080564
15.250141,15.16113
15.250141,15.134226
15.250141,15.28232
15.250141,15.531947
15.250141,15.704315
15.250141,15.71395
15.250141,15.53107
15.250141,15.2378
15.531629,15.003992
15.531629,15.069569
15.531629,15.126874
15.531629,15.167975
15.531629,15.230571
15.531629,15.406666
15.531629,15.525614
15.531629,15.532247
15.125721,15.421139
15.125721,15.399439
15.125721,15.429772
15.125721,15.46156
15.125721,15.420252
15.125721,15.220411
15.125721,15.099199
15.125721,15.125872
15.125721,15.125835
13.924943,15.167481
13.924943,15.153031
13.924943,15.009973
13.924943,14.795253
13.924943,14.61555
13.924943,14.449532
13.924943,14.205872
13.924943,13.915116
14.12947,13.568196
14.12947,13.550747
14.12947,13.635014
14.12947,13.7380705
14.12947,13.753992
14.12947,13.833943
14.12947,13.976342
14.12947,14.131198
15.927632,14.513588
15.927632,14.825366
15.927632,15.206646
15.927632,15.579996
15.927632,15.829621
15.927632,15.953266
15.927632,15.972167
15.927632,15.926815
15.927632,15.927258
18.837467,15.56954
18.837467,15.525643
18.837467,15.776133
18.837467,16.289892
18.837467,16.978182
18.837467,17.639006
18.837467,18.297264
18.837467,18.85928
20.80896,19.300571
20.80896,19.903849
20.80896,20.472666
20.80896,20.868725
20.80896,20.941214
20.80896,20.943396
20.80896,20.885931
20.80896,20.806692
19.85941,20.110489
19.85941,19.99232
19.85941,20.115128
19.85941,20.313026
19.85941,20.365482
19.85941,20.183016
19.85941,19.975193
19.85941,19.854607
19.85941,19.85713
17.247477,19.359838
17.247477,19.048456
17.247477,18.643532
17.247477,18.239542
17.247477,17.943655
17.247477,17.7631
17.247477,17.52934
17.247477,17.216852
13.802158,16.709114
13.802158,16.566275
13.802158,16.361258
13.802158,15.955092
13.802158,15.221866
13.802158,14.5859
13.802158,14.086145
13.802158,13.776739
11.011605,13.520467
11.011605,12.946906
11.011605,12.548244
11.011605,12.30512
11.011605,12.185997
11.011605,11.853576
11.011605,11.367851
11.011605,10.96384
9.440205,10.542107
9.440205,10.288208
9.440205,9.961235
9.440205,9.630705
9.440205,9.449057
9.440205,9.457473
9.440205,9.47688
9.440205,9.439348
8.386842,9.503688
8.386842,9.2371025
8.386842,9.012603
8.386842,8.839509
8.386842,8.660402
8.386842,8.542204
8.386842,8.452958
8.386842,8.385284
7.7344737,8.623703
7.7344737,8.504731
7.7344737,8.304702
7.7344737,8.115903
7.7344737,8.034201
7.7344737,7.9946303
7.7344737,7.892036
7.7344737,7.728687
7.7344737,7.731349
7.400407,7.7976027
7.400407,7.8135953
7.400407,7.7683816
7.400407,7.6685104
7.400407,7.5322328
7.400407,7.4661226
7.400407,7.427535
7.400407,7.39908
7.8828244,7.401707
7.8828244,7.274028
7.8828244,7.2710447
7.8828244,7.4238615
7.8828244,7.7132316
7.8828244,7.874835
7.8828244,7.9210267
7.8828244,7.8821917
9.998145,8.1276
9.998145,8.287962
9.998145,8.527536
9.998145,8.867334
9.998145,9.314717
9.998145,9.705165
9.998145,9.942028
9.998145,10.000394
9.998145,10.00061
9.830169,10.009969
9.830169,9.914287
9.830169,9.89244
9.830169,9.922584
9.830169,9.927091
9.830169,9.867823
9.830169,9.826147
9.830169,9.830089
10.796607,9.974354
10.796607,10.127458
10.796607,10.2398205
10.796607,10.313068
10.796607,10.368253
10.796607,10.533692
10.796607,10.697809
10.796607,10.799481
10.81943,10.879958
10.81943,11.019173
10.81943,11.1289425
10.81943,11.17656
10.81943,11.13842
10.81943,10.959919
10.81943,10.831367
10.81943,10.818586
10.81943,10.8187895
10.875739,10.681284
10.875739,10.633119
10.875739,10.535632
10.875739,10.44606
10.875739,10.458896
10.875739,10.548203
10.875739,10.70571
10.875739,10.881667
11.902543,10.958781
11.902543,11.141246
11.902543,11.3251705
11.902543,11.480523
11.902543,11.600274
11.902543,11.710664
11.902543,11.816759
11.902543,11.90467
11.739658,11.647078
11.739658,11.554335
11.739658,11.550397
11.739658,11.621007
11.739658,11.7425375
11.739658,11.851691
11.739658,11.848354
11.739658,11.736919
11.739658,11.738785
9.337724,10.802719
9.337724,10.386531
9.337724,10.100964
9.337724,9.865646
9.337724,9.597564
9.337724,9.388477
9.337724,9.304516
9.337724,9.339294
9.6249485,9.332389
9.6249485,9.365504
