Super Formula Light @ Imola - Variante Alta
InputTorque60Hz,InputTorque500Hz
-2.4065,-2.4007
-1.7866,-2.4098
-1.7866,-2.2256
-1.7866,-2.1496
-1.7866,-2.2057
-1.7866,-2.3469
-1.7866,-2.3671
-1.7866,-2.1157
-1.7866,-1.7736
-0.9926,-0.9076
-0.9926,-0.4907
-0.9926,-0.2864
-0.9926,-0.3098
-0.9926,-0.5584
-0.9926,-0.8012
-0.9926,-0.9529
-0.9926,-0.9945
-0.9926,-0.9945
-0.2079,-0.9183
-0.2079,-0.6692
-0.2079,-0.3022
-0.2079,0.0478
-0.2079,0.2067
-0.2079,0.1472
-0.2079,-0.0311
-0.2079,-0.2115
2.0001,-0.5968
2.0001,-0.896
2.0001,-0.9868
2.0001,-0.7667
2.0001,-0.1074
2.0001,0.7124
2.0001,1.5065
2.0001,2.0162
-0.5469,2.1662
-0.5469,1.9812
-0.5469,1.5923
-0.5469,1.0909
-0.5469,0.552
-0.5469,0.0497
-0.5469,-0.3356
-0.5469,-0.5526
-0.5469,-0.5541
1.3522,-0.749
1.3522,-0.8111
1.3522,-0.8375
1.3522,-0.7332
1.3522,-0.3462
1.3522,0.2303
1.3522,0.8489
1.3522,1.3693
-1.5871,1.7232
-1.5871,1.5792
-1.5871,1.2154
-1.5871,0.6959
-1.5871,0.1271
-1.5871,-0.5452
-1.5871,-1.1706
-1.5871,-1.5989
-2.7845,-1.9964
-2.7845,-1.9908
-2.7845,-1.9991
-2.7845,-2.05
-2.7845,-2.1567
-2.7845,-2.2868
-2.7845,-2.5219
-2.7845,-2.7912
-2.7845,-2.7931
1.005,-2.8851
1.005,-2.5912
1.005,-1.8697
1.005,-0.9113
1.005,-0.0196
1.005,0.6215
1.005,0.9493
1.005,1.0067
-3.2748,0.4673
-3.2748,-0.5141
-3.2748,-1.6446
-3.2748,-2.7215
-3.2748,-3.4704
-3.2748,-3.7414
-3.2748,-3.6156
-3.2748,-3.2667
-2.8577,-2.9941
-2.8577,-3.0758
-2.8577,-3.2342
-2.8577,-3.4436
-2.8577,-3.6844
-2.8577,-3.7984
-2.8577,-3.4877
-2.8577,-2.8435
-2.8577,-2.8456
0.6799,-0.9164
0.6799,0.2033
0.6799,0.9767
0.6799,1.4904
0.6799,1.8999
0.6799,1.8985
0.6799,1.3959
0.6799,0.662
-3.0694,-0.6133
-3.0694,-1.1663
-3.0694,-1.5362
-3.0694,-1.855
-3.0694,-2.2327
-3.0694,-2.5376
-3.0694,-2.8288
-3.0694,-3.076
1.0608,-2.8892
1.0608,-2.1527
1.0608,-1.2235
1.0608,-0.2431
1.0608,0.6344
1.0608,1.3061
1.0608,1.4239
1.0608,1.0537
1.0608,1.0516
-0.2003,-0.0671
-0.2003,-0.9429
-0.2003,-1.4133
-0.2003,-1.5211
-0.2003,-1.2988
-0.2003,-0.9493
-0.2003,-0.5492
-0.2003,-0.1886
0.0545,-0.3867
0.0545,-0.3643
0.0545,-0.1949
0.0545,0.065
0.0545,0.354
0.0545,0.5199
0.0545,0.3963
0.0545,0.0445
-0.2859,-0.7834
-0.2859,-1.5206
-0.2859,-1.9459
-0.2859,-2.0342
-0.2859,-1.7898
-0.2859,-1.3654
-0.2859,-0.8053
-0.2859,-0.2669
-0.2859,-0.2686
0.6033,0.3088
0.6033,0.3137
0.6033,-0.0574
0.6033,-0.559
0.6033,-0.8475
0.6033,-0.539
0.6033,0.0652
0.6033,0.6171
-0.8582,1.1091
-0.8582,1.1767
-0.8582,1.0355
-0.8582,0.6867
-0.8582,0.0894
-0.8582,-0.4484
-0.8582,-0.782
-0.8582,-0.8613
-0.8582,-0.862
0.0435,-0.5795
0.0435,-0.2633
0.0435,-0.1292
0.0435,-0.1693
0.0435,-0.3115
0.0435,-0.3126
0.0435,-0.1706
0.0435,0.0511
-0.7443,0.3223
-0.7443,0.3569
-0.7443,0.3566
-0.7443,0.3696
-0.7443,0.4322
-0.7443,0.1859
-0.7443,-0.2635
-0.7443,-0.7574
-1.7335,-1.3923
-1.7335,-1.5038
-1.7335,-1.5045
-1.7335,-1.4711
-1.7335,-1.4494
-1.7335,-1.4237
-1.7335,-1.5268
-1.7335,-1.7426
1.3236,-2.2376
1.3236,-2.4926
1.3236,-2.2309
1.3236,-1.4812
1.3236,-0.4231
1.3236,0.4379
1.3236,1.0358
1.3236,1.3322
1.3236,1.3338
-1.6725,1.5041
-1.6725,1.1081
-1.6725,0.2685
-1.6725,-0.6249
