MAIRA Recording v4
Toyota GR86 @ Circuit de Spa-Francorchamps - Grand Prix (178s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
0.1596493,0.19099553,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.0041523273,0.8528393,5.756272,34.738842,34.738846,0.014486819,-0.30025327,0.011292686,-0.013239609,-0.0004667433,0.001572234,0.078410864,0.0774146,1,0
0.1596493,0.17293844,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.004189705,0.8528393,5.756272,34.738842,34.738846,0.014598015,-0.3054725,0.013290717,-0.012942359,-0.0019347504,0.0011526254,0.07840791,0.077418,1,0
0.1596493,0.16512722,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.0042224065,0.8528393,5.756272,34.738842,34.738846,0.014666375,-0.32231852,0.014729011,-0.012806891,-0.003384102,0.000366994,0.07840076,0.07742041,1,0
0.1596493,0.16248864,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.0042396854,0.8528393,5.756272,34.738842,34.738846,0.014669146,-0.34650338,0.015493647,-0.01283822,-0.004880674,-0.0008159776,0.078389585,0.077420264,1,0
0.1596493,0.16057281,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.0042378623,0.8528393,5.756272,34.738842,34.738846,0.014602295,-0.3716147,0.015588589,-0.01303217,-0.0067780516,-0.002160263,0.078374356,0.0774163,1,0
0.1596493,0.1596493,0,0.21613438,0.04074046,0.018427178,0,0,-0.0008321291,-0.014105673,6114.2163,6690,3,6,False,34.738846,0.014453599,-0.006045309,13.864885,0.029066985,-0.0042140908,0.8528393,5.756272,34.738842,34.738846,0.014453599,-0.39952746,0.014968499,-0.013346064,-0.009193265,-0.0039319615,0.07835308,0.07740834,1,0
0.18349846,0.18203683,0,0.21540755,0.03714787,0.017776646,0,0,-0.0007687489,-0.014890606,6123.326,6690,3,6,False,34.770557,0.013364913,-0.00604531,13.864885,-5.587935E-08,-0.004173218,1.4315244,5.7563353,34.770554,34.770557,0.014252296,-0.4180799,0.013802742,-0.013698686,-0.011283767,-0.005832986,0.07832435,0.07739502,1,0
0.18349846,0.18938592,0,0.21540755,0.03714787,0.017776646,0,0,-0.0007687489,-0.014890606,6123.326,6690,3,6,False,34.770557,0.013364913,-0.00604531,13.864885,-5.587935E-08,-0.0041197585,1.4315244,5.7563353,34.770554,34.770557,0.014014202,-0.42887563,0.01247586,-0.013982955,-0.0126838535,-0.0075739264,0.07829028,0.077376425,1,0
0.18349846,0.18867603,0,0.21540755,0.03714787,0.017776646,0,0,-0.0007687489,-0.014890606,6123.326,6690,3,6,False,34.770557,0.013364913,-0.00604531,13.864885,-5.587935E-08,-0.0040648766,1.4315244,5.7563353,34.770554,34.770557,0.013779646,-0.42484176,0.011415436,-0.014136428,-0.013981358,-0.008794231,0.07825327,0.07735333,1,0
0.18349846,0.18678473,0,0.21540755,0.03714787,0.017776646,0,0,-0.0007687489,-0.014890606,6123.326,6690,3,6,False,34.770557,0.013364913,-0.00604531,13.864885,-5.587935E-08,-0.0040230635,1.4315244,5.7563353,34.770554,34.770557,0.013585523,-0.40917027,0.010748416,-0.014071521,-0.015290348,-0.009451433,0.07821271,0.07732752,1,0
