MAIRA Recording v5
iRacing - FIA F4 @ Watkins Glen - Boot (116s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-1.9696147,-0.4956917,-0.0049266815,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.005953464,0.78087664,0.05506277,56.099693,56.099693,-0.004205064,0.17275113,0.0082307905,-0.014938831,-0.003939231,-0.028117545,0.019632997,0.019387424,1,0
-1.9696147,-0.9079952,-0.0012187958,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.0063478025,0.78087664,0.05506277,56.099693,56.099693,-0.004510351,0.14887345,0.021576915,-0.012004893,-0.0064488524,-0.03194134,0.019617483,0.019305868,1,0
-1.9696147,-1.3582776,0.0026016235,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.0067364424,0.78087664,0.05506277,56.099693,56.099693,-0.004899615,0.14400098,0.036090374,-0.008427124,-0.0061691375,-0.028559485,0.019595454,0.019213226,1,0
-1.9696147,-1.7794018,0.00802803,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.0069554886,0.78087664,0.05506277,56.099693,56.099693,-0.0054442924,0.110547125,0.04740846,-0.0051351306,-0.0066466937,-0.01673804,0.019577505,0.019137252,1,0
-1.9696147,-1.9602846,0.008586884,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.0067832493,0.78087664,0.05506277,56.099693,56.099693,-0.0063631623,-0.018475205,0.05061712,-0.0025890658,-0.0076587265,-0.02032517,0.019562213,0.01909983,1,0
-1.9696147,-1.9696147,0.0075035095,0.13901705,0.0015393789,0.03194134,0,0,0.00025837595,0.009967842,5984.213,6500,7300,6,6,False,56.099693,-0.007247406,0.0031451695,6.719512,-0.043488078,0.0067174,0.78087664,0.05506277,56.099693,56.099693,-0.007247406,-0.01509615,0.054525733,0.00074970664,-0.01540836,-0.014727992,0.01953974,0.019041978,1,0
-0.06595491,-1.887487,0.001581192,0.13258427,0.01786273,0.04392438,0,0,0.0004738196,0.0149515765,5983.351,6500,7300,6,6,False,56.123375,-0.013296176,0.0029029453,6.719512,-0.014533451,0.006249818,1.7159146,0.054977417,56.12337,56.123375,-0.008465035,-0.14516616,0.047119796,0.0041490463,-0.017061027,-0.0066528334,0.01949027,0.019000795,1,0
-0.06595491,-1.4763918,-0.0020332336,0.13258427,0.01786273,0.04392438,0,0,0.0004738196,0.0149515765,5983.351,6500,7300,6,6,False,56.123375,-0.013296176,0.0029029453,6.719512,-0.014533451,0.0054578665,1.7159146,0.054977417,56.12337,56.123375,-0.009802972,-0.22354199,0.03334093,0.006986693,-0.012244461,-0.010006145,0.019441491,0.018993566,1,0
-0.06595491,-1.0035347,-0.0020332336,0.13258427,0.01786273,0.04392438,0,0,0.0004738196,0.0149515765,5983.351,6500,7300,6,6,False,56.123375,-0.013296176,0.0029029453,6.719512,-0.014533451,0.005103132,1.7159146,0.054977417,56.12337,56.123375,-0.010675417,-0.094944715,0.028729225,0.0111842,-0.018927366,-0.0111951055,0.019406946,0.018973552,1,0
-0.06595491,-0.7600452,-0.0020332336,0.13258427,0.01786273,0.04392438,0,0,0.0004738196,0.0149515765,5983.351,6500,7300,6,6,False,56.123375,-0.013296176,0.0029029453,6.719512,-0.014533451,0.0048663164,1.7159146,0.054977417,56.12337,56.123375,-0.011376295,-0.048526548,0.023225093,0.016526606,-0.023424016,0.0023482675,0.019345306,0.01894513,1,0
