410 Dirt @ Bristol
InputTorque60Hz,InputTorque500Hz
-3.0558002,-3.0564485
-1.4142219,-2.9198956
-1.4142219,-2.777152
-1.4142219,-2.6020565
-1.4142219,-2.3959866
-1.4142219,-2.1668696
-1.4142219,-1.9193584
-1.4142219,-1.6497905
-1.4142219,-1.4073175
-1.4142219,-1.4063084
0.8013002,-1.0442624
0.8013002,-0.7807681
0.8013002,-0.5184652
0.8013002,-0.2611871
0.8013002,0.003545815
0.8013002,0.2680364
0.8013002,0.5581078
0.8013002,0.8082549
2.9867396,1.1939231
2.9867396,1.4782659
2.9867396,1.7616563
2.9867396,2.035755
2.9867396,2.301406
2.9867396,2.554342
2.9867396,2.7950454
2.9867396,2.991873
3.5617728,3.2225463
3.5617728,3.361898
3.5617728,3.4735718
3.5617728,3.555207
3.5617728,3.6046624
3.5617728,3.6202462
3.5617728,3.6009073
3.5617728,3.5609183
3.5617728,3.5605688
2.3125226,3.4345205
2.3125226,3.3150032
2.3125226,3.1760085
2.3125226,3.0223205
2.3125226,2.859943
2.3125226,2.685058
2.3125226,2.4889855
2.3125226,2.306867
0.314391,2.0338984
0.314391,1.814753
0.314391,1.5808607
0.314391,1.3263279
0.314391,1.0622269
0.314391,0.79882354
0.314391,0.5309936
0.314391,0.30653334
-0.2205911,0.070194475
-0.2205911,-0.07809697
-0.2205911,-0.19589739
-0.2205911,-0.28221413
-0.2205911,-0.31715256
-0.2205911,-0.3142796
-0.2205911,-0.2747738
-0.2205911,-0.21904944
-0.2205911,-0.21890709
0.93400174,-0.056897987
0.93400174,0.07606373
0.93400174,0.21913248
0.93400174,0.3684981
0.93400174,0.5165171
0.93400174,0.66362834
0.93400174,0.8159022
0.93400174,0.9373884
1.5336312,1.1379042
1.5336312,1.2649021
1.5336312,1.3739047
1.5336312,1.4607549
1.5336312,1.5230986
1.5336312,1.5565512
1.5336312,1.5563638
1.5336312,1.5329446
-0.020009656,1.4811939
-0.020009656,1.3930385
-0.020009656,1.2530473
-0.020009656,1.080477
-0.020009656,0.8564032
-0.020009656,0.59351027
-0.020009656,0.27530074
-0.020009656,-0.028170645
-0.020009656,-0.030000761
-3.076798,-0.47076964
-3.076798,-0.82623667
-3.076798,-1.1881517
-3.076798,-1.5647804
-3.076798,-1.949636
-3.076798,-2.3273249
-3.076798,-2.7656016
-3.076798,-3.0873287
-5.2622695,-3.5783105
-5.2622695,-3.934019
-5.2622695,-4.248657
-5.2622695,-4.5399733
-5.2622695,-4.795795
-5.2622695,-5.0029263
-5.2622695,-5.1623607
-5.2622695,-5.266063
-3.832881,-5.295217
-3.832881,-5.247777
-3.832881,-5.137695
-3.832881,-4.9739113
-3.832881,-4.7525406
-3.832881,-4.477527
-3.832881,-4.147548
-3.832881,-3.8128073
-3.832881,-3.8225207
-0.42612863,-3.2850144
-0.42612863,-2.8668735
-0.42612863,-2.4370675
-0.42612863,-2.0028138
-0.42612863,-1.5804647
-0.42612863,-1.1755493
-0.42612863,-0.74457306
-0.42612863,-0.41599762
1.6753734,0.048802003
1.6753734,0.361298
1.6753734,0.6494539
1.6753734,0.90762097
1.6753734,1.1389425
1.6753734,1.3429775
1.6753734,1.5305526
1.6753734,1.6793821
2.199433,1.8372892
2.199433,1.9294744
2.199433,2.004964
2.199433,2.0639725
2.199433,2.1085994
2.199433,2.143951
2.199433,2.175116
2.199433,2.2000504
2.199433,2.2002342
