Super Formula Light @ Imola - Corners 16, 17, & 1
InputTorque60Hz,InputTorque500Hz
5.58257,5.58098
5.7299023,5.5021057
5.7299023,5.545626
5.7299023,5.603371
5.7299023,5.6268325
5.7299023,5.5660367
5.7299023,5.560651
5.7299023,5.625169
5.7299023,5.7323704
6.701968,6.097779
6.701968,6.235425
6.701968,6.308554
6.701968,6.365123
6.701968,6.4732604
6.701968,6.5972013
6.701968,6.6805553
6.701968,6.7027817
6.701968,6.703007
6.267702,6.65204
6.267702,6.6428
6.267702,6.6137695
6.267702,6.563828
6.267702,6.4958963
6.267702,6.4248476
6.267702,6.343334
6.267702,6.265317
5.311101,5.897505
5.311101,5.7142596
5.311101,5.6236787
5.311101,5.6053944
5.311101,5.624389
5.311101,5.592044
5.311101,5.4745555
5.311101,5.3066974
5.1501207,5.0883074
5.1501207,5.0328674
5.1501207,5.000282
5.1501207,4.9806232
5.1501207,4.979359
5.1501207,5.0374694
5.1501207,5.1048846
5.1501207,5.151639
5.1501207,5.1517267
4.7376013,5.283924
4.7376013,5.2628126
4.7376013,5.1561594
4.7376013,4.9918175
4.7376013,4.8018084
4.7376013,4.6924663
4.7376013,4.678804
4.7376013,4.738723
5.4718595,4.8879933
5.4718595,4.933816
5.4718595,4.956777
5.4718595,4.9942627
5.4718595,5.091937
5.4718595,5.2312913
5.4718595,5.372111
5.4718595,5.4746246
5.7387605,5.659734
5.7387605,5.6916904
5.7387605,5.649646
5.7387605,5.582949
5.7387605,5.558317
5.7387605,5.5962105
5.7387605,5.668352
5.7387605,5.7405896
5.7387605,5.74107
5.8819456,5.7884593
5.8819456,5.9208584
5.8819456,6.000271
5.8819456,6.0079083
5.8819456,5.954547
5.8819456,5.883328
5.8819456,5.8569984
5.8819456,5.8824577
5.3203487,5.817413
5.3203487,5.851714
5.3203487,5.873406
5.3203487,5.847315
5.3203487,5.7507486
5.3203487,5.611477
5.3203487,5.453372
5.3203487,5.316519
5.3203487,5.315848
4.3901415,5.0392895
4.3901415,4.9127326
4.3901415,4.842271
4.3901415,4.8040543
4.3901415,4.74396
4.3901415,4.63641
4.3901415,4.5057154
4.3901415,4.387909
3.8068857,4.2230864
3.8068857,3.921367
3.8068857,3.6744902
3.8068857,3.5456276
3.8068857,3.5581155
3.8068857,3.634841
3.8068857,3.7332077
3.8068857,3.8089404
3.7862377,3.743097
3.7862377,3.66141
3.7862377,3.6356149
3.7862377,3.6679652
3.7862377,3.7303147
3.7862377,3.7729502
3.7862377,3.790953
3.7862377,3.786217
3.7862377,3.7862084
2.0584311,3.603204
2.0584311,3.3624568
2.0584311,3.039414
2.0584311,2.6889756
2.0584311,2.4108694
2.0584311,2.2597022
2.0584311,2.151169
2.0584311,2.0559394
1.9847823,2.0470057
1.9847823,2.0031803
1.9847823,1.9350321
1.9847823,1.8688627
1.9847823,1.8420131
1.9847823,1.8278687
1.9847823,1.8810141
1.9847823,1.9877683
3.0924928,2.5429878
3.0924928,2.8530118
3.0924928,3.0177484
3.0924928,3.071165
3.0924928,3.077933
3.0924928,3.14219
3.0924928,3.1523783
3.0924928,3.0910852
3.0924928,3.091027
2.701453,3.025115
2.701453,3.0219507
2.701453,3.0219548
2.701453,3.0068402
2.701453,2.9613442
2.701453,2.8919492
2.701453,2.7968771
2.701453,2.6991644
2.162805,2.419928
2.162805,2.197943
2.162805,1.9219346
2.162805,1.6668717
2.162805,1.5155662
2.162805,1.6111741
2.162805,1.8737186
2.162805,2.1751935
1.5951117,2.3766377
1.5951117,2.3302548
1.5951117,2.203337
1.5951117,2.0315855
1.5951117,1.8335446
1.5951117,1.6944344
1.5951117,1.6158458
1.5951117,1.5943393
1.3798188,1.6725276
1.3798188,1.641035
1.3798188,1.6014954
1.3798188,1.5663335
1.3798188,1.5335842
1.3798188,1.4806972
1.3798188,1.4234871
1.3798188,1.3786998
1.3798188,1.378281
1.5197976,1.3882494
1.5197976,1.4291592
1.5197976,1.5017458
1.5197976,1.577146
1.5197976,1.6089518
1.5197976,1.6018311
1.5197976,1.5646348
1.5197976,1.5185567
1.8274721,1.5125068
1.8274721,1.4343362
1.8274721,1.327557
1.8274721,1.2599336
1.8274721,1.3193774
1.8274721,1.4728101
1.8274721,1.6635665
1.8274721,1.8302854
1.2384295,1.8503233
1.2384295,1.7144554
1.2384295,1.5431893
1.2384295,1.3907835
1.2384295,1.3163227
1.2384295,1.2609909
1.2384295,1.236462
1.2384295,1.2383562
1.2384295,1.2383459
1.112585,1.2142488
1.112585,1.2128685
1.112585,1.1713845
1.112585,1.1129738
1.112585,1.0853642
1.112585,1.0738044
1.112585,1.0858712
1.112585,1.113216
0.55968684,1.193685
0.55968684,1.2654262
0.55968684,1.2648158
0.55968684,1.1840076
0.55968684,1.0415345
0.55968684,0.86200315
0.55968684,0.68403065
0.55968684,0.55650127
0.961921,0.4954098
0.961921,0.5266968
0.961921,0.55290234
0.961921,0.5669274
0.961921,0.5807743
0.961921,0.6391691
0.961921,0.7808848
0.961921,0.96626735
0.961921,0.96593195
0.59229976,1.2850081
0.59229976,1.4612426
0.59229976,1.5911018
0.59229976,1.6287261
0.59229976,1.5031077
0.59229976,1.2308855
0.59229976,0.8868388
0.59229976,0.5838166
-0.01039782,0.09298997
-0.01039782,-0.020784661
-0.01039782,-0.0074428115
-0.01039782,0.072800145
-0.01039782,0.15144008
-0.01039782,0.19870529
-0.01039782,0.13665375
-0.01039782,-0.013715203
-0.01039782,-0.014836516
0.23149206,-0.24276075
0.23149206,-0.42829606
0.23149206,-0.57426566
0.23149206,-0.60597676
0.23149206,-0.4940275
0.23149206,-0.31001276
0.23149206,-0.05057998
0.23149206,0.22129352
0.4034231,0.52446026
0.4034231,0.48753855
0.4034231,0.34097993
0.4034231,0.17699456
0.4034231,0.11143984
0.4034231,0.17857641
0.4034231,0.3019608
0.4034231,0.4063644
0.59267175,0.32953808
0.59267175,0.2185586
0.59267175,0.096984126
0.59267175,0.016093684
0.59267175,0.038955435
0.59267175,0.19743273
0.59267175,0.4098163
0.59267175,0.5976717
0.0059245527,0.6705028
0.0059245527,0.6708013
0.0059245527,0.6425208
0.0059245527,0.5837266
0.0059245527,0.48541453
0.0059245527,0.30706507
0.0059245527,0.12709524
0.0059245527,0.0031820317
0.0059245527,0.0018598698
-0.024885753,-0.081691734
-0.024885753,-0.026035609
-0.024885753,0.057611108
-0.024885753,0.11270125
-0.024885753,0.068123594
-0.024885753,-0.035488613
-0.024885753,-0.07458181
-0.024885753,-0.023858955
-0.024885753,-0.023681514
0.545064,0.1959436
0.545064,0.27102396
0.545064,0.33046383
0.545064,0.4169837
0.545064,0.5863044
0.545064,0.6715216
0.545064,0.6458126
-0.46797246,0.5405246
-0.46797246,0.4878951
-0.46797246,0.4021209
-0.46797246,0.27974105
-0.46797246,0.11981577
-0.46797246,-0.08120204
-0.46797246,-0.29002315
-0.46797246,-0.47301707
-0.46797246,-0.47420987
-0.15982181,-0.6521036
-0.15982181,-0.7576082
-0.15982181,-0.8382981
-0.15982181,-0.85231286
-0.15982181,-0.7376552
-0.15982181,-0.5288948
-0.15982181,-0.31030136
-0.15982181,-0.15573499
-0.6326943,0.03536458
-0.6326943,-0.0014816932
-0.6326943,-0.14204897
-0.6326943,-0.3326355
-0.6326943,-0.50689405
-0.6326943,-0.56324697
-0.6326943,-0.5953135
-0.6326943,-0.63367033
-1.1227118,-0.6955971
-1.1227118,-0.7495333
-1.1227118,-0.81493354
-1.1227118,-0.8808005
-1.1227118,-0.9305176
-1.1227118,-0.9802869
-1.1227118,-1.0478532
-1.1227118,-1.1246675
0.42522782,-1.0364481
0.42522782,-0.9235462
0.42522782,-0.7334862
0.42522782,-0.46659145
0.42522782,-0.15128282
0.42522782,0.13013646
0.42522782,0.32994345
0.42522782,0.43210962
-1.0725983,0.21946283
-1.0725983,-0.09338093
-1.0725983,-0.41273963
-1.0725983,-0.7105236
-1.0725983,-0.94149894
-1.0725983,-1.0790235
-1.0725983,-1.1125339
-1.0725983,-1.0717905
0.23095125,-0.89122427
0.23095125,-0.64787143
0.23095125,-0.41020775
0.23095125,-0.25346452
0.23095125,-0.26360685
0.23095125,-0.21717054
0.23095125,-0.03467477
0.23095125,0.23825932
0.23095125,0.23933049
2.6007307,0.91948205
2.6007307,1.5342287
2.6007307,2.0861225
2.6007307,2.4963222
2.6007307,2.7028847
2.6007307,2.7463098
2.6007307,2.6889372
2.6007307,2.5979555
0.44944906,2.2422352
0.44944906,2.0247157
0.44944906,1.7674763
0.44944906,1.4641097
0.44944906,1.1239253
0.44944906,0.83329606
0.44944906,0.6013484
0.44944906,0.44874617
0.44944906,0.44527093
0.9560486,0.08940906
0.9560486,0.14927498
0.9560486,0.32608584
0.9560486,0.5551324
0.9560486,0.78038675
0.9560486,0.9467212
0.9560486,1.0010043
0.9560486,0.9546949
0.70514166,0.9009113
0.70514166,0.8191321
0.70514166,0.7520614
0.70514166,0.72434217
